subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
2,928141126,1,173327.563189106,173349.881403619,OK,0,RightArrow,22.2151232076576,3,\RIGHT,0,1,right,3
2,928141126,2,173353.03163234,173362.740633277,OK,4,LeftArrow,9.64194730157033,2,\LEFT,1,0,left,3
2,928141126,3,173366.08254318,173371.99128065,OK,10,RightArrow,5.87053819809807,3,\RIGHT,0,1,right,3
2,928141126,4,173374.708140935,173375.516529007,OK,7,RightArrow,0.764749230293091,4,\RIGHT,1,0,left,3
2,928141126,5,173378.750089664,173380.458541094,OK,10,RightArrow,1.69841376907425,3,\RIGHT,0,1,right,3
2,928141126,6,173382.792045934,173383.900441341,OK,5,LeftArrow,1.08038132061483,2,\LEFT,1,0,left,3
2,928141126,7,173386.408957788,173387.217338462,OK,8,RightArrow,0.791285862476798,4,\RIGHT,1,0,left,3
2,928141126,8,173389.117480024,173390.125880379,OK,2,LeftArrow,0.994492722558789,1,\LEFT,0,1,right,3
2,928141126,9,173392.242691112,173394.751201044,OK,3,LeftArrow,2.41312278722762,1,\LEFT,0,1,right,3
2,928141126,10,173397.251375827,173398.059761775,OK,8,RightArrow,0.76421360753011,4,\RIGHT,1,0,left,3
2,928141126,11,173405.001921491,173406.41034612,OK,10,LeftArrow,1.34922728897072,2,\LEFT,1,0,left,3
2,928141126,12,173408.952192986,173410.360621089,OK,9,RightArrow,1.33473536651582,3,\RIGHT,0,1,right,3
2,928141126,13,173412.569110723,173414.677590203,OK,6,RightArrow,2.05359943595249,3,\RIGHT,0,1,right,3
2,928141126,14,173416.852741855,173417.961151311,OK,4,LeftArrow,1.03380756083061,1,\LEFT,0,1,right,3
2,928141126,15,173420.336317671,173421.544736954,OK,7,LeftArrow,1.19788191936095,2,\LEFT,1,0,left,3
2,928141126,16,173423.76989347,173425.678357341,OK,5,LeftArrow,1.84419234882807,2,\LEFT,1,0,left,3
2,928141126,17,173428.128527424,173429.336944743,OK,8,RightArrow,1.14930691593327,4,\RIGHT,1,0,left,3
2,928141126,18,173432.01213657,173433.620576494,OK,10,RightArrow,1.53752024611458,4,\RIGHT,1,0,left,3
2,928141126,19,173435.887409024,173437.195827563,OK,6,LeftArrow,1.24603462408413,1,\LEFT,0,1,right,3
2,928141126,20,173439.721008636,173441.029422499,OK,9,LeftArrow,1.23621014444507,1,\LEFT,0,1,right,3
