subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType,swap,trial_test,item_test,pair_test,tType_test,swap_test,name_test,mm_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
3,894101106,1,1554010.60571492,1554099.10465452,1554015.31444561,1554103.81332001,OK,OK,0,0,NO RESPONSE,NO RESPONSE,NaN,NaN,76,113,tent,1,NOT STUDIED,match,8,51,114,CFS,mismatch,deoderant,p,0,0,1554255.07568573,1554263.69274022,1554264.91781183,1554276.5274025,OK,OK,9,9,0,0,,,0,0,NaN,NaN,microphone,8.59775273106061,2,NaN,p,11.531257414259,2,NaN
3,894101106,2,1554019.77316106,1554105.67180334,1554024.48186096,1554110.38055456,OK,OK,6,1,NO RESPONSE,NO RESPONSE,NaN,NaN,59,79,ethernet cable,1,CFS,match,5,117,135,BINOCULAR,mismatch,pillow,p,1,0,1554279.1359723,1554284.99445261,1554286.21958369,1554291.82868173,OK,OK,2,10,0.5,0.5,,,2.56636954987817,2.54117090717521,2.34671662001737,2.34671662001737,airplane,5.84052932308987,2,NaN,p,5.58877995470539,2,NaN
3,894101106,3,1554026.99876061,1554112.46402649,1554029.20729661,1554117.17277016,SPACE,OK,0,0,space,NO RESPONSE,2.14118735492229,NaN,40,88,cooler,1,NOT STUDIED,match,4,108,109,CFS,mismatch,remote control,p,0,0,1554293.88718589,1554304.70442783,1554305.92115904,1554309.43011703,OK,OK,5,2,0,0,,,0,0,NaN,NaN,crobar,10.7924724789336,2,NaN,p,3.43839736073278,2,NaN
3,894101106,4,1554032.86587441,1554119.14790501,1554037.57457613,1554123.8566511,OK,OK,8,8,NO RESPONSE,NO RESPONSE,NaN,NaN,108,109,remote control,1,CFS,mismatch,12,181,184,BINOCULAR,match,microscope,q,1,0,1554311.3886073,1554315.88864412,1554317.11375467,1554318.72254725,OK,OK,8,3,0.5,0.5,,,1.80604162682462,2.7511219906033,2.34671662001737,2.34671662001737,clipboard,4.48257181746885,2,NaN,q,1.5174254658632,2,NaN
3,894101106,5,1554041.12488235,1554126.49850796,1554045.83361878,1554131.20726974,OK,OK,7,10,NO RESPONSE,NO RESPONSE,NaN,NaN,117,135,pillow,1,BINOCULAR,mismatch,11,50,80,NOT STUDIED,mismatch,boot,p,1,1,1554320.92269334,1554332.3566671,1554333.58177554,1554338.19080023,OK,OK,1,5,1,1,,,0,0,NaN,NaN,traintracks,11.4197657043114,2,NaN,q,4.51254606992006,2,NaN
3,894101106,6,1554049.19221893,1554133.39073443,1554053.90092456,1554138.09947871,OK,OK,4,10,NO RESPONSE,NO RESPONSE,NaN,NaN,159,162,maskera,1,BINOCULAR,match,10,25,85,NOT STUDIED,mismatch,camera,p,1,1,1554340.26597855,1554346.72449719,1554347.94959326,1554351.6585775,OK,OK,9,4,1,1,,,0,0,NaN,NaN,calculator,6.44383215974085,2,NaN,p,3.69605241320096,2,NaN
3,894101106,7,1554055.90945664,1554140.09128983,1554060.61816319,1554144.80002264,OK,OK,1,0,NO RESPONSE,NO RESPONSE,NaN,NaN,183,185,mailbox,1,BINOCULAR,mismatch,7,183,185,BINOCULAR,mismatch,mailbox,p,1,1,1554353.62540908,1554359.37556408,1554360.60894893,1554363.11784262,OK,OK,0,7,1,1,,,0,0,NaN,NaN,microphone,5.73981001600623,2,NaN,p,2.46027087955736,2,NaN
3,894101106,8,1554063.73505951,1554147.32522797,1554068.44380439,1554152.03394418,OK,OK,4,5,NO RESPONSE,NO RESPONSE,NaN,NaN,51,114,deoderant,1,CFS,mismatch,2,59,79,CFS,match,ethernet cable,q,1,0,1554364.90132482,1554370.17642677,1554371.40984663,1554374.31877111,OK,OK,0,0,0.5,0.5,,,2.52068001011874,1.12963396737282,2.34671662001737,2.34671662001737,clipboard,5.26347138918936,2,NaN,q,2.83477848768234,2,NaN
3,894101106,9,1554070.61899237,1554154.09241784,1554075.02767325,1554158.80116755,SPACE,OK,10,10,space,NO RESPONSE,4.33484912058339,NaN,142,9,high heel,1,CFS,match,6,159,162,BINOCULAR,match,maskera,q,1,0,1554376.23554307,1554380.28558639,1554381.51899659,1554385.42800529,OK,OK,2,7,0.5,0.5,,,2.54352334674115,1.43976876051302,2.34671662001737,2.34671662001737,microphone,4.04076325637288,2,NaN,q,3.85326344519854,2,NaN
3,894101106,10,1554078.31961116,1554160.75962945,1554083.0283008,1554165.46838097,OK,OK,0,0,NO RESPONSE,NO RESPONSE,NaN,NaN,25,85,camera,1,NOT STUDIED,mismatch,9,142,9,CFS,match,high heel,q,0,0,1554387.25316021,1554396.45359216,1554397.68699965,1554400.59592292,OK,OK,9,10,0,0,,,0,0,NaN,NaN, airplane,9.19043831550516,2,NaN,q,2.89251413405873,2,NaN
3,894101106,11,1554085.17849806,1554167.57683638,1554089.88721788,1554172.28559786,OK,OK,0,0,NO RESPONSE,NO RESPONSE,NaN,NaN,50,80,boot,1,NOT STUDIED,mismatch,1,76,113,NOT STUDIED,match,tent,q,0,0,1554402.41272778,1554406.4377185,1554407.67118243,1554411.28009243,OK,OK,5,8,0,0,,,0,0,NaN,NaN,jewlery,4.01445738039911,2,NaN,q,3.57991192024201,2,NaN
3,894101106,12,1554092.39575419,1554174.46909364,1554097.10443296,1554179.17774494,OK,OK,5,7,NO RESPONSE,NO RESPONSE,NaN,NaN,181,184,microscope,1,BINOCULAR,match,3,40,88,NOT STUDIED,match,cooler,q,1,1,1554413.0469065,1554417.6886402,1554418.91375679,1554420.72253155,OK,OK,10,3,1,1,,,0,0,NaN,NaN,microphone,4.62776561989449,2,NaN,q,1.78482270869426,2,NaN
3,894101106,13,1554430.98170249,1554516.96375996,1554435.69045099,1554521.67249125,OK,OK,4,7,NO RESPONSE,NO RESPONSE,NaN,NaN,180,182,clipboard,2,BINOCULAR,mismatch,22,5,49,CFS,mismatch,tub,p,1,1,1554609.67969278,1554737.88152289,1554739.1069199,1554742.51556456,OK,ESCAPE,8,5,1,1,,,0,0,NaN,NaN,NO RESPONSE,128.188892544713,2,NaN,ESCAPE,3.31352828792296,2,NaN
3,894101106,14,1554439.24071345,1554524.31437498,1554443.9494526,1554529.02309058,OK,OK,3,2,NO RESPONSE,NO RESPONSE,NaN,NaN,82,91,straw,2,BINOCULAR,mismatch,20,29,86,NOT STUDIED,match,cane,q,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,9,1,1,,,0,0,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,15,1554448.64150188,1554530.97326188,1554453.35023318,1554535.68197053,OK,OK,2,10,NO RESPONSE,NO RESPONSE,NaN,NaN,23,53,button,2,CFS,mismatch,18,141,155,CFS,match,headphones,q,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,10,0.5,0.5,,,3.70384775398865,1.0358655487476,2.34671662001737,2.34671662001737,,NaN,2,NaN,,NaN,2,NaN
3,894101106,16,1554455.3837439,1554537.78213414,1554457.89224338,1554542.49083283,SPACE,OK,0,0,space,NO RESPONSE,2.48928283597343,NaN,139,14,hammer,2,NOT STUDIED,mismatch,16,139,14,NOT STUDIED,mismatch,hammer,p,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,5,0,0,,,0,0,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,17,1554460.90083642,1554544.55765113,1554465.60955716,1554549.26638152,OK,OK,7,6,NO RESPONSE,NO RESPONSE,NaN,NaN,31,47,chain,2,BINOCULAR,match,13,180,182,BINOCULAR,mismatch,clipboard,p,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,7,3,1,1,,,0,0,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,18,1554469.50988285,1554551.64159425,1554474.21860811,1554556.35032917,OK,OK,6,1,NO RESPONSE,NO RESPONSE,NaN,NaN,141,155,headphones,2,CFS,match,21,115,118,BINOCULAR,match,puzzle piece,q,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,7,1,0.5,0.5,,,1.58610815788191,2.13922743334864,2.34671662001737,2.34671662001737,,NaN,2,NaN,,NaN,2,NaN
3,894101106,19,1554476.30210963,1554558.27547564,1554481.01081677,1554560.18398659,OK,SPACE,10,10,NO RESPONSE,space,NaN,1.88106106128544,70,87,truck,2,CFS,match,15,23,53,CFS,mismatch,button,p,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,6,0.5,0.5,,,3.56817248478489,3.3316732527325,2.34671662001737,2.34671662001737,,NaN,2,NaN,,NaN,2,NaN
3,894101106,20,1554483.2526528,1554563.59259231,1554487.96138953,1554568.3012901,OK,OK,0,0,NO RESPONSE,NO RESPONSE,NaN,NaN,29,86,cane,2,NOT STUDIED,match,23,167,126,NOT STUDIED,mismatch,nail polish,p,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,0,0,0,,,0,0,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,21,1554490.77826262,1554569.99312085,1554495.48698395,1554574.70183796,OK,OK,10,4,NO RESPONSE,NO RESPONSE,NaN,NaN,115,118,puzzle piece,2,BINOCULAR,match,19,70,87,CFS,match,truck,q,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,8,1,1,,,0,0,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,22,1554497.4621508,1554576.91033955,1554502.17085342,1554581.61905334,OK,OK,0,7,NO RESPONSE,NO RESPONSE,NaN,NaN,5,49,tub,2,CFS,mismatch,17,31,47,BINOCULAR,match,chain,q,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,2,0.5,0.5,,,1.76630977741334,3.01121955066729,2.34671662001737,2.34671662001737,,NaN,2,NaN,,NaN,2,NaN
3,894101106,23,1554504.64609422,1554583.49417702,1554509.35478899,1554588.20291556,OK,OK,0,0,NO RESPONSE,NO RESPONSE,NaN,NaN,167,126,nail polish,2,NOT STUDIED,mismatch,14,82,91,BINOCULAR,mismatch,straw,p,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,7,4,0,0,,,0,0,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,24,1554511.70498927,1554590.11138878,1554513.91352678,1554594.82014151,SPACE,OK,0,0,space,NO RESPONSE,2.10157142835669,NaN,11,103,bike,2,NOT STUDIED,match,24,11,103,NOT STUDIED,match,bike,q,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,5,0,0,,,0,0,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,25,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,0,,,NaN,NaN,1,104,backpack,3,CFS,match,32,175,67,BINOCULAR,match,paper clip,q,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,4,2,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,26,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,140,144,purse,3,NOT STUDIED,mismatch,30,119,7,NOT STUDIED,mismatch,piggy bank,p,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,27,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,4,,,NaN,NaN,75,101,thimble,3,CFS,mismatch,36,72,89,NOT STUDIED,match,toothbrush,q,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,9,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,28,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,1,,,NaN,NaN,13,16,binoculars,3,BINOCULAR,match,34,170,172,BINOCULAR,mismatch,binky,p,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,9,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,29,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,4,,,NaN,NaN,68,73,umbrella,3,CFS,mismatch,27,75,101,CFS,mismatch,thimble,p,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,4,0,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,30,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,119,7,piggy bank,3,NOT STUDIED,mismatch,33,20,71,BINOCULAR,mismatch,broach,p,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,31,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,174,131,pants,3,NOT STUDIED,match,29,68,73,CFS,mismatch,umbrella,p,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,0,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,32,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,1,,,NaN,NaN,175,67,paper clip,3,BINOCULAR,match,25,1,104,CFS,match,backpack,q,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,1,4,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,33,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,5,,,NaN,NaN,20,71,broach,3,BINOCULAR,mismatch,35,187,2,CFS,match,vinyl,q,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,7,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,34,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,2,,,NaN,NaN,170,172,binky,3,BINOCULAR,mismatch,28,13,16,BINOCULAR,match,binoculars,q,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,6,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,35,NaN,NaN,NaN,NaN,EMPTY,EMPTY,4,5,,,NaN,NaN,187,2,vinyl,3,CFS,match,26,140,144,NOT STUDIED,mismatch,purse,p,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,5,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,36,NaN,NaN,NaN,NaN,EMPTY,EMPTY,0,0,,,NaN,NaN,72,89,toothbrush,3,NOT STUDIED,match,31,174,131,NOT STUDIED,match,pants,q,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,8,1,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,37,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,4,,,NaN,NaN,35,38,table,4,BINOCULAR,mismatch,46,56,99,BINOCULAR,mismatch,computer drive,p,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,3,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
3,894101106,38,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,2,,,NaN,NaN,178,84,athletic tape,4,CFS,match,38,178,84,CFS,match,athletic tape,q,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,10,NaN,NaN,,,NaN,NaN,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
