subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,list,tType_study,trial_test,item_test,pair_test,tType_test,gonogo_answer,name,name_test,roboBCFS_1,roboBCFS_2,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
3,231173002,1,239358.209907607,239530.658483173,239370.927942917,239543.476592767,OK,OK,0,0,f,j,12.6874765501998,12.7983132146765,53,23,1,Not Studied,8,8,153,CFS,go,floss,bed,f,f,0,0,239715.284639665,239717.716216677,239719.897567379,239721.008292058,Return,Return,2,1,1,,,0.1,0.1,bed,2.40335938381031,1,Return,1.05435250801384,1
3,231173002,2,239373.969840585,239546.698563416,239381.884853554,239553.712998377,OK,OK,6,9,j,j,7.89496907420107,6.98168207047274,61,121,1,CFS,7,56,99,Not Studied,go,glass,clothes pin,j,j,0,1,239722.769381414,239728.653090362,239730.44423741,239732.155303057,Return,Return,1,1,1,3,3,0.1,0.1,NO RESPONSE,5.85409617892583,1,Return,1.66715344638214,1
3,231173002,3,239389.539640602,239558.225818302,239406.460254355,239574.646158128,OK,OK,0,0,f,j,16.8919961761858,16.333440891729,56,99,1,Not Studied,2,184,181,CFS,nogo,clothes pin,mailbox,f,f,0,0,239733.876402724,239741.431142654,239744.14284882,239749.055920003,Return,OK,8,1,1,,,0.1,0.1,mailbox,7.53843622971908,1,NO RESPONSE,NaN,1
3,231173002,4,239409.632284302,239577.968257998,239423.751160982,239595.489293915,OK,OK,7,3,f,j,14.0384409083345,17.4938904516166,153,8,1,CFS,12,32,122,Binocular,nogo,knife,chain,j,j,0,1,239751.127236352,239754.349296348,239756.450633865,239761.363699313,Return,OK,3,1,1,,1,0.1,0.1,chain,3.19896411904483,1,NO RESPONSE,NaN,1
3,231173002,5,239426.372827489,239601.272897789,239431.285961758,239606.18602904,OK,OK,4,8,NO RESPONSE,NO RESPONSE,NaN,NaN,32,122,1,Binocular,4,172,170,Not Studied,go,chain,paint brush,z,z,1,1,239763.144826225,239769.448820062,239771.61010574,239776.022942538,Return,Return,1,1,1,,,0.1,0.1, ,6.28469369551749,1,Return,4.40301256079692,1
3,231173002,6,239433.797481322,239608.057204365,239437.609914067,239611.969664306,OK,OK,7,2,j,j,3.74454870598856,3.86811851384118,85,25,1,CFS,9,141,155,Binocular,go,foot stool,purse,j,j,0,1,239778.024171058,239781.556400997,239783.537644483,239788.450740417,Return,OK,5,1,1,1,1,0.1,0.1,NO RESPONSE,3.50865231340867,1,NO RESPONSE,NaN,1
3,231173002,7,239442.422934811,239616.582622507,239447.336021991,239621.495646602,OK,OK,3,0,NO RESPONSE,NO RESPONSE,NaN,NaN,143,128,1,Binocular,11,61,121,CFS,go,high heel,glass,z,z,1,1,239791.092347587,239795.1349386,239797.066195201,239797.87667318,Return,Return,2,1,1,,,0.1,0.1,glass,4.03181987901917,1,Return,0.777879332745215,1
3,231173002,8,239449.797560105,239623.677019037,239454.710679583,239628.590131271,OK,OK,6,5,NO RESPONSE,NO RESPONSE,NaN,NaN,8,153,1,Binocular,1,53,23,Binocular,go,bed,floss,z,z,1,1,239800.168133697,239805.781649411,239807.952996276,239809.864218642,Return,Return,5,1,1,,,0.1,0.1,bed ,5.58748527360149,1,Return,1.81052899110364,1
3,231173002,9,239456.561828521,239630.34120864,239485.990353853,239646.561436119,OK,OK,0,0,f,f,29.3697670550609,16.1584401597502,172,170,1,Not Studied,5,85,25,Not Studied,nogo,paint brush,foot stool,f,f,0,0,239811.745395691,239817.56914863,239819.660398699,239824.57349584,Return,OK,4,1,1,,,0.1,0.1,chair ,5.80963823854108,1,NO RESPONSE,NaN,1
3,231173002,10,239488.772104684,239649.513280846,239501.189941589,239663.432044876,OK,OK,5,8,j,j,12.4067153265351,13.8575293947069,141,155,1,CFS,6,50,80,Not Studied,go,purse,dresser,j,j,0,1,239826.584752646,239832.42841546,239834.159522887,239835.470371083,Return,Return,1,1,1,1,2,0.1,0.1,wood ,5.81758709589485,1,Return,1.23472220503027,1
3,231173002,11,239506.463223631,239668.465201337,239521.882903618,239686.486569136,OK,OK,0,0,f,j,15.3146541926835,17.9924079266493,50,80,1,Not Studied,10,143,128,Binocular,go,dresser,high heel,f,f,0,0,239837.111050976,239841.213921276,239843.105122386,239844.716134273,Return,Return,3,1,1,,,0.1,0.1, ,4.0827947112557,1,Return,1.56862733853632,1
3,231173002,12,239524.034322196,239689.448417096,239528.947415112,239694.361495824,OK,OK,0,5,NO RESPONSE,NO RESPONSE,NaN,NaN,184,181,1,Binocular,3,153,8,CFS,go,mailbox,knife,z,z,1,1,239846.457242519,239848.638599559,239850.489772042,239852.100775779,Return,Return,4,1,1,,,0.1,0.1,NO RESPONSE,2.1602518496511,1,Return,1.59162843515514,1
3,231173002,13,239857.654285981,240004.096415891,239871.272886319,240015.71380431,OK,OK,0,0,f,f,13.5461780195183,11.600743330142,147,146,2,Not Studied,24,81,96,CFS,go,hole punch,stroller,f,f,0,0,240127.42408968,240132.297158496,240134.348440308,240135.359083156,Return,Return,2,1,1,,,0.1,0.1,pram,4.85126937521272,1,Return,0.96683780424064,1
3,231173002,14,239874.254731991,240018.245386182,239879.167822492,240023.158504151,OK,OK,5,0,NO RESPONSE,NO RESPONSE,NaN,NaN,177,179,2,Binocular,23,4,34,Not Studied,go,paper towel,bandana,z,z,1,1,240137.310346524,240141.232790983,240143.344120565,240144.154644727,Return,Return,3,1,1,,,0.1,0.1,bandana,3.90052729775198,1,Return,0.722721193247708,1
3,231173002,15,239881.109063611,240025.569988672,239894.127269555,240031.083527597,OK,OK,0,8,j,j,12.9382609769236,5.49441325184307,16,13,2,CFS,18,45,165,CFS,nogo,book,cutting board,j,j,0,1,240146.155603697,240159.093753594,240161.965841405,240166.878951828,Return,OK,10,1,1,3,3,0.1,0.1,wooden tray ,12.926416775008,1,NO RESPONSE,NaN,1
3,231173002,16,239899.080376006,240035.085984034,239903.993449603,240039.999054311,OK,OK,5,6,NO RESPONSE,NO RESPONSE,NaN,NaN,155,141,2,Binocular,22,110,102,Binocular,nogo,lamp,lazy chair,z,z,1,1,240168.549982508,240174.823927709,240176.294865661,240181.207967029,Return,OK,0,1,1,,,0.1,0.1,NO RESPONSE,6.25128006064915,1,NO RESPONSE,NaN,1
3,231173002,17,239905.614501246,240041.780210201,239911.027896764,240049.995378108,OK,OK,0,0,j,f,5.39193324095686,8.12331172809354,161,163,2,Not Studied,19,107,64,Not Studied,go,pen,ring,f,f,0,0,240182.828996637,240186.71110881,240189.253001498,240189.963483974,Return,Return,7,1,1,,,0.1,0.1,ring,3.85964806369157,1,Return,0.603492860856932,1
3,231173002,18,239914.049782232,240052.917215853,239926.267492301,240059.631424942,OK,OK,6,7,j,j,12.2038268855249,6.60985430111759,69,30,2,CFS,21,16,13,Binocular,go,umbrella,book,j,j,0,1,240191.744587644,240195.186768265,240197.228055295,240198.038551083,Return,Return,3,1,1,3,3,0.1,0.1,book ,3.43162651537568,1,Return,0.764095457532676,1
3,231173002,19,239930.550197122,240063.293720149,239947.971141851,240075.811616548,OK,OK,0,0,f,f,17.3904692796059,12.4325353788154,81,96,2,Not Studied,13,161,163,CFS,go,stroller,pen,f,f,0,0,240199.76962893,240205.052963103,240207.184286473,240209.095521214,Return,Return,6,1,1,,,0.1,0.1,stick,5.26206085309968,1,Return,1.8233143541438,1
3,231173002,20,239950.312610382,240077.922929529,239971.33583877,240092.542128431,OK,OK,0,0,f,f,20.9469055932132,14.5384416629677,110,102,2,Not Studied,16,25,85,Binocular,go,lazy chair,calculator,f,f,0,0,240210.946672869,240214.468900481,240216.990479422,240217.901078472,Return,Return,8,1,1,,,0.1,0.1,calculator,3.50857021083357,1,Return,0.856672750902362,1
3,231173002,21,239974.127624528,240095.093734879,239979.040687561,240100.006914123,OK,OK,6,4,NO RESPONSE,NO RESPONSE,NaN,NaN,45,165,2,Binocular,15,69,30,Not Studied,nogo,cutting board,umbrella,z,z,1,1,240219.602111908,240223.164386258,240224.725339722,240229.638439882,Return,OK,0,1,1,,,0.1,0.1,umbrella,3.54868214804446,1,NO RESPONSE,NaN,1
3,231173002,22,239980.841856557,240102.208230843,239985.754958528,240107.121314402,OK,OK,0,5,NO RESPONSE,NO RESPONSE,NaN,NaN,25,85,2,Binocular,20,155,141,Not Studied,go,calculator,lamp,z,z,1,1,240231.309519461,240237.192899395,240239.344551604,240240.755439975,Return,Return,6,1,1,,,0.1,0.1,chair ,5.87259793374687,1,Return,1.32549958056188,1
3,231173002,23,239988.116432619,240109.762970169,239991.228375857,240114.175771651,OK,OK,7,10,j,j,3.03004833488376,4.35339574134559,4,34,2,CFS,14,177,179,Binocular,go,bandana,paper towel,j,j,0,1,240242.386450479,240248.03002298,240249.811123329,240250.62162938,Return,Return,3,1,1,1,3,0.1,0.1,paper towels,5.62714051522198,1,Return,0.746362206962658,1
3,231173002,24,239996.351585259,240119.509101463,240000.464186827,240122.020684717,OK,OK,0,10,j,j,4.01835898082936,2.43885818260605,107,64,2,CFS,17,147,146,CFS,go,ring,hole punch,j,j,0,1,240252.1726104,240256.455319749,240258.646699944,240262.158922814,Return,Return,7,1,1,3,3,0.1,0.1,NO RESPONSE,4.27256394567667,1,Return,3.43827923870413,1
3,231173002,25,240266.581694627,240378.492137924,240269.693646619,240381.904286811,OK,OK,10,6,j,j,3.07892140158219,3.37882852304028,11,103,3,CFS,33,122,32,CFS,go,bib,lure,j,j,0,1,240508.24380933,240517.869873456,240519.62094811,240521.031863949,Return,Return,0,1,1,2,2,0.1,0.1,fish hook ,9.60432324386784,1,Return,1.35510238824645,1
3,231173002,26,240274.236524236,240385.906788525,240279.149605983,240390.819908908,OK,OK,2,1,NO RESPONSE,NO RESPONSE,NaN,NaN,113,76,3,Binocular,27,121,61,Not Studied,go,radio,mug,z,z,1,1,240523.123188876,240525.364578897,240527.395838547,240528.106288121,Return,Return,3,1,1,,,0.1,0.1,mug,2.22057792363921,1,Return,0.619876550306799,1
3,231173002,27,240281.771236269,240392.450903415,240286.684383819,240397.363968259,OK,OK,9,0,NO RESPONSE,NO RESPONSE,NaN,NaN,52,26,3,Binocular,36,113,76,CFS,nogo,deoderant,radio,z,z,1,1,240530.137607537,240535.25083393,240537.192005926,240542.105132347,Return,OK,4,1,1,,,0.1,0.1,NO RESPONSE,5.08566226443509,1,NO RESPONSE,NaN,1
3,231173002,28,240289.566175732,240400.055702069,240294.479245707,240404.968812794,OK,OK,9,10,NO RESPONSE,NO RESPONSE,NaN,NaN,117,135,3,Binocular,35,163,161,Binocular,nogo,plane,moccosin,z,z,1,1,240544.006343933,240550.390329826,240552.481648113,240557.394720201,Return,OK,6,1,1,,,0.1,0.1,shoe,6.360178862873,1,NO RESPONSE,NaN,1
3,231173002,29,240296.250374216,240406.659860202,240301.163500335,240411.572937422,OK,OK,1,0,NO RESPONSE,NO RESPONSE,NaN,NaN,111,125,3,Binocular,29,111,125,Not Studied,go,kid toy,kid toy,z,z,1,1,240558.965723684,240564.419200351,240566.09020477,240567.200891417,Return,Return,1,1,1,,,0.1,0.1,rattle,5.42409541527741,1,Return,1.0034763799631,1
3,231173002,30,240303.094660948,240413.314074343,240314.611924976,240427.232827507,OK,OK,0,0,f,f,11.483677132841,13.8186622773937,78,98,3,Not Studied,32,174,131,Binocular,go,sweater,paint tray,f,f,0,0,240568.791971395,240573.474864086,240575.516148097,240576.927019565,Return,Return,5,1,1,,,0.1,0.1,NO RESPONSE,4.66141954748309,1,Return,1.33707302511903,1
3,231173002,31,240317.823931633,240430.464801992,240319.735163959,240433.876989214,OK,OK,10,9,j,j,1.85017487546429,3.35559892770834,121,61,3,CFS,26,95,66,CFS,go,mug,shoe,j,j,0,1,240578.52806595,240581.539683163,240583.411148262,240584.621862708,Return,Return,3,1,1,1,3,0.1,0.1,NO RESPONSE,2.99691058881581,1,Return,1.19365280692,1
3,231173002,32,240323.617579187,240437.329152541,240332.1329292,240449.346744527,OK,OK,0,0,f,f,8.47193827579031,11.9624610126193,163,161,3,Not Studied,28,78,98,Binocular,go,moccosin,sweater,f,f,0,0,240586.222921167,240591.41615501,240592.997164443,240594.207894887,Return,Return,1,1,1,,,0.1,0.1,sweater,5.1655649728491,1,Return,1.10317848646082,1
3,231173002,33,240334.254290086,240451.558107342,240344.070448838,240465.576926339,OK,OK,0,0,f,f,9.77858354346245,13.9247167687572,122,32,3,Not Studied,25,11,103,Not Studied,nogo,lure,bib,f,f,0,0,240595.848935489,240601.922805771,240604.564434372,240609.477546002,Return,OK,10,1,1,,,0.1,0.1,bandana,6.05901001801249,1,NO RESPONSE,NaN,1
3,231173002,34,240346.181779024,240467.848391559,240358.399500261,240483.768369621,OK,OK,0,0,f,f,12.1223738872795,15.905437756126,95,66,3,Not Studied,31,97,151,Not Studied,go,shoe,scissors,f,f,0,0,240610.978189391,240615.971627524,240617.862813842,240619.273675349,Return,Return,3,1,1,,,0.1,0.1,scissor,4.96904521650868,1,Return,1.32435950182844,1
3,231173002,35,240360.820997069,240486.500122097,240362.832322093,240491.71338444,OK,OK,0,5,j,j,1.91493750695372,5.11739672053955,97,151,3,CFS,34,117,135,Binocular,go,scissors,plane,j,j,0,1,240620.974453422,240623.255890181,240625.647686383,240626.758414382,Return,Return,5,1,1,3,3,0.1,0.1,NO RESPONSE,2.26844010240166,1,Return,1.01910424279049,1
3,231173002,36,240367.175018541,240496.166189496,240375.690437978,240503.580850963,OK,OK,6,8,f,j,8.43225134012755,7.37870325622498,174,131,3,CFS,30,52,26,CFS,go,paint tray,deoderant,j,j,0,1,240628.289394973,240634.03298652,240636.394479628,240637.305058454,Return,Return,9,1,1,,2,0.1,0.1,deodorant,5.72894982053549,1,Return,0.863771605130751,1
