subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,tType_study,eyes_1,eyes_2,transparency,pas,RoboRT,meanRoboRT,roboBCFS
35,1928503504,1,1877565.67173981,1877567.98305975,OK,7,j,2.27528185700066,14,CFS,0,1,0.5,3,3.90413182773824,2.34671662001737,j
35,1928503504,2,1877575.24731092,1877577.55874346,OK,10,j,2.27522873179987,18,CFS,0,1,0.389400391535702,3,4.06850188926186,2.49054657589196,j
35,1928503504,3,1877583.78238446,1877585.09315354,OK,11,j,1.29965568333864,19,CFS,0,1,0.343644639395486,2,5.6781234863861,2.56660933584118,j
35,1928503504,4,1877600.46218961,1877608.37684425,OK,10,j,7.85067035630345,4,CFS,0,1,0.303265329856317,1,2.61373925845048,2.64557860575162,j
35,1928503504,5,1877617.50220152,1877622.51516041,OK,5,f,4.96189154102467,5,CFS,0,1,0.45241870901798,,4.21282738532387,2.40295751402422,j
35,1928503504,6,1877626.54752955,1877631.76057784,OK,6,j,5.13208815502003,1,CFS,0,1,0.45241870901798,2,4.98707817056899,2.40295751402422,j
35,1928503504,7,1877636.09313211,1877642.20671826,OK,1,f,6.02594192046672,11,CATCH,0,0,0,,0,NaN,f
35,1928503504,8,1877645.35857889,1877651.67227196,OK,1,f,6.27200712100603,20,CATCH,0,0,0,,0,NaN,f
35,1928503504,9,1877654.12372941,1877656.63517227,OK,0,j,2.43459206470288,15,CFS,0,1,0.674929403788002,3,4.10422611392305,2.18777190939256,j
35,1928503504,10,1877663.15899749,1877667.37148013,OK,1,j,4.19869819516316,12,CFS,0,1,0.62096502822425,2,3.08622180666194,2.23049805869657,j
35,1928503504,11,1877698.51974576,1877700.3308271,OK,1,j,1.74025148060173,9,CFS,0,1,0.826325737246248,3,1.66316775916046,2.0883487849118,j
35,1928503504,12,1877705.04358668,1877708.25545747,OK,11,j,3.17602135124616,2,CFS,0,1,0.776261191708101,2,2.36821155520499,2.11841127978635,j
35,1928503504,13,1877711.88760041,1877718.20130132,OK,1,f,6.24348320323043,13,CATCH,0,0,0,,0,NaN,f
35,1928503504,14,1877720.92292161,1877725.33548942,OK,1,j,4.35176862613298,7,CFS,0,1,0.96943291131456,2,1.51939754716069,2.01403505689409,j
35,1928503504,15,1877729.47790346,1877730.68861606,OK,5,j,1.10848675458692,8,CFS,0,1,1,2,3.23040364846474,2,j
35,1928503504,16,1877735.29131234,1877741.20478675,OK,1,f,5.89449669909664,6,CATCH,0,0,0,,0,NaN,f
35,1928503504,17,1877744.19657682,1877746.20770198,OK,6,j,1.94899242022075,10,CFS,0,1,0.951229424500714,2,2.92078760480982,2.02266959692358,j
35,1928503504,18,1877751.20069069,1877754.61269676,OK,9,j,3.37641834048554,17,CFS,0,1,0.90483741803596,2,2.09502061940338,2.04568180093028,j
35,1928503504,19,1877758.76503672,1877762.67737679,OK,0,j,3.88366190856323,3,CFS,0,1,1,2,1.21280751481327,2,j
35,1928503504,20,1877766.69974787,1877770.2117905,OK,1,j,3.42057158309035,16,CFS,0,1,1,2,1.18800077569508,2,j
