subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType,swap,trial_test,item_test,pair_test,tType_test,swap_test,name_test,roboBCFS_1,roboBCFS_2,mm_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
4,928780701,1,114622.811285194,114731.405466924,114624.519679877,114732.313866859,OK,OK,3,9,j,j,1.67326495979796,0.840127220886643,64,107,watch,1,CFS,mismatch,4,37,112,NOT STUDIED,mismatch,comb,j,j,q,1,0,114883.78412534,114895.992404115,114898.684455194,114907.993004179,OK,OK,10,8,1,1,3,3,2.77438609723773,3.26110699840806,2,2,NO RESPONSE,12.1947933249321,2,NaN,q,9.26978386213887,2,NaN
4,928780701,2,114633.719878913,114737.914020256,114638.228326297,114742.02242816,OK,OK,1,5,NO RESPONSE,NO RESPONSE,NaN,NaN,81,96,stroller,1,BINOCULAR,mismatch,12,164,54,NOT STUDIED,mismatch,monitor,z,z,q,1,1,114911.401442448,114923.21805095,114925.593441611,114930.001898896,OK,OK,6,4,1,1,,,0,0,NaN,NaN,NO RESPONSE,11.8076992965362,2,NaN,q,4.30328514103894,2,NaN
4,928780701,3,114642.886772565,114744.672488317,114646.495206729,114749.18092876,OK,OK,10,1,NO RESPONSE,NO RESPONSE,NaN,NaN,119,7,pill,1,BINOCULAR,match,10,102,110,CFS,match,saddle,z,z,p,1,1,114932.410271665,114937.776735614,114941.427133534,114949.735666521,OK,OK,0,3,1,1,,,0,0,NaN,NaN,mirror,5.35796464691521,2,NaN,q,8.22840055079723,2,NaN
4,928780701,4,114651.620340672,114753.039319609,114658.128738253,114760.347860143,OK,OK,0,0,f,f,6.41402508558531,7.21245839845506,37,112,comb,1,NOT STUDIED,mismatch,5,92,94,CFS,mismatch,sock,f,f,q,0,0,114952.535749105,114956.84386072,114958.860883773,114965.169369673,OK,OK,5,7,0,0,,,0,0,NaN,NaN,sock,4.29526486441318,2,NaN,p,6.20957338079461,2,NaN
4,928780701,5,114661.278853044,114763.822938456,114664.387259438,114765.131305732,OK,OK,0,0,j,j,3.06714019832725,1.23652767992462,92,94,sock,1,CFS,mismatch,1,64,107,CFS,mismatch,watch,j,j,q,1,0,114968.10277732,114971.802547134,114973.852909075,114976.961321204,OK,OK,4,3,1,1,3,2,1.26262132514347,2.22678651755394,2,2,clock,3.67918923698016,2,NaN,q,3.07284624286694,2,NaN
4,928780701,6,114669.345721583,114769.723083884,114676.75421177,114774.231517082,OK,OK,0,0,f,f,7.30341191519983,4.45581528160255,68,73,vase,1,NOT STUDIED,match,6,68,73,NOT STUDIED,match,vase,f,f,p,0,0,114978.853052148,114986.336249441,114988.76161206,114993.77005371,OK,OK,9,10,0,0,,,0,0,NaN,NaN,NO RESPONSE,7.4720363371016,2,NaN,p,4.99497098985012,2,NaN
4,928780701,7,114681.095985847,114778.85667638,114684.90441168,114782.765001156,OK,OK,8,7,NO RESPONSE,NO RESPONSE,NaN,NaN,30,69,cane,1,BINOCULAR,mismatch,8,111,125,NOT STUDIED,match,kid toy,z,z,p,1,1,114995.653441103,115003.469981388,115005.753682638,115009.762114327,OK,OK,8,9,1,1,,,0,0,NaN,NaN,saddle,7.80655108485371,2,NaN,q,3.95399426134827,2,NaN
4,928780701,8,114688.087816762,114785.498424982,114693.196285336,114789.506880517,OK,OK,0,0,f,f,5.00831910142733,3.90349256771151,111,125,kid toy,1,NOT STUDIED,match,3,119,7,BINOCULAR,match,pill,f,f,p,0,0,115014.012218916,115019.195371657,115021.637395721,115023.945792275,OK,OK,9,1,0,0,,,0,0,NaN,NaN,pill,5.17478323128307,2,NaN,p,2.29328869674646,2,NaN
4,928780701,9,114696.971377111,114793.598647199,114701.079786826,114797.407079069,OK,OK,5,8,NO RESPONSE,NO RESPONSE,NaN,NaN,1,104,teapot,1,BINOCULAR,match,7,30,69,BINOCULAR,mismatch,cane,z,z,q,1,1,115025.720831832,115029.062287766,115031.13762814,115034.946082045,OK,OK,1,3,1,1,,,0,0,NaN,NaN,cane,3.32146697019925,2,NaN,q,3.74442178607569,2,NaN
4,928780701,10,114704.563209596,114800.082130035,114709.171665493,114801.590534558,OK,OK,0,1,j,j,4.57187581686594,1.41500094477669,102,110,saddle,1,CFS,match,2,81,96,BINOCULAR,mismatch,stroller,j,j,q,1,0,115037.087790803,115042.97927001,115045.162960334,115048.071372041,OK,OK,5,1,1,1,2,2,2.19401264170613,2.1355770274983,2,2,NO RESPONSE,5.88162311974156,2,NaN,q,2.87819659532397,2,NaN
