subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,pair,list,tType_study,trial_test,item_test,pair_test,tType_test,gonogo_answer,name,name_test,roboBCFS,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency,pas,RoboRT,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
5,231353829,1,2170040.90782237,2170042.71895677,OK,1,f,1.7137135239318,202,208,1,CFS,5,205,204,Binocular,go,zip tie,cheese grater,j,0,1,2170186.95865471,2170193.65278288,2170198.45576262,2170199.3663334,Return,Return,8,1,,0.1, ,6.66775495978072,1,Return,0.874541480094194,1
5,231353829,2,2170047.29179355,2170049.70329645,OK,0,f,2.38561237044632,208,202,1,Not Studied,3,197,194,Not Studied,go,hockey stick,pipe,f,0,0,2170201.78787213,2170204.54958446,2170208.83221787,2170209.74281189,Return,Return,10,1,,0.1,NO RESPONSE,2.74228122644126,1,Return,0.89780495967716,1
5,231353829,3,2170053.93592672,2170056.64763562,OK,0,f,2.68531908653677,197,194,1,Not Studied,9,199,195,CFS,go,pipe,scroll,f,0,0,2170212.52448147,2170215.5663704,2170218.30809652,2170219.61889767,Return,Return,7,1,,0.1,NO RESPONSE,3.01345012383536,1,Return,1.21376695204526,1
5,231353829,4,2170059.78959392,2170062.60134803,OK,1,j,2.79951805621386,207,206,1,CFS,7,201,203,Binocular,go,axe,bellow,j,0,1,2170222.29053481,2170226.7533002,2170229.57505421,2170230.68574682,Return,Return,5,1,2@,0.1, ,4.44713707221672,1,Return,1.01856749737635,1
5,231353829,5,2170073.65822022,2170078.57131481,OK,6,NO RESPONSE,NaN,205,204,1,Binocular,12,200,196,Binocular,nogo,cheese grater,tape,z,1,1,2170233.62754918,2170236.729465,2170239.23104703,2170244.14407401,Return,OK,3,1,,0.1, ,3.07794207474217,1,NO RESPONSE,NaN,1
5,231353829,6,2170083.11414373,2170088.02718943,OK,10,NO RESPONSE,NaN,203,201,1,Binocular,10,198,193,Not Studied,nogo,bowling pin,chest,z,1,1,2170246.46550444,2170248.86668234,2170252.71937484,2170257.63238945,Return,OK,8,1,,0.1, ,2.37574135931209,1,NO RESPONSE,NaN,1
5,231353829,7,2170091.40929754,2170096.3223698,OK,5,NO RESPONSE,NaN,201,203,1,Binocular,8,206,207,Not Studied,go,bellow,frame,z,1,1,2170259.53360116,2170261.71491582,2170266.76805525,2170267.97880786,Return,Return,8,1,,0.1,NO RESPONSE,2.17134192120284,1,Return,1.15283449320123,1
5,231353829,8,2170099.03404127,2170104.84764697,OK,0,f,5.80213847244158,206,207,1,Not Studied,6,203,201,Binocular,go,frame,bowling pin,f,0,0,2170271.50099311,2170274.53286493,2170277.54479098,2170278.35522568,Return,Return,2,1,,0.1, ,3.01973115466535,1,Return,0.743892838712782,1
5,231353829,9,2170108.28981186,2170110.50117724,OK,6,j,2.19428573502228,199,195,1,CFS,11,204,205,CFS,go,scroll,bowtie,j,0,1,2170280.65664694,2170283.02812277,2170286.11000648,2170286.82044607,Return,Return,6,1,2@,0.1, ,2.3518626964651,1,Return,0.682482238858938,1
5,231353829,10,2170116.314792,2170119.72690194,OK,0,f,3.32915855711326,198,193,1,Not Studied,2,208,202,Not Studied,go,chest,hockey stick,f,0,0,2170288.92181855,2170290.42266556,2170293.60465577,2170294.61526905,Return,Return,1,1,,0.1, ,1.4785521873273,1,Return,0.979655774775893,1
5,231353829,11,2170122.61871172,2170124.32978461,OK,9,j,1.69710416952148,204,205,1,CFS,4,207,206,CFS,nogo,bowtie,axe,j,0,1,2170296.56648662,2170298.74753715,2170302.30004872,2170307.21307329,Return,OK,3,1,2@,0.1, ,2.16173775168136,1,NO RESPONSE,NaN,1
5,231353829,12,2170129.21282425,2170134.12587508,OK,1,NO RESPONSE,NaN,200,196,1,Binocular,1,202,208,CFS,nogo,tape,zip tie,z,1,1,2170309.28436818,2170311.16521393,2170314.89783001,2170319.81088235,Return,OK,9,1,,0.1,NO RESPONSE,1.86758519615978,1,NO RESPONSE,NaN,1
