subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,tType,eyes_1,eyes_2,transparency,pas,RoboRT,meanRoboRT,roboBCFS
5,928893976,1,181793.826562244,181829.537362985,OK,1,NO RESPONSE,NaN,12,CATCH,0,0,0,,0,NaN,f
5,928893976,2,181840.31315157,181843.221690103,OK,1,j,2.81342262713588,16,CFS,0,1,0.5,1,2.00457938752775,2.34671662001737,j
5,928893976,3,181858.014358468,181858.522737988,OK,7,f,0.479350175883155,13,CFS,0,1,0.343644639395486,,3.29553565325827,2.56660933584118,j
5,928893976,4,181863.673098784,181867.481699436,OK,7,j,3.79597628462943,20,CFS,0,1,0.343644639395486,3,2.32020821207959,2.56660933584118,j
5,928893976,5,181874.932232766,181877.740753731,OK,5,j,2.8002416571544,17,CFS,0,1,0.343644639395486,2,2.87669517590728,2.56660933584118,j
5,928893976,6,181885.349622301,181887.658099197,OK,4,j,2.26234923591255,4,CFS,0,1,0.343644639395486,3,3.01080748153675,2.56660933584118,j
5,928893976,7,181893.133509691,181899.842294711,OK,2,j,6.66971691159415,6,CFS,0,1,0.343644639395486,3,3.03275448857991,2.56660933584118,j
5,928893976,8,181904.167586791,181907.076111439,OK,4,j,2.8512350594392,9,CFS,0,1,0.343644639395486,3,3.39187690144034,2.56660933584118,j
5,928893976,9,181911.418096456,181913.32659092,OK,1,j,1.86438131725299,3,CFS,0,1,0.343644639395486,3,2.4853932476364,2.56660933584118,j
5,928893976,10,181918.193566595,181920.202073494,OK,5,j,1.91249964531744,15,CFS,0,1,0.343644639395486,3,3.45296498916248,2.56660933584118,j
5,928893976,11,181927.24420533,181932.452931489,OK,1,f,5.1010559143615,5,CATCH,0,0,0,,0,NaN,f
5,928893976,12,181935.378132473,181939.686769044,OK,1,f,4.27079546437017,7,CATCH,0,0,0,,0,NaN,f
5,928893976,13,181942.795298341,181945.303792562,OK,7,j,2.40530879050493,10,CFS,0,1,0.343644639395486,3,3.2763480446258,2.56660933584118,j
5,928893976,14,181949.6541079,181952.662683318,OK,0,j,2.99397638000664,14,CFS,0,1,0.343644639395486,3,3.39562331729785,2.56660933584118,j
5,928893976,15,181958.321359643,181960.929852114,OK,10,j,2.51034030615119,19,CFS,0,1,0.343644639395486,3,2.48849098647039,2.56660933584118,j
5,928893976,16,181965.380201922,181968.188782653,OK,7,j,2.73906370077748,2,CFS,0,1,0.343644639395486,3,5.20949894961527,2.56660933584118,j
5,928893976,17,181971.288966537,181976.09764748,OK,1,f,4.71783041016897,18,CATCH,0,0,0,,0,NaN,f
5,928893976,18,181979.322867057,181984.731567681,OK,10,j,5.37940142917796,8,CFS,0,1,0.343644639395486,3,4.71216502897992,2.56660933584118,j
5,928893976,19,181990.681967897,181993.690544522,OK,8,j,2.97979237890104,11,CFS,0,1,0.343644639395486,3,3.08926380322734,2.56660933584118,j
5,928893976,20,181997.799090118,182002.107771363,OK,3,j,4.21418623477803,1,CFS,0,1,0.343644639395486,3,2.86664553329811,2.56660933584118,j
