subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS_1,roboBCFS_2,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
51,32031609,1,2512101.17735524,2512324.2044019,2512117.59744496,2512333.42006799,OK,OK,7,3,j,j,16.3950515217148,9.13804860785604,153,8,knife,1,CFS,12,143,128,CFS,high heel,j,j,go,1,0,2512545.63050011,2512548.1820658,2512554.27580805,2512557.48780855,Return,OK,7,1,1,3#,3#,2.38466396782462,2.39774437288623,2,2,NO RESPONSE,2.53800085559487,2,NO RESPONSE,NaN,2
51,32031609,2,2512128.32406584,2512340.5044214,2512142.2425902,2512347.81896499,OK,OK,10,12,j,j,13.8706773784943,7.24506954150274,61,121,glass,1,CFS,10,172,170,Not Studied,paint brush,j,j,go,1,0,2512560.11941039,2512561.13003376,2512563.77161484,2512565.48267359,Return,Return,3,1,1,3#,3#,1.57506388076296,3.59823665053541,2,2,NO RESPONSE,1.00028433650732,2,Return,1.67578384187073,2
51,32031609,3,2512146.93547618,2512352.73193302,2512175.86325113,2512367.5510426,OK,OK,0,0,f,f,28.8251597206108,14.736314276699,53,23,floss,1,Not Studied,6,56,99,CFS,clothes pin,f,f,nogo,0,0,2512567.66373818,2512568.71439593,2512570.73592762,2512574.64830373,Return,OK,0,0,0,,,0,0,NaN,NaN,NO RESPONSE,1.03142882324755,2,NO RESPONSE,NaN,2
51,32031609,4,2512179.2053352,2512370.08263109,2512206.63215995,2512385.40201082,OK,OK,0,0,f,f,27.3533235052601,15.3043687585741,56,99,clothes pin,1,Not Studied,3,141,155,Binocular,purse,f,f,nogo,0,0,2512576.61955226,2512577.2899645,2512579.63135765,2512583.04348897,Return,OK,5,0,0,,,0,0,NaN,NaN,NO RESPONSE,0.651035412680358,2,NO RESPONSE,NaN,2
51,32031609,5,2512209.85413818,2512388.27377302,2512228.57564705,2512404.39371436,OK,OK,6,8,f,f,18.7109790649265,16.0160888480023,141,155,purse,1,CFS,4,184,181,Not Studied,mailbox,j,j,go,1,0,2512584.99469088,2512594.98087883,2512598.14277366,2512600.35413124,Return,Return,0,1,1,,,2.39765970560062,2.89695904308305,2,2,shoe,9.97075440874323,2,Return,2.17443097988144,2
51,32031609,6,2512233.61876897,2512407.28550024,2512237.13096163,2512411.09786543,OK,OK,4,1,NO RESPONSE,NO RESPONSE,NaN,NaN,8,153,bed,1,Binocular,9,53,23,Binocular,floss,z,z,go,1,1,2512603.43603248,2512615.62352089,2512617.84454107,2512621.65721867,Return,OK,1,1,1,,,0,0,NaN,NaN,keyboard,12.1681121941656,2,NO RESPONSE,NaN,2
51,32031609,7,2512240.29288664,2512413.37920264,2512260.41520559,2512428.79871312,OK,OK,0,0,f,f,20.0862894351594,15.3891166797839,172,170,paint brush,1,Not Studied,2,32,122,CFS,chain,f,f,go,0,0,2512623.99863989,2512626.47016913,2512630.81284482,2512632.82405165,Return,Return,11,0,0,,,0,0,NaN,NaN,chain,2.44475966971368,2,Return,1.92625969741493,2
51,32031609,8,2512263.13687927,2512431.00003018,2512284.66010852,2512451.12239773,OK,OK,0,0,f,f,21.4167392603122,20.0468285633251,50,80,dresser,1,Not Studied,8,50,80,Binocular,dresser,f,f,go,0,0,2512634.72525323,2512637.83716825,2512640.55881778,2512643.3705663,Return,Return,2,0,0,,,0,0,NaN,NaN,ladder,3.10141962906346,2,Return,2.72356170183048,2
51,32031609,9,2512288.6325783,2512454.11426638,2512299.44919163,2512461.82897562,OK,OK,11,8,j,j,10.7920586857945,7.67585447290912,85,25,foot stool,1,CFS,11,8,153,Not Studied,bed,j,j,nogo,1,0,2512645.72200962,2512652.2660401,2512657.33914804,2512660.05083282,Return,OK,12,1,1,3#,3#,1.02751853036139,2.6394152324736,2,2,gates,6.51975926198065,2,NO RESPONSE,NaN,2
51,32031609,10,2512305.68305706,2512469.08342977,2512308.79499562,2512471.99525774,OK,OK,8,10,NO RESPONSE,NO RESPONSE,NaN,NaN,32,122,chain,1,Binocular,7,61,121,Not Studied,glass,z,z,go,1,1,2512661.96200488,2512665.08391272,2512668.34591386,2512669.9568992,Return,Return,11,1,1,,,0,0,NaN,NaN,table,3.09493150888011,2,Return,1.51075014658272,2
