subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType_study,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
55,282801330,1,755649.484634594,755674.610465845,OK,2,LeftArrow,25.022918088478,1,\LEFT,0,1,right,3
55,282801330,2,755676.94195348,755686.658093789,OK,0,LeftArrow,9.61312180256937,2,\LEFT,1,0,left,3
55,282801330,3,755689.27970204,755696.394220945,OK,5,RightArrow,7.0908226526808,3,\RIGHT,0,1,right,3
55,282801330,4,755699.486132664,755702.297909795,OK,10,LeftArrow,2.78011692967266,1,\LEFT,0,1,right,3
55,282801330,5,755704.859523401,755708.571863146,OK,9,RightArrow,3.63845135224983,4,\RIGHT,1,0,left,3
55,282801330,6,755710.3930048,755712.204160125,OK,3,LeftArrow,1.71271041419823,2,\LEFT,1,0,left,3
55,282801330,7,755714.475533584,755716.28672181,OK,7,RightArrow,1.75003690086305,4,\RIGHT,1,0,left,3
55,282801330,8,755718.408064888,755719.919003395,OK,6,RightArrow,1.40125399606768,3,\RIGHT,0,1,right,3
55,282801330,9,755722.200441362,755725.412467638,OK,9,LeftArrow,3.16869151126593,2,\LEFT,1,0,left,3
55,282801330,10,755727.743945916,755731.256151581,OK,9,LeftArrow,3.44885628391057,1,\LEFT,0,1,right,3
55,282801330,11,755739.411288017,755740.722117498,OK,2,RightArrow,1.29297850944567,4,\RIGHT,1,0,left,3
55,282801330,12,755743.37378827,755745.084872933,OK,6,RightArrow,1.69825583335478,3,\RIGHT,0,1,right,3
55,282801330,13,755747.386343323,755748.797218715,OK,8,RightArrow,1.34159047773574,3,\RIGHT,0,1,right,3
55,282801330,14,755751.218738766,755752.429491245,OK,10,RightArrow,1.16503492835909,4,\RIGHT,1,0,left,3
55,282801330,15,755753.880443559,755755.29129269,OK,0,RightArrow,1.34320445742924,3,\RIGHT,0,1,right,3
55,282801330,16,755757.702810112,755758.713462317,OK,10,RightArrow,0.984633839107119,4,\RIGHT,1,0,left,3
55,282801330,17,755761.074937918,755762.886074528,OK,9,LeftArrow,1.78034663584549,1,\LEFT,0,1,right,3
55,282801330,18,755764.30696915,755765.717871104,OK,0,LeftArrow,1.38015031418763,1,\LEFT,0,1,right,3
55,282801330,19,755767.629080189,755768.639719716,OK,1,RightArrow,0.905888414708897,4,\RIGHT,1,0,left,3
55,282801330,20,755770.120645809,755771.73162721,OK,0,LeftArrow,1.57419341010973,1,\LEFT,0,1,right,3
55,282801330,21,755776.184463657,755777.795474639,OK,3,RightArrow,1.59797599038575,3,\RIGHT,0,1,right,3
55,282801330,22,755779.826765077,755781.63788086,OK,6,LeftArrow,1.70756149617955,2,\LEFT,1,0,left,3
55,282801330,23,755783.869297833,755785.380260187,OK,3,LeftArrow,1.43281428609043,1,\LEFT,0,1,right,3
55,282801330,24,755787.361499748,755788.472182471,OK,6,LeftArrow,1.02043146709912,1,\LEFT,0,1,right,3
55,282801330,25,755789.993158622,755794.606049511,OK,2,LeftArrow,4.56442410929594,2,\LEFT,1,0,left,3
55,282801330,26,755796.827458421,755798.138299372,OK,5,RightArrow,1.21803938446101,4,\RIGHT,1,0,left,3
55,282801330,27,755799.799332252,755801.210235716,OK,3,RightArrow,1.36602172884159,4,\RIGHT,1,0,left,3
55,282801330,28,755803.331557966,755809.745601249,OK,7,LeftArrow,6.37734494160395,2,\LEFT,1,0,left,3
55,282801330,29,755811.64678084,755814.458568234,OK,4,RightArrow,2.7899109821301,3,\RIGHT,0,1,right,3
55,282801330,30,755816.639990172,755818.050848962,OK,8,LeftArrow,1.32454393070657,2,\LEFT,1,0,left,3
55,282801330,31,755821.462982454,755822.673756365,OK,0,LeftArrow,1.10922268487047,2,\LEFT,1,0,left,3
55,282801330,32,755824.534913063,755826.246004668,OK,4,LeftArrow,1.64520036499016,1,\LEFT,0,1,right,3
55,282801330,33,755827.626845912,755828.937694409,OK,0,RightArrow,1.22510956320912,3,\RIGHT,0,1,right,3
55,282801330,34,755831.008992043,755832.720078215,OK,7,LeftArrow,1.69869441818446,1,\LEFT,0,1,right,3
55,282801330,35,755835.171639356,755836.282329926,OK,0,RightArrow,1.03994139330462,3,\RIGHT,0,1,right,3
55,282801330,36,755838.32360609,755839.7344519,OK,5,RightArrow,1.37586166197434,4,\RIGHT,1,0,left,3
55,282801330,37,755842.136014989,755845.24797996,OK,9,LeftArrow,3.06714813387953,2,\LEFT,1,0,left,3
55,282801330,38,755846.688881048,755848.299900783,OK,1,LeftArrow,1.50614637380932,2,\LEFT,1,0,left,3
55,282801330,39,755850.391218164,755851.702047644,OK,7,RightArrow,1.2435895849485,4,\RIGHT,1,0,left,3
55,282801330,40,755853.463087799,755856.174886935,OK,4,RightArrow,2.61150842648931,3,\RIGHT,0,1,right,3
