subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,list,tType_study,trial_test,item_test,pair_test,tType_test,gonogo_answer,name,name_test,roboBCFS_1,roboBCFS_2,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
57,283448436,1,762135.327450724,762253.842081735,762147.044856681,762257.854602981,OK,OK,0,0,f,f,11.6736120816786,3.98542528378312,53,23,1,Not Studied,12,8,153,CFS,nogo,floss,bed,f,f,0,0,762404.306754235,762408.559440604,762411.621354397,762415.533822186,Return,OK,0,0,0,,,0,0,NaN,NaN,bed,4.23317523556761,1,NO RESPONSE,NaN,1
57,283448436,2,762151.057356496,762261.466847312,762159.172485133,762264.678890492,OK,OK,0,0,f,f,8.03109997219872,3.16032761347014,50,80,1,Not Studied,8,56,99,Not Studied,nogo,dresser,clothes pin,f,f,0,0,762418.575782638,762430.133037865,762433.254996108,762437.167463293,Return,OK,2,0,0,,,0,0,NaN,NaN,handbag,11.5310648069717,1,NO RESPONSE,NaN,1
57,283448436,3,762163.255085455,762268.851497874,762164.56585849,762270.062278727,OK,OK,2,8,j,j,1.23309675522614,1.19142335990909,153,8,1,CFS,9,61,121,CFS,go,knife,glass,j,j,0,1,762439.588977307,762446.503307798,762454.218168575,762455.428969954,Return,Return,0,0.16643554184904,0.111565080074215,2@,2@,5.74248335171215,3.45926328267799,3.06872396074853,3.39622817832047,wineglass,6.90106126642786,1,Return,1.14352133718785,1
57,283448436,4,762176.443352695,762276.316222593,762183.057498667,762281.029191389,OK,OK,0,0,f,f,6.59588297852315,4.70205398311373,172,170,1,Not Studied,5,85,25,Binocular,go,paint brush,foot stool,f,f,0,0,762457.380184725,762495.534199797,762499.146476426,762500.557359364,Return,Return,2,0,0,,,0,0,NaN,NaN,shoe,38.1314275071491,1,Return,1.39686181023717,1
57,283448436,5,762188.120680522,762285.281852403,762192.033175477,762289.194318079,OK,OK,7,6,NO RESPONSE,NO RESPONSE,NaN,NaN,32,122,1,Binocular,6,172,170,Not Studied,go,chain,paint brush,z,z,1,1,762503.71935861,762509.192778958,762512.004537978,762513.915845767,Return,Return,5,1,1,,,0,0,NaN,NaN,mailbox,5.44754747231491,1,Return,1.89815115265083,1
57,283448436,6,762195.61542641,762292.716517016,762196.726129657,762302.832900433,OK,OK,4,1,j,j,1.03113106265664,10.0447833322687,85,25,1,CFS,4,32,122,Binocular,nogo,foot stool,chain,j,j,0,1,762517.648107762,762520.569653621,762524.342000991,762528.254782701,Return,OK,6,0.150597105956101,0.100948258997328,2@,3#,2.56765803626841,4.65938935340672,3.14695325182835,3.48443145771426,chain,2.91024618991651,1,NO RESPONSE,NaN,1
57,283448436,7,762205.581682252,762311.378260748,762210.594845528,762315.690995793,OK,OK,0,0,f,f,4.90418720117304,4.27838568226434,56,99,1,Not Studied,2,184,181,CFS,go,clothes pin,mailbox,f,f,0,0,762530.526233433,762533.648189865,762536.920218332,762538.431203023,Return,Return,8,0,0,,,0,0,NaN,NaN,mailboax,3.0954717110144,1,Return,1.4533314780565,1
57,283448436,8,762214.977598071,762319.113134329,762218.890008207,762323.025644377,OK,OK,5,1,NO RESPONSE,NO RESPONSE,NaN,NaN,143,128,1,Binocular,11,50,80,Binocular,go,high heel,dresser,z,z,1,1,762540.552538554,762563.516955238,762566.238672184,762567.749620653,Return,Return,6,1,1,,,0,0,NaN,NaN,chest,22.9476858694106,1,Return,1.49333444808144,1
57,283448436,9,762222.042060062,762326.147581189,762225.954526946,762330.060037206,OK,OK,0,8,NO RESPONSE,NO RESPONSE,NaN,NaN,8,153,1,Binocular,1,153,8,Not Studied,go,bed,knife,z,z,1,1,762572.062376224,762579.336945645,762583.199357125,762585.710918948,Return,Return,9,1,1,,,0,0,NaN,NaN,cigarette,7.24506018683314,1,Return,2.45178571587894,1
57,283448436,10,762229.486737567,762333.362163511,762230.697511477,762334.372736935,OK,OK,1,3,j,j,1.1340861817589,0.949555212398991,61,121,1,CFS,3,141,155,Not Studied,go,glass,purse,j,j,0,1,762588.452684015,762593.886087809,762596.007407946,762597.518385091,Return,Return,3,0.136265896517006,0.140884644547479,3#,3#,4.95873483536664,4.64249164983204,3.22756497950953,3.20042525450347,handbag,5.40602047310676,1,Return,1.45919185108505,1
57,283448436,11,762236.791340231,762339.155761261,762238.102185709,762340.166383282,OK,OK,4,2,j,j,1.229189940379,0.947683152975515,141,155,1,CFS,10,143,128,Binocular,go,purse,high heel,j,j,0,1,762599.519620855,762603.352059763,762606.734192613,762607.544674214,Return,Return,8,0.123298481970803,0.131172448769989,2@,2@,5.52245671251757,3.67571797520088,3.31063169978843,3.25891595791758,shoe,3.81860371900257,1,Return,0.771867733914405,1
57,283448436,12,762245.636898044,762345.22959985,762249.549374889,762349.142062809,OK,OK,8,3,NO RESPONSE,NO RESPONSE,NaN,NaN,184,181,1,Binocular,7,53,23,CFS,go,mailbox,floss,z,z,1,1,762609.415838975,762625.776166045,762628.377797109,762630.389053312,Return,Return,6,1,1,,,0,0,NaN,NaN,box,16.3372755649034,1,Return,1.94313310063444,1
57,283448436,13,762648.710583897,762736.175643366,762651.722508692,762738.78733109,OK,OK,0,0,f,f,2.92933322745375,2.57993485522456,110,102,2,Not Studied,14,25,85,CFS,nogo,lazy chair,calculator,f,f,0,0,762811.63312042,762817.046540086,762820.388656684,762824.301093987,Return,OK,6,0,0,,,0,0,NaN,NaN,calculator,5.39044030220248,1,NO RESPONSE,NaN,1
57,283448436,14,762655.86514622,762742.289476774,762659.777572957,762746.201950298,OK,OK,7,7,NO RESPONSE,NO RESPONSE,NaN,NaN,155,141,2,Binocular,20,110,102,Not Studied,nogo,lamp,lazy chair,z,z,1,1,762826.452478155,762860.113642943,762863.345695305,762867.258172149,Return,OK,10,1,1,,,0,0,NaN,NaN,chair,33.6489484078484,1,NO RESPONSE,NaN,1
57,283448436,15,762663.780095499,762748.283247241,762664.690668288,762749.193849612,OK,OK,8,0,j,j,0.803139759460464,0.887746160617098,107,64,2,CFS,19,69,30,CFS,go,ring,umbrella,j,j,0,1,762870.119903868,762874.932993433,762877.864830185,762878.675325067,Return,Return,2,0.12212978477237,0.1,2@,2@,2.85853061456054,2.43785617914261,3.31867355897315,3.49289347245332,umbrella,4.7967550768517,1,Return,0.763733542175032,1
57,283448436,16,762672.755724919,762753.52659082,762676.968395037,762756.738602608,OK,OK,0,0,f,f,4.17890362278558,3.17204956698697,161,163,2,Not Studied,21,45,165,Binocular,go,pen,cutting board,f,f,0,0,762880.676309393,762886.309846966,762889.532148138,762890.742906353,Return,Return,0,0,0,,,0,0,NaN,NaN,cutting board,5.61586378701031,1,Return,1.11179623834323,1
57,283448436,17,762680.700733701,762760.090711271,762684.613225336,762764.003176042,OK,OK,4,5,NO RESPONSE,NO RESPONSE,NaN,NaN,45,165,2,Binocular,16,16,13,Not Studied,go,cutting board,book,z,z,1,1,762892.373955494,762896.066293603,762899.118176997,762900.228896544,Return,Return,7,1,1,,,0,0,NaN,NaN,book,3.67767042398918,1,Return,1.06938361795619,1
57,283448436,18,762688.245465568,762766.684860738,762690.857138804,762769.39656932,OK,OK,0,0,f,f,2.59251616918482,2.67713011661544,81,96,2,Not Studied,24,177,179,Binocular,nogo,stroller,paper towel,f,f,0,0,762902.08006148,762914.597972066,762916.609205329,762920.521667383,Return,OK,1,0,0,,,0,0,NaN,NaN,sock,12.4906437777681,1,NO RESPONSE,NaN,1
57,283448436,19,762694.559437585,762773.038878889,762695.670126043,762774.149563423,OK,OK,5,3,j,j,1.00613203598186,1.00289381400216,4,34,2,CFS,22,107,64,CFS,go,bandana,ring,j,j,0,1,762922.532938979,762933.429820862,762936.04141773,762936.952006216,Return,Return,7,0.113710496894816,0.1,2@,3#,3.53725852011676,3.19819798825205,3.37972549843496,3.49289347245332,cutting board,10.8848275952041,1,Return,0.816286434070207,1
57,283448436,20,762701.673914533,762777.951937998,762703.084825241,762778.862524069,OK,OK,1,2,j,j,1.35538612515666,0.865630685118958,69,30,2,CFS,15,155,141,Binocular,go,umbrella,lamp,j,j,0,1,762938.973278631,762941.705011789,762943.586198799,762944.896992359,Return,Return,0,0.105871611320413,0.1,3#,3#,3.75093325880068,3.36410988966507,3.4420998114296,3.49289347245332,lamp,2.71607329940889,1,Return,1.26308019272983,1
57,283448436,21,762707.777780629,762782.454759218,762712.090484885,762784.966333115,OK,OK,0,0,f,f,4.2110256513115,2.44240760977846,147,146,2,Not Studied,23,161,163,Not Studied,go,hole punch,pen,f,f,0,0,762946.648097801,762972.674468424,762975.126017189,762976.536934235,Return,Return,6,0,0,,,0,0,NaN,NaN,pool cue,26.0157033248106,1,Return,1.31366594333667,1
57,283448436,22,762715.252459681,762788.728772636,762719.164925659,762792.641149871,OK,OK,4,10,NO RESPONSE,NO RESPONSE,NaN,NaN,25,85,2,Binocular,13,4,34,Not Studied,go,calculator,bandana,z,z,1,1,762978.448127624,762995.398822915,762997.860331749,762999.571420033,Return,Return,1,1,1,,,0,0,NaN,NaN,umbrella,16.9345905088121,1,Return,1.6421722288942,1
57,283448436,23,762723.327566332,762795.753167363,762727.240022349,762799.665617947,OK,OK,2,7,NO RESPONSE,NO RESPONSE,NaN,NaN,177,179,2,Binocular,18,147,146,Binocular,go,paper towel,hole punch,z,z,1,1,763002.032676221,763016.83230519,763019.303836273,763021.315098211,Return,Return,3,1,1,,,0,0,NaN,NaN,lightbulb,14.7729326526169,1,Return,1.9416229565395,1
57,283448436,24,762730.442021245,762803.157813524,762731.352620295,762804.268514055,OK,OK,6,10,j,j,0.865930721745826,1.02650494477712,16,13,2,CFS,17,81,96,CFS,go,book,stroller,j,j,0,1,763023.316365066,763032.632242043,763035.1638215,763036.874879902,Return,Return,5,0.1,0.1,2@,3#,4.40051581430653,2.77220360533377,3.49289347245332,3.49289347245332,tent,9.29644341906533,1,Return,1.66486242238898,1
57,283448436,25,763053.705475125,763138.268731385,763057.618025318,763142.181213361,OK,OK,3,8,NO RESPONSE,NO RESPONSE,NaN,NaN,117,135,3,Binocular,29,97,151,CFS,nogo,plane,scissors,z,z,1,1,763210.964446567,763214.996992088,763219.409785118,763223.322218798,Return,OK,9,1,1,,,0,0,NaN,NaN,scissors,4.00722442287952,1,NO RESPONSE,NaN,1
57,283448436,26,763065.933169712,763144.282516166,763069.845656517,763148.194969165,OK,OK,8,1,NO RESPONSE,NO RESPONSE,NaN,NaN,52,26,3,Binocular,31,122,32,Not Studied,nogo,deoderant,lure,z,z,1,1,763225.893870952,763234.729159907,763238.361680857,763242.274179133,Return,OK,0,1,1,,,0,0,NaN,NaN,fishing lure,8.8208878004225,1,NO RESPONSE,NaN,1
57,283448436,27,763072.297209207,763150.176184579,763074.608663512,763152.187478814,OK,OK,0,0,f,f,2.29752946714871,1.99866734235547,95,66,3,Not Studied,28,121,61,CFS,go,shoe,mug,f,f,0,0,763244.685365729,763248.31797331,763251.199728397,763252.110368801,Return,Return,9,0,0,,,0,0,NaN,NaN,mug,3.62072504416574,1,Return,0.866273922612891,1
57,283448436,28,763077.360393175,763154.639025768,763080.372283559,763157.650924001,OK,OK,0,0,f,f,2.95411824400071,2.93566206831019,163,161,3,Not Studied,32,95,66,Binocular,go,moccosin,shoe,f,f,0,0,763253.981543824,763259.374934989,763261.756406793,763262.96720304,Return,Return,3,0,0,,,0,0,NaN,NaN,shoe,5.36398184206337,1,Return,1.17301608331036,1
57,283448436,29,763083.814447276,763161.453314575,763087.726917178,763165.365779647,OK,OK,3,10,NO RESPONSE,NO RESPONSE,NaN,NaN,111,125,3,Binocular,33,117,135,Not Studied,go,kid toy,plane,z,z,1,1,763265.138245039,763269.731451836,763272.303089502,763273.814002654,Return,Return,4,1,1,,,0,0,NaN,NaN,airplane,4.57477054290939,1,Return,1.4098297910532,1
57,283448436,30,763090.268499566,763168.717881367,763093.380497741,763170.92925203,OK,OK,0,0,f,f,3.00538918888196,2.14413046580739,122,32,3,Not Studied,26,78,98,Binocular,nogo,lure,sweater,f,f,0,0,763275.495071582,763279.087329067,763281.348739439,763285.261221113,Return,OK,3,0,0,,,0,0,NaN,NaN,sweater,3.57746634469368,1,NO RESPONSE,NaN,1
57,283448436,31,763097.232883047,763174.48151047,763098.543726111,763175.492149394,OK,OK,6,8,j,j,1.24069275252987,0.916314234375022,121,61,3,CFS,27,52,26,CFS,go,mug,deoderant,j,j,0,1,763288.042969831,763291.755315613,763294.517032209,763295.727814269,Return,Return,7,0.1,0.1,3#,3#,2.3884102237348,4.68774737238395,3.49289347245332,3.49289347245332,trashcan,3.6849437460769,1,Return,1.10674572258722,1
57,283448436,32,763104.427432643,763179.984998471,763105.538123817,763181.09568391,OK,OK,3,4,j,j,1.03782574262004,1.04455121140927,11,103,3,CFS,34,163,161,Binocular,go,bib,moccosin,j,j,0,1,763297.268781492,763311.68785718,763314.179403181,763315.590261065,Return,Return,7,0.1,0.1,2@,3#,2.63333046386977,4.82535414370427,3.49289347245332,3.49289347245332,slipper,14.4021212045336,1,Return,1.30743882525712,1
57,283448436,33,763111.982126692,763186.228893224,763115.194202472,763187.839875832,OK,OK,0,0,f,f,3.10667569399811,1.59227801137604,78,98,3,Not Studied,30,111,125,Not Studied,go,sweater,kid toy,f,f,0,0,763318.081872265,763323.975570862,763326.75734071,763328.068171699,Return,Return,9,0,0,,,0,0,NaN,NaN,baby toy,5.87641872186214,1,Return,1.24882543517742,1
57,283448436,34,763119.196704789,763190.241401189,763120.607611271,763191.2520706,OK,OK,6,0,j,j,1.32382885355037,0.923596310080029,174,131,3,CFS,36,11,103,Not Studied,go,paint tray,bib,j,j,0,1,763329.75922756,763332.430939812,763335.392781131,763336.703634458,Return,Return,9,0.1,0.1,2@,2@,5.35500430926157,5.05280388626073,3.49289347245332,3.49289347245332,bib,2.64666040230077,1,Return,1.25298670760822,1
57,283448436,35,763126.411229459,763195.344638234,763130.323727131,763199.257093044,OK,OK,1,0,NO RESPONSE,NO RESPONSE,NaN,NaN,113,76,3,Binocular,35,113,76,Binocular,go,radio,radio,z,z,1,1,763338.50472769,763376.999002997,763380.130905914,763381.341705482,Return,Return,10,1,1,,,0,0,NaN,NaN,desk,38.4669354520738,1,Return,1.144611611031,1
