subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,list,tType_study,trial_test,item_test,pair_test,tType_test,gonogo_answer,name,name_test,roboBCFS_1,roboBCFS_2,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
60,283682024,1,2331209.84048411,2331431.44810497,2331239.7704034,2331444.66682071,OK,OK,0,0,NO RESPONSE,f,NaN,13.1530318032019,203,201,1,Not Studied,6,206,207,Binocular,go,bowling pin,frame,f,f,0,0,2331719.32982631,2331726.49429198,2331732.0283246,2331734.53994198,Return,Return,7,0,0,,,0,0,NaN,NaN,picture frame,7.14944911981002,1,Return,2.43469518935308,1
60,283682024,2,2331247.52554696,2331447.11850625,2331256.84172865,2331456.03444677,OK,OK,4,2,f,j,9.30616080248728,8.89022270683199,201,203,1,CFS,10,205,204,Not Studied,go,bellow,cheese grater,j,j,0,1,2331738.68273345,2331750.72041336,2331755.16371496,2331757.67542501,Return,Return,7,0.5,1,,3#,3.63725181750341,2.04336233935418,2.34671662001737,2,NO RESPONSE,12.0196502739564,1,Return,2.45047058723867,1
60,283682024,3,2331263.45619642,2331464.06982776,2331267.36881414,2331467.98242617,OK,OK,2,9,NO RESPONSE,NO RESPONSE,NaN,NaN,198,193,1,Binocular,8,204,205,Binocular,go,chest,bowtie,z,z,1,1,2331760.32711568,2331763.72907863,2331766.44125504,2331768.05228774,Return,Return,1,1,1,,,0,0,NaN,NaN,bow,3.39087531063706,1,Return,1.52463234402239,1
60,283682024,4,2331274.06324135,2331472.215255,2331289.68366014,2331484.43341232,OK,OK,9,10,f,f,15.5113713745959,12.1125205256976,197,194,1,CFS,11,208,202,CFS,go,pipe,hockey stick,j,j,0,1,2331770.2337027,2331773.87583885,2331779.88019005,2331782.19168699,Return,Return,1,0.5,1,,,3.17252852700872,2.32943534587363,2.34671662001737,2,NO RESPONSE,3.62793521070853,1,Return,2.29317693365738,1
60,283682024,5,2331293.06588708,2331488.51611408,2331304.18332388,2331491.02775833,OK,OK,0,5,j,j,11.1001614909619,2.45152857899666,200,196,1,CFS,12,207,206,Not Studied,nogo,tape,axe,j,j,0,1,2331784.18297101,2331789.05595283,2331791.30778386,2331795.22043056,Return,OK,0,0.5,1,3#,3#,4.31349878978177,1.54397652375636,2.34671662001737,2,NO RESPONSE,4.86211212025955,1,NO RESPONSE,NaN,1
60,283682024,6,2331314.83042489,2331496.8216428,2331318.74298164,2331500.73424543,OK,OK,3,8,NO RESPONSE,NO RESPONSE,NaN,NaN,206,207,1,Binocular,5,200,196,CFS,nogo,frame,tape,z,z,1,1,2331797.80211297,2331808.83914962,2331813.08233561,2331816.99491047,Return,OK,7,1,1,,,0,0,NaN,NaN,tape,11.0262961531989,1,NO RESPONSE,NaN,1
60,283682024,7,2331323.0959262,2331503.37599792,2331345.32078614,2331518.4960397,OK,OK,0,0,f,f,22.2127722706646,15.102609210182,199,195,1,Not Studied,4,197,194,CFS,nogo,scroll,pipe,f,f,0,0,2331819.31643253,2331823.17871489,2331826.27107109,2331830.18368127,Return,OK,5,0,0,,,0,0,NaN,NaN,NO RESPONSE,3.84745387686417,1,NO RESPONSE,NaN,1
60,283682024,8,2331351.63493245,2331522.57879881,2331355.54750036,2331526.49136371,OK,OK,6,9,NO RESPONSE,NO RESPONSE,NaN,NaN,204,205,1,Binocular,9,202,208,Binocular,go,bowtie,zip tie,z,z,1,1,2331832.43516065,2331834.56626832,2331837.55859494,2331841.07092258,Return,Return,10,1,1,,,0,0,NaN,NaN,NO RESPONSE,2.1123517905362,1,Return,3.45266052521765,1
60,283682024,9,2331357.80905345,2331530.45404995,2331361.72166634,2331534.36665198,OK,OK,1,8,NO RESPONSE,NO RESPONSE,NaN,NaN,202,208,1,Binocular,2,201,203,CFS,go,zip tie,bellow,z,z,1,1,2331843.10228472,2331846.47422726,2331849.1063389,2331851.51787267,Return,Return,6,1,1,,,0,0,NaN,NaN,NO RESPONSE,3.3568007289432,1,Return,2.3846182175912,1
60,283682024,10,2331364.14327081,2331536.52810002,2331382.96581132,2331551.64814059,OK,OK,0,0,f,f,18.7880382025614,15.0773384487256,205,204,1,Not Studied,7,199,195,Not Studied,nogo,cheese grater,scroll,f,f,0,0,2331855.00020103,2331857.28141858,2331860.22372075,2331864.13628474,Return,OK,10,0,0,,,0,0,NaN,NaN,NO RESPONSE,2.26644852850586,1,NO RESPONSE,NaN,1
