subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType,swap,trial_test,item_test,pair_test,tType_test,swap_test,name_test,mm_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
2,894012391,1,3027320.50568195,3027426.94129545,3027325.21449557,3027430.55001825,OK,SPACE,0,0,NO RESPONSE,space,NaN,3.58832229906693,68,73,umbrella,1,NOT STUDIED,mismatch,5,82,91,NOT STUDIED,mismatch,straw,p,0,0,3027575.57275569,3027584.75671421,3027585.98181964,3027589.89087589,OK,OK,3,2,0,0,,,0,0,NaN,NaN,NO RESPONSE,9.16827992489561,2,NaN,q,3.82316221529618,2,NaN
2,894012391,2,3027329.37327706,3027435.50883662,3027334.08207287,3027439.11753708,OK,SPACE,0,0,NO RESPONSE,space,NaN,3.54852889990434,4,34,basket,1,NOT STUDIED,match,6,59,79,BINOCULAR,mismatch,ethernet cable,p,0,0,3027593.73290639,3027596.00782556,3027597.24129899,3027600.25024382,OK,OK,10,5,0,0,,,0,0,NaN,NaN,NO RESPONSE,2.26380249578506,2,NaN,q,2.99526632716879,2,NaN
2,894012391,3,3027337.44071605,3027442.70088694,3027339.44927783,3027446.20990678,SPACE,SPACE,0,0,space,space,1.96361000323668,3.48427205346525,40,88,cooler,1,NOT STUDIED,match,8,18,39,BINOCULAR,match,necklace,q,0,0,3027603.6922509,3027606.30885208,3027607.54229079,3027611.05131697,OK,OK,8,9,0,0,,,0,0,NaN,NaN,NO RESPONSE,2.60814202623442,2,NaN,p,3.4860717067495,2,NaN
2,894012391,4,3027347.066691,3027451.49374061,3027351.77553118,3027456.20259528,OK,OK,10,0,NO RESPONSE,NO RESPONSE,NaN,NaN,134,149,earring,1,BINOCULAR,match,7,22,83,CFS,mismatch,bucket,p,1,1,3027614.77668698,3027617.05991528,3027618.28502282,3027621.79404629,OK,OK,10,2,1,1,,,0,0,NaN,NaN,NO RESPONSE,2.26741206459701,2,NaN,q,3.40700258780271,2,NaN
2,894012391,5,3027356.0175854,3027462.11979796,3027360.22634967,3027465.22849495,SPACE,SPACE,0,0,space,space,4.17811281559989,3.01685250317678,82,91,straw,1,NOT STUDIED,mismatch,4,134,149,BINOCULAR,match,earring,q,0,0,3027624.22763134,3027626.10248815,3027627.33591207,3027630.84495124,OK,OK,4,10,0,0,,,0,0,NaN,NaN,NO RESPONSE,1.86419019661844,2,NaN,q,3.42786220135167,2,NaN
2,894012391,6,3027365.56020733,3027469.52890085,3027370.26901823,3027474.23767191,OK,OK,6,8,NO RESPONSE,NO RESPONSE,NaN,NaN,59,79,ethernet cable,1,BINOCULAR,mismatch,3,40,88,NOT STUDIED,match,cooler,q,1,1,3027632.88681928,3027634.99504899,3027636.22017827,3027640.72926392,OK,OK,1,0,1,1,,,0,0,NaN,NaN,NO RESPONSE,2.09273042250425,2,NaN,p,4.43927741004154,2,NaN
2,894012391,7,3027373.06093374,3027477.23797135,3027376.9696824,3027479.64657437,OK,OK,8,1,Return,Return,3.81426235521212,2.33013851149008,22,83,bucket,1,CFS,mismatch,1,68,73,NOT STUDIED,mismatch,umbrella,p,0,1,3027642.8294779,3027644.47930022,3027645.70445274,3027649.1133881,OK,OK,4,3,0.60311512471049,0.60311512471049,2,2,1.71331618843984,1.595407342697,2.2457063559788,2.2457063559788,NO RESPONSE,1.63779615284875,2,NaN,p,3.30676868138835,2,NaN
2,894012391,8,3027385.3871895,3027485.69717051,3027390.09597535,3027490.40597991,OK,OK,8,2,NO RESPONSE,NO RESPONSE,NaN,NaN,18,39,necklace,1,BINOCULAR,match,9,75,101,CFS,mismatch,thimble,p,1,1,3027651.4303371,3027652.77209306,3027654.00524682,3027657.41426036,OK,OK,8,7,1,1,,,0,0,NaN,NaN,NO RESPONSE,1.33265235088766,2,NaN,p,3.38976039132103,2,NaN
2,894012391,9,3027393.65464835,3027493.91463149,3027395.96322695,3027496.42324414,OK,OK,9,7,Return,Return,2.23602197598666,2.4290563352406,75,101,thimble,1,CFS,mismatch,11,58,74,CFS,match,keys,q,0,1,3027659.48946726,3027660.58119764,3027661.81439638,3027664.22326895,OK,OK,6,3,0.727495707309101,0.5,2,2,3.68445155365635,3.65038439098649,2.15022107250873,2.34671662001737,NO RESPONSE,1.08129559317604,2,NaN,q,2.33238732349128,2,NaN
2,894012391,10,3027401.43875701,3027503.84061692,3027404.9474741,3027505.449094,OK,OK,6,5,Return,Return,3.45156980631873,1.55081061366946,151,97,key ring,1,CFS,match,2,4,34,NOT STUDIED,match,basket,q,0,1,3027665.99844666,3027667.84829125,3027669.07370819,3027672.28237526,OK,OK,10,5,0.60311512471049,0.4145145590902,2,2,1.04628157856354,2.75546555623223,2.2457063559788,2.45357155169218,NO RESPONSE,1.83614555513486,2,NaN,q,3.12886142777279,2,NaN
