subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
2,893981919,1,3027018.53392491,3027026.7763969,OK,0,LeftArrow,8.20749285910279,1,\LEFT,0,1,right,3
2,893981919,2,3027030.97682426,3027047.08678964,OK,8,RightArrow,16.0040711034089,4,\RIGHT,1,0,left,3
2,893981919,3,3027050.14539638,3027062.25495727,OK,3,RightArrow,12.0030478187837,4,\RIGHT,1,0,left,3
2,893981919,4,3027064.8969184,3027074.40615619,OK,5,LeftArrow,9.4990988150239,2,\LEFT,1,0,left,3
2,893981919,5,3027076.78971771,3027080.19846018,OK,8,RightArrow,3.3981000110507,3,\RIGHT,0,1,right,3
2,893981919,6,3027082.51529358,3027088.42421098,OK,10,RightArrow,5.84032713714987,3,\RIGHT,0,1,right,3
2,893981919,7,3027090.76614503,3027092.47464563,OK,3,RightArrow,1.62142510665581,3,\RIGHT,0,1,right,3
2,893981919,8,3027094.7581779,3027098.46691455,OK,5,RightArrow,3.68514827545732,3,\RIGHT,0,1,right,3
2,893981919,9,3027100.71710675,3027102.3256427,OK,2,RightArrow,1.5341325821355,3,\RIGHT,0,1,right,3
2,893981919,10,3027104.30912918,3027106.21767167,OK,4,LeftArrow,1.84597542742267,1,\LEFT,0,1,right,3
2,893981919,11,3027114.38515018,3027118.9939596,OK,5,RightArrow,4.54561299132183,4,\RIGHT,1,0,left,3
2,893981919,12,3027121.16083108,3027125.26957183,OK,10,LeftArrow,4.02572247991338,1,\LEFT,0,1,right,3
2,893981919,13,3027127.21976745,3027136.82906467,OK,8,LeftArrow,9.59842082113028,2,\LEFT,1,0,left,3
2,893981919,14,3027139.04593552,3027141.45450564,OK,1,LeftArrow,2.30817652773112,2,\LEFT,1,0,left,3
2,893981919,15,3027143.58803976,3027145.79660028,OK,2,RightArrow,2.18190983589739,4,\RIGHT,1,0,left,3
2,893981919,16,3027147.82180387,3027153.63074545,OK,6,LeftArrow,5.72394042462111,2,\LEFT,1,0,left,3
2,893981919,17,3027155.85593842,3027158.06447297,OK,5,LeftArrow,2.17765369592234,1,\LEFT,0,1,right,3
2,893981919,18,3027160.06470933,3027162.57330477,OK,7,RightArrow,2.4006902188994,4,\RIGHT,1,0,left,3
2,893981919,19,3027164.61514836,3027166.12366049,OK,5,LeftArrow,1.45017795776948,1,\LEFT,0,1,right,3
2,893981919,20,3027168.04052781,3027175.54960078,OK,3,LeftArrow,7.40855713514611,2,\LEFT,1,0,left,3
