subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,tType,eyes_1,eyes_2,transparency,pas,RoboRT,meanRoboRT,roboBCFS
11,945081088,1,342790.567894244,342817.878122382,OK,7,f,27.2606280178297,15,CFS,0,1,0.5,,2.538609291558,2.34671662001737,j
11,945081088,2,342821.836737645,342857.547549842,OK,1,NO RESPONSE,NaN,14,CATCH,0,0,0,,0,NaN,f
11,945081088,3,342862.997924116,342872.906954394,OK,4,f,9.80353011738043,7,CFS,0,1,0.5,,3.45333793834731,2.34671662001737,j
11,945081088,4,342875.965497105,342886.074532441,OK,1,j,10.0991018367931,8,CFS,0,1,0.5,3#,2.62110092247634,2.34671662001737,j
11,945081088,5,342894.475121909,342930.285940311,OK,0,NO RESPONSE,NaN,6,CFS,0,1,0.5,,3.69996058546714,2.34671662001737,j
11,945081088,6,342935.944672149,342971.655484035,OK,1,NO RESPONSE,NaN,12,CATCH,0,0,0,,0,NaN,f
11,945081088,7,342976.430817723,343003.741048132,OK,10,f,27.2433061466436,9,CFS,0,1,0.5,,2.57884335812171,2.34671662001737,j
11,945081088,8,343006.866272814,343026.984335603,OK,1,f,20.1024885523948,10,CATCH,0,0,0,,0,NaN,f
11,945081088,9,343030.401239553,343052.311102174,OK,0,f,21.8621288232971,3,CFS,0,1,0.5,,2.81672118204415,2.34671662001737,j
11,945081088,10,343055.919688356,343082.129839513,OK,5,j,26.1339789351914,17,CFS,0,1,0.5,2@,1.49790922551021,2.34671662001737,j
11,945081088,11,343094.197352619,343123.607730809,OK,7,f,29.3260417951387,5,CFS,0,1,0.5,,4.65350220886348,2.34671662001737,j
11,945081088,12,343127.249653741,343162.460435176,OK,6,NO RESPONSE,NaN,18,CFS,0,1,0.5,,3.72194217834678,2.34671662001737,j
11,945081088,13,343167.352447964,343189.170634439,OK,1,f,21.7191562173539,13,CATCH,0,0,0,,0,NaN,f
11,945081088,14,343193.004239771,343197.812905577,OK,10,j,4.72304157266626,16,CFS,0,1,0.5,2@,3.08512214356894,2.34671662001737,j
11,945081088,15,343203.546639168,343238.457403427,OK,2,j,34.8343666971195,20,CFS,0,1,0.5,3#,3.26315858063238,2.34671662001737,j
11,945081088,16,343250.924943651,343285.735705915,OK,10,NO RESPONSE,NaN,11,CFS,0,1,0.5,,3.00957765020345,2.34671662001737,j
11,945081088,17,343289.444304484,343311.654182926,OK,4,j,22.1485953763477,2,CFS,0,1,0.5,3#,1.23515477803004,2.34671662001737,j
11,945081088,18,343317.479590138,343345.689886176,OK,5,f,28.143405567389,1,CFS,0,1,0.5,,2.39465929790405,2.34671662001737,j
11,945081088,19,343369.791571546,343405.50239687,OK,1,NO RESPONSE,NaN,4,CFS,0,1,0.5,,1.3647301486447,2.34671662001737,j
11,945081088,20,343409.619349897,343419.328354353,OK,7,j,9.66355002124328,19,CFS,0,1,0.5,3#,2.03536367831697,2.34671662001737,j
