subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
4,928724412,1,114054.829484228,114090.472400058,OK,2,NO RESPONSE,NaN,3,\RIGHT,0,1,right,3
4,928724412,2,114091.964132572,114102.17284902,OK,2,LeftArrow,10.1622036125918,1,\LEFT,0,1,right,3
4,928724412,3,114108.21469234,114112.823213737,OK,10,LeftArrow,4.56694460391009,2,\LEFT,1,0,left,3
4,928724412,4,114115.88995671,114122.498532438,OK,4,RightArrow,6.59496139123803,3,\RIGHT,0,1,right,3
4,928724412,5,114125.723632635,114126.932041806,OK,10,LeftArrow,1.18509510174044,1,\LEFT,0,1,right,3
4,928724412,6,114129.173748211,114130.182159978,OK,4,RightArrow,0.942688722949242,4,\RIGHT,1,0,left,3
4,928724412,7,114132.865542421,114134.273920926,OK,7,LeftArrow,1.3067050249083,1,\LEFT,0,1,right,3
4,928724412,8,114136.723991527,114137.932400094,OK,6,RightArrow,1.13601539158844,4,\RIGHT,1,0,left,3
4,928724412,9,114140.824144622,114144.132616335,OK,10,LeftArrow,3.27545428916346,2,\LEFT,1,0,left,3
4,928724412,10,114147.065701915,114148.474412145,OK,4,LeftArrow,1.32164234112133,3,\RIGHT,0,1,right,3
4,928724412,11,114160.858130359,114162.566522929,OK,9,RightArrow,1.68028492794838,4,\RIGHT,1,0,left,3
4,928724412,12,114165.7416074,114170.450098974,OK,9,LeftArrow,4.61230107776646,2,\LEFT,1,0,left,3
4,928724412,13,114172.883521412,114175.691904685,OK,2,LeftArrow,2.74203541345196,2,\LEFT,1,0,left,3
4,928724412,14,114178.108668998,114180.517079196,OK,1,LeftArrow,2.32457172972499,1,\LEFT,0,1,right,3
4,928724412,15,114182.675506448,114183.98386497,OK,2,LeftArrow,1.20552687038435,1,\LEFT,0,1,right,3
4,928724412,16,114186.592273779,114192.50082041,OK,7,LeftArrow,5.82418869066169,3,\RIGHT,0,1,right,3
4,928724412,17,114196.333920418,114198.542626302,OK,9,RightArrow,2.19408550253138,3,\RIGHT,0,1,right,3
4,928724412,18,114201.051031127,114202.159377454,OK,4,RightArrow,1.06882599279925,4,\RIGHT,1,0,left,3
4,928724412,19,114204.692793915,114205.501171755,OK,6,RightArrow,0.7148975936434,4,\RIGHT,1,0,left,3
4,928724412,20,114208.201230132,114209.70957821,OK,9,LeftArrow,1.49404946244613,2,\LEFT,1,0,left,3
