subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType,swap,trial_test,item_test,pair_test,tType_test,swap_test,name_test,roboBCFS_1,roboBCFS_2,mm_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
7,929149620,1,118306.238166387,118480.033919634,118338.747295334,118487.142409337,OK,OK,0,0,f,f,32.4302630443126,7.00897229019029,153,8,knife,1,NOT STUDIED,mismatch,2,59,79,NOT STUDIED,mismatch,keys,f,f,q,0,0,118631.729107166,118639.095659856,118647.546168432,118651.354611169,OK,OK,3,7,0,0,,,0,0,NaN,NaN,hammer ,7.35188220386044,2,NaN,q,3.74212807933509,2,NaN
7,929149620,2,118341.772335947,118489.525808804,118365.881252456,118497.634303337,OK,OK,0,0,f,f,24.0943706840189,8.02044746448519,59,79,keys,1,NOT STUDIED,mismatch,5,169,21,CFS,mismatch,necklace,f,f,q,0,0,118654.571338838,118657.887753556,118660.304786509,118664.21320214,OK,OK,0,1,0,0,,,0,0,NaN,NaN,tie,3.30045053121285,2,NaN,q,3.81463806882675,2,NaN
7,929149620,3,118370.889688673,118502.442782294,118374.498119215,118506.551192311,OK,OK,10,5,NO RESPONSE,NO RESPONSE,NaN,NaN,140,144,hammer,1,BINOCULAR,match,4,70,87,NOT STUDIED,match,TV,z,z,p,1,1,118666.129910914,118670.871388219,118673.905116182,118678.113543766,OK,OK,10,0,1,1,,,0,0,NaN,NaN,NO RESPONSE,4.73304048502177,2,NaN,q,4.10140846090508,2,NaN
7,929149620,4,118377.239832863,118508.667927164,118402.648766457,118518.0764747,OK,OK,0,0,f,f,25.3765793192724,9.34098687043297,70,87,TV,1,NOT STUDIED,match,8,146,147,BINOCULAR,match,hinge,f,f,p,0,0,118680.346957933,118687.905131878,118690.488842365,118694.597269888,OK,OK,2,8,0,0,,,0,0,NaN,NaN,NO RESPONSE,7.54690160937025,2,NaN,q,4.04466555468389,2,NaN
7,929149620,5,118405.507186284,118520.659872175,118416.815759416,118526.268337429,OK,OK,1,2,j,j,11.2202245230728,5.58047231222736,169,21,necklace,1,CFS,mismatch,9,115,118,CFS,mismatch,pot,j,j,q,1,0,118696.797340339,118704.455507401,118706.430550097,118709.539251694,OK,OK,7,1,0.986696428128941,1,3#,3#,2.6681392646173,2.63676363113996,2.00603890932785,2,doorhinge ,7.64744015806355,2,NaN,q,3.00596804445377,2,NaN
7,929149620,6,118421.840892997,118530.960110813,118431.349450857,118543.468728437,OK,OK,1,5,j,j,9.40560094271495,12.4951237225177,161,163,pen,1,CFS,match,12,167,126,CFS,match,nail clippers,j,j,p,1,0,118711.814341055,118718.89752392,118720.922884486,118724.331298608,OK,OK,9,9,1,1,3#,3#,3.59567536237768,0.682501148773653,2,2,nailclipper,7.06952596727933,2,NaN,p,3.38465211661241,2,NaN
7,929149620,7,118435.666202734,118547.418812923,118440.174628386,118551.827281678,OK,OK,1,2,NO RESPONSE,NO RESPONSE,NaN,NaN,108,109,ribbon,1,BINOCULAR,mismatch,3,140,144,BINOCULAR,match,hammer,z,z,p,1,1,118726.439692325,118732.239489668,118734.823204682,118739.031630153,OK,OK,5,10,1,1,,,0,0,NaN,NaN,hammer,5.77929645171389,2,NaN,p,4.17143428057898,2,NaN
7,929149620,8,118443.049723542,118554.510624882,118447.058173039,118559.119107643,OK,OK,6,0,NO RESPONSE,NO RESPONSE,NaN,NaN,146,147,hinge,1,BINOCULAR,match,7,108,109,BINOCULAR,mismatch,ribbon,z,z,q,1,1,118741.00667798,118743.214747276,118745.398440014,118749.006876291,OK,OK,5,4,1,1,,,0,0,NaN,NaN,NO RESPONSE,2.19559864267649,2,NaN,p,3.53955957450671,2,NaN
7,929149620,9,118449.724894038,118561.794168872,118453.133276164,118565.802575508,OK,OK,5,2,j,j,3.35220819455571,3.97966391565569,115,118,pot,1,CFS,mismatch,6,161,163,CFS,match,pen,j,j,p,1,0,118751.106923741,118756.431723966,118758.707101285,118761.815511603,OK,OK,2,5,1,1,3#,2@,3.10641236161583,3.96544775474492,2,2,sunglasses,5.30241703988577,2,NaN,p,3.09395414036408,2,NaN
7,929149620,10,118459.141768222,118572.444397156,118463.550203171,118576.752856795,OK,OK,2,3,NO RESPONSE,NO RESPONSE,NaN,NaN,37,112,comb,1,BINOCULAR,mismatch,11,64,107,NOT STUDIED,match,watch,z,z,p,1,1,118763.72389222,118767.281978631,118769.965701855,118773.174067863,OK,OK,3,10,1,1,,,0,0,NaN,NaN,clock,3.54883038763364,2,NaN,p,3.10670731891878,2,NaN
