subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS_1,roboBCFS_2,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
3,1203644798,1,4733.155381537,4955.08120186095,4750.36506879562,4974.89109153864,OK,OK,0,0,f,f,17.1786259228611,19.7856884346147,124,100,magnifying glass,1,Not Studied,9,62,123,CFS,watering pot,f,f,go,0,0,5268.88092742102,5274.08935054147,5279.76510061037,5282.47368899243,Return,Return,7,0,0,,,0,0,NaN,NaN,NO RESPONSE,5.19494833725639,2,Return,2.64640715210044,2
3,1203644798,2,4756.09881437242,4979.2081007471,4775.3087032653,4993.2175325822,OK,OK,0,0,f,f,19.1460155047089,13.9138650420819,29,86,candlestick,1,Not Studied,7,28,137,Not Studied,candle,f,f,go,0,0,5285.51557096455,5291.65741010447,5296.4080781689,5298.81660427978,Return,Return,9,0,0,,,0,0,NaN,NaN,NO RESPONSE,6.12742168636942,2,Return,2.35461158388807,2
3,1203644798,3,4787.50133190298,4997.20118028488,4807.41123247736,5011.91068688765,OK,OK,0,0,f,f,19.8779080384757,14.6238684861646,122,32,lure,1,Not Studied,6,2,187,CFS,backpack,f,f,go,0,0,5302.35854888529,5306.52523763715,5310.45085149727,5312.65935762583,Return,Return,3,0,0,,,0,0,NaN,NaN,NO RESPONSE,4.155704212194,2,Return,2.1431244074347,2
3,1203644798,4,4811.83658146613,5017.01942299397,4830.64639900221,5035.82922000441,OK,OK,0,6,f,j,18.7654761089061,18.7404779879071,50,80,dresser,1,CFS,5,90,57,Not Studied,speakers,j,j,go,1,0,5316.36798705919,5319.40958831294,5323.21852717037,5325.22701693879,Return,Return,3,1,1,,3#,1.74726749340896,1.73300795217151,2,2,NO RESPONSE,3.02562717160617,2,Return,1.93488058452203,2
3,1203644798,5,4835.24675747654,5045.92168802893,4862.75726192744,5066.83169817403,OK,OK,0,0,f,f,27.4257172429589,20.8205711622559,2,187,backpack,1,Not Studied,3,50,80,CFS,dresser,f,f,go,0,0,5328.38564816813,5330.66880153484,5335.10279181957,5336.81126368842,Return,Return,8,0,0,,,0,0,NaN,NaN,NO RESPONSE,2.27140666159812,2,Return,1.66604475978784,2
3,1203644798,6,4868.95774343489,5073.47385410312,4872.6663783015,5077.38250080216,OK,OK,10,8,NO RESPONSE,NO RESPONSE,NaN,NaN,28,137,candle,1,Binocular,2,122,32,CFS,lure,z,z,nogo,1,1,5339.44480820446,5342.50309891942,5346.77037721002,5350.87903755257,Return,OK,6,1,1,,,0,0,NaN,NaN,NO RESPONSE,3.04361820008853,2,NO RESPONSE,NaN,2
3,1203644798,7,4876.50000769712,5080.63275488246,4880.40864956659,5084.44138796817,OK,OK,8,9,NO RESPONSE,NO RESPONSE,NaN,NaN,19,189,necklace,1,Binocular,8,29,86,Binocular,candlestick,z,z,go,1,1,5353.38762044101,5355.1624239457,5359.08801999681,5360.89651906213,Return,Return,4,1,1,,,0,0,NaN,NaN,NO RESPONSE,1.76419144509327,2,Return,1.71158271125114,2
3,1203644798,8,4882.65049054779,5087.02492235723,4887.35915258069,5091.63362058167,OK,OK,0,1,NO RESPONSE,NO RESPONSE,NaN,NaN,62,123,watering pot,1,Binocular,1,19,189,Not Studied,necklace,z,z,go,1,1,5363.48005797891,5366.5132995606,5370.32223298477,5372.6307554433,Return,Return,4,1,1,,,0,0,NaN,NaN,NO RESPONSE,3.02320454196251,2,Return,2.20480034434786,2
3,1203644798,9,4891.22616784121,5098.10913122497,4894.13472941919,5101.61773494089,OK,OK,2,5,j,j,2.87667770724966,3.47944220959744,74,58,wheel,1,CFS,10,124,100,Binocular,magnifying glass,j,j,nogo,1,0,5375.33100769742,5377.53084747666,5381.31476436712,5385.3234171333,Return,OK,7,1,1,2@,2@,3.87277793028163,2.70450581836166,2,2,NO RESPONSE,2.18772512178748,2,NO RESPONSE,NaN,2
3,1203644798,10,4904.87724035136,5109.08499336992,4920.08677698798,5121.29429547087,OK,OK,1,2,j,j,15.1843169594031,12.1425493875659,145,15,router,1,CFS,11,74,58,Not Studied,wheel,j,j,nogo,1,0,5387.41524252406,5389.14007393458,5393.34071451577,5397.34936456531,Return,OK,7,0.951229424500714,1,1!,2@,2.60830865395033,2.02020106800526,2.02266959692358,2,NO RESPONSE,1.71085073057657,2,NO RESPONSE,NaN,2
