subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType_study,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
3,1203433981,1,2597.27847351996,2632.68954330141,OK,5,NO RESPONSE,NaN,1,\LEFT,0,1,right,3
3,1203433981,2,2634.93138307522,2669.84248349421,OK,10,NO RESPONSE,NaN,1,\LEFT,0,1,right,3
3,1203433981,3,2671.86734155788,2706.9787625995,OK,8,NO RESPONSE,NaN,4,\RIGHT,1,0,left,3
3,1203433981,4,2708.70389465032,2744.11503687522,OK,5,NO RESPONSE,NaN,2,\LEFT,1,0,left,3
3,1203433981,5,2746.34021435413,2781.25133409137,OK,10,NO RESPONSE,NaN,3,\RIGHT,0,1,right,3
3,1203433981,6,2782.47641256423,2818.38759267102,OK,0,NO RESPONSE,NaN,3,\RIGHT,0,1,right,3
3,1203433981,7,2819.61269166952,2855.52388052989,OK,0,NO RESPONSE,NaN,1,\LEFT,0,1,right,3
3,1203433981,8,2857.74905257553,2892.66015842778,OK,10,NO RESPONSE,NaN,3,\RIGHT,0,1,right,3
3,1203433981,9,2894.7853093139,2929.79641610188,OK,9,NO RESPONSE,NaN,4,\RIGHT,1,0,left,3
3,1203433981,10,2931.22153146053,2966.93268766098,OK,2,NO RESPONSE,NaN,2,\LEFT,1,0,left,3
3,1203433981,11,2975.94174641231,3011.35288139287,OK,5,NO RESPONSE,NaN,1,\LEFT,0,1,right,3
3,1203433981,12,3013.57804800525,3048.48914208545,OK,10,NO RESPONSE,NaN,1,\LEFT,0,1,right,3
3,1203433981,13,3049.71423836732,3085.62541032422,OK,0,NO RESPONSE,NaN,2,\LEFT,1,0,left,3
3,1203433981,14,3086.95052565268,3122.76167977038,OK,1,NO RESPONSE,NaN,4,\RIGHT,1,0,left,3
3,1203433981,15,3124.58682452899,3159.89795344241,OK,6,NO RESPONSE,NaN,2,\LEFT,1,0,left,3
3,1203433981,16,3161.62306828791,3197.0342256052,OK,5,NO RESPONSE,NaN,1,\LEFT,0,1,right,3
3,1203433981,17,3199.1593846412,3234.17048659962,OK,9,NO RESPONSE,NaN,3,\RIGHT,0,1,right,3
3,1203433981,18,3235.89563344098,3271.30675091437,OK,5,NO RESPONSE,NaN,4,\RIGHT,1,0,left,3
3,1203433981,19,3273.03189232247,3308.44301854945,OK,5,NO RESPONSE,NaN,1,\LEFT,0,1,right,3
3,1203433981,20,3310.2681243697,3345.57928467528,OK,6,NO RESPONSE,NaN,2,\LEFT,1,0,left,3
3,1203433981,21,3354.98003005799,3390.29115172707,OK,6,NO RESPONSE,NaN,4,\RIGHT,1,0,left,3
3,1203433981,22,3392.31630680887,3427.42741483443,OK,8,NO RESPONSE,NaN,4,\RIGHT,1,0,left,3
3,1203433981,23,3429.15255594068,3464.56370571177,OK,5,NO RESPONSE,NaN,1,\LEFT,0,1,right,3
3,1203433981,24,3465.88877847971,3501.6999534249,OK,1,NO RESPONSE,NaN,1,\LEFT,0,1,right,3
3,1203433981,25,3503.72510307344,3538.83620687313,OK,8,NO RESPONSE,NaN,4,\RIGHT,1,0,left,3
3,1203433981,26,3540.66138000543,3575.97247662114,OK,6,NO RESPONSE,NaN,2,\LEFT,1,0,left,3
3,1203433981,27,3578.09768666941,3613.10873640818,OK,9,NO RESPONSE,NaN,2,\LEFT,1,0,left,3
3,1203433981,28,3614.4338426812,3650.24500042108,OK,1,NO RESPONSE,NaN,3,\RIGHT,0,1,right,3
3,1203433981,29,3651.67011276125,3687.38127379126,OK,2,NO RESPONSE,NaN,2,\LEFT,1,0,left,3
3,1203433981,30,3689.10639980513,3724.51753418199,OK,5,NO RESPONSE,NaN,4,\RIGHT,1,0,left,3
3,1203433981,31,3739.38536080912,3774.49647094761,OK,8,NO RESPONSE,NaN,3,\RIGHT,0,1,right,3
3,1203433981,32,3775.92158389147,3811.63273103649,OK,2,NO RESPONSE,NaN,2,\LEFT,1,0,left,3
3,1203433981,33,3812.85782429989,3848.76899686048,OK,0,NO RESPONSE,NaN,3,\RIGHT,0,1,right,3
3,1203433981,34,3850.59409604009,3885.90526238262,OK,6,NO RESPONSE,NaN,1,\LEFT,0,1,right,3
3,1203433981,35,3887.83036461089,3923.04151884933,OK,7,NO RESPONSE,NaN,4,\RIGHT,1,0,left,3
3,1203433981,36,3924.66665328475,3960.17777833452,OK,4,NO RESPONSE,NaN,3,\RIGHT,0,1,right,3
3,1203433981,37,3961.9029158186,3997.31405442133,OK,5,NO RESPONSE,NaN,2,\LEFT,1,0,left,3
3,1203433981,38,3998.73916887443,4034.45032658412,OK,2,NO RESPONSE,NaN,3,\RIGHT,0,1,right,3
3,1203433981,39,4036.57547113144,4071.58656826029,OK,9,NO RESPONSE,NaN,3,\RIGHT,0,1,right,3
3,1203433981,40,4072.81166031629,4108.72282925472,OK,0,NO RESPONSE,NaN,4,\RIGHT,1,0,left,3
