subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,tType_study,eyes_1,eyes_2,transparency,pas,RoboRT,meanRoboRT,roboBCFS
3,1203588103,1,4215.90629711654,4235.92452992503,OK,0,j,19.9413902320275,11,CFS,0,1,0.5,3#,3.64645841366749,2.34671662001737,j
3,1203588103,2,4257.47622149464,4293.28739523244,OK,1,NO RESPONSE,NaN,6,CATCH,0,0,0,,0,NaN,f
3,1203588103,3,4302.48812878272,4318.4977067121,OK,10,f,15.9953681470388,4,CFS,0,1,1,,1.34911002944117,2,j
3,1203588103,4,4324.29816123436,4341.40784393508,OK,4,j,17.0402649739854,3,CFS,0,1,1,2@,2.57766140367814,2,j
3,1203588103,5,4355.092260957,4384.90294389044,OK,1,f,29.788045261459,17,CATCH,0,0,0,,0,NaN,f
3,1203588103,6,4390.82840531747,4398.93738229826,OK,10,j,8.00315068629516,18,CFS,0,1,1,1!,1.02458038859364,2,j
3,1203588103,7,4411.53004818395,4429.23977060782,OK,6,j,17.6280342862765,15,CFS,0,1,1,3#,1.37683792894618,2,j
3,1203588103,8,4436.47366937233,4438.88219457767,OK,0,j,2.39582375595728,16,CFS,0,1,1,2@,1.92414415531096,2,j
3,1203588103,9,4447.51622959623,4473.02657738817,OK,1,f,25.4555965431191,10,CATCH,0,0,0,,0,NaN,f
3,1203588103,10,4476.47682519004,4485.68586377794,OK,2,j,9.14245068336822,8,CFS,0,1,0.90483741803596,2@,3.15811689946358,2.04568180093028,j
3,1203588103,11,4496.39506128867,4504.20401886065,OK,1,j,7.70323601864038,20,CFS,0,1,1,3#,2.73615359059669,2,j
3,1203588103,12,4511.6045949068,4516.11329672323,OK,0,j,4.48510306136996,14,CFS,0,1,1,2@,1.6912365386017,2,j
3,1203588103,13,4523.03882576415,4528.94762610367,OK,8,j,5.89029134038174,13,CFS,0,1,1,2@,4.40814383645988,2,j
3,1203588103,14,4536.68156969256,4539.49012459971,OK,2,j,2.7109968248642,19,CFS,0,1,1,2@,3.84737393767826,2,j
3,1203588103,15,4546.190650026,4567.90069572876,OK,1,f,21.6885272820518,1,CATCH,0,0,0,,0,NaN,f
3,1203588103,16,4580.67669696513,4591.08587023748,OK,5,j,10.3772302394646,12,CFS,0,1,0.931062779704023,3#,0.774299345876614,2.03248971804528,j
3,1203588103,17,4600.39492243872,4617.70462149959,OK,4,j,17.217733914611,7,CFS,0,1,1,3#,2.6657903876759,2,j
3,1203588103,18,4631.4307001448,4640.33973381259,OK,6,j,8.84484515062104,9,CFS,0,1,1,2@,4.92569427115158,2,j
3,1203588103,19,4646.93192277891,4660.0412870303,OK,0,j,13.0945042891053,5,CFS,0,1,1,2@,1.14130905724117,2,j
3,1203588103,20,4666.25010828786,4672.15891013662,OK,2,j,5.8238347395918,2,CFS,0,1,1,2@,2.30659854421961,2,j
