subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS_1,roboBCFS_2,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
23,1775830463,1,5006336.72951962,5006428.93726175,5006339.74139095,5006431.14867071,OK,OK,4,2,f,j,2.98597982060164,2.11739606503397,56,99,clothes pin,1,CFS,1,56,99,Binocular,clothes pin,j,j,go,1,0,5006578.97124577,5006582.27328725,5006587.19638484,5006590.10817223,Return,Return,4,0.1,0.139561242508609,,1!,4.21490916147794,4.4444797161575,3.49289347245332,3.20808200207134,flower,3.29132169298828,2,Return,2.88986365217716,2
23,1775830463,2,5006342.62321341,5006435.41131394,5006348.23672576,5006442.12553929,OK,OK,0,0,f,f,5.52378869615495,6.65873805712909,8,153,bed,1,Not Studied,12,143,128,CFS,high heel,f,f,go,0,0,5006592.3796475,5006598.71360384,5006602.16575434,5006604.37709387,Return,Return,3,0,0,,,0,0,NaN,NaN,shoe,6.30603793170303,2,Return,2.13573204912245,2
23,1775830463,3,5006350.92839802,5006444.72714046,5006356.64197982,5006449.44007994,OK,OK,0,0,f,f,5.66617375053465,4.66249393671751,32,122,chain,1,Not Studied,11,153,8,Binocular,knife,f,f,nogo,0,0,5006606.72863853,5006610.19078498,5006612.94252626,5006616.35467541,Return,OK,5,0,0,,,0,0,NaN,NaN,knife,3.43645325209945,2,NO RESPONSE,NaN,2
23,1775830463,4,5006359.20357544,5006451.96167844,5006363.41623857,5006457.37509082,OK,OK,0,0,f,f,4.14260962791741,5.3795593585819,184,181,mailbox,1,Not Studied,10,50,80,Not Studied,dresser,f,f,nogo,0,0,5006618.44594452,5006625.44032444,5006629.46287541,5006632.77492221,Return,OK,6,0,0,,,0,0,NaN,NaN,wall,6.98231540061533,2,NO RESPONSE,NaN,2
23,1775830463,5,5006367.11854278,5006461.01738155,5006370.03035069,5006463.12870536,OK,OK,12,12,f,j,2.85130664985627,2.07554681878537,172,170,paint brush,1,CFS,5,172,170,CFS,paint brush,j,j,go,1,0,5006634.55603982,5006638.70863303,5006642.50103277,5006644.91254502,Return,Return,12,0.1,0.129940278389013,,3#,4.00686013718341,4.53253835231296,3.49289347245332,3.26673854919853,NO RESPONSE,4.13552920799702,2,Return,2.31828808225691,2
23,1775830463,6,5006372.74202181,5006469.1624799,5006378.95597444,5006474.7759992,OK,OK,0,0,f,f,6.12331678904593,5.59379813540727,143,128,high heel,1,Not Studied,2,141,155,Not Studied,purse,f,f,go,0,0,5006646.87381386,5006648.6948993,5006651.85688025,5006653.76806787,Return,Return,1,0,0,,,0,0,NaN,NaN,NO RESPONSE,1.79321714024991,2,Return,1.84197988547385,2
23,1775830463,7,5006383.0585456,5006477.05741669,5006386.07045889,5006480.96987448,OK,OK,9,0,NO RESPONSE,NO RESPONSE,NaN,NaN,153,8,knife,1,Binocular,3,85,25,Binocular,foot stool,z,z,go,1,1,5006655.91942441,5006660.44222637,5006664.08456117,5006665.29530185,Return,Return,0,1,1,,,0,0,NaN,NaN,stool,4.49902246892452,2,Return,1.10966486204416,2
23,1775830463,8,5006391.40377743,5006483.14124015,5006394.81589308,5006486.05301728,OK,OK,6,1,j,j,3.38076523598284,2.82243681512773,50,80,dresser,1,CFS,4,61,121,Not Studied,glass,j,j,go,1,0,5006667.09644488,5006671.02889127,5006673.290293,5006674.30092616,Return,Return,0,0.1,0.120982556792389,2@,1!,4.5106127284501,3.25649849442997,3.49289347245332,3.32666558611084,wine glass,3.91342641692609,2,Return,0.959410661831498,2
23,1775830463,9,5006401.46007548,5006491.11623124,5006404.47196704,5006494.42829705,OK,OK,9,6,NO RESPONSE,NO RESPONSE,NaN,NaN,61,121,glass,1,Binocular,8,53,23,CFS,floss,z,z,nogo,1,1,5006676.0120135,5006680.4748053,5006683.26655275,5006686.57863003,Return,OK,6,1,1,,,0,0,NaN,NaN,NO RESPONSE,4.43735788669437,2,NO RESPONSE,NaN,2
23,1775830463,10,5006408.01418137,5006497.98050221,5006410.92599532,5006501.59276884,OK,OK,10,3,NO RESPONSE,NO RESPONSE,NaN,NaN,141,155,purse,1,Binocular,6,184,181,CFS,mailbox,z,z,go,1,1,5006690.00077786,5006694.22340375,5006698.27595679,5006699.98703266,Return,Return,7,1,1,,,0,0,NaN,NaN,NO RESPONSE,4.20789425913244,2,Return,1.66848831251264,2
23,1775830463,11,5006415.42880144,5006504.40455106,5006419.64147785,5006507.91672228,OK,OK,10,9,f,f,4.13844957575202,3.47802208270878,53,23,floss,1,CFS,9,32,122,Not Studied,chain,j,j,go,1,0,5006701.87821871,5006708.97264906,5006712.04456194,5006714.35600595,Return,Return,6,0.139561242508609,0.112642355622821,,,5.44104110614927,2.04393343554432,3.20808200207134,3.3878906313782,necklace,7.08163446374238,2,Return,2.23508854210377,2
23,1775830463,12,5006422.43317067,5006511.37893122,5006426.24557711,5006514.59090795,OK,OK,1,7,NO RESPONSE,NO RESPONSE,NaN,NaN,85,25,foot stool,1,Binocular,7,8,153,Binocular,bed,z,z,go,1,1,5006716.47736315,5006720.20967153,5006722.39103165,5006724.6024219,Return,Return,0,1,1,,,0,0,NaN,NaN,bench,3.70590644795448,2,Return,2.13610543403775,2
23,1775830463,13,5006733.83823548,5006821.97342269,5006737.85071775,5006824.98528044,OK,OK,0,0,f,f,3.90418628323823,2.99630267824978,25,85,calculator,2,Not Studied,23,161,163,Binocular,pen,f,f,go,0,0,5006900.22238653,5006904.12453021,5006907.06667494,5006908.67769072,Return,Return,5,0,0,,,0,0,NaN,NaN,pen,3.88716725539416,2,Return,1.53872256632894,2
23,1775830463,14,5006741.87324276,5006827.55698432,5006744.78506516,5006831.46936904,OK,OK,10,0,NO RESPONSE,NO RESPONSE,NaN,NaN,107,64,ring,2,Binocular,18,69,30,CFS,umbrella,z,z,go,1,1,5006910.7990283,5006914.23115729,5006917.67327198,5006918.68395011,Return,Return,5,1,1,,,0,0,NaN,NaN,umbrella,3.41399192623794,2,Return,0.915584922768176,2
23,1775830463,15,5006747.01645759,5006834.05097468,5006750.02834824,5006837.36305739,OK,OK,0,0,f,f,2.96528218593448,3.27008677180856,45,165,cutting board,2,Not Studied,21,81,96,Binocular,stroller,f,f,nogo,0,0,5006920.62516485,5006924.12738085,5006926.68895986,5006930.20115704,Return,OK,4,0,0,,,0,0,NaN,NaN,stroller ,3.47533806134015,2,NO RESPONSE,NaN,2
23,1775830463,16,5006752.68000588,5006839.65449651,5006755.99210822,5006842.26608911,OK,OK,0,0,f,f,3.21344884391874,2.54636110085994,177,179,paper towel,2,Not Studied,22,4,34,Not Studied,bandana,f,f,nogo,0,0,5006931.91223382,5006938.46633125,5006940.75780115,5006944.47008955,Return,OK,2,0,0,,,0,0,NaN,NaN,shirt ,6.53947929572314,2,NO RESPONSE,NaN,2
23,1775830463,17,5006759.54434114,5006845.20792686,5006760.75506552,5006847.21920899,OK,OK,8,9,j,j,1.18888757098466,1.90471723116934,161,163,pen,2,CFS,13,110,102,CFS,lazy chair,j,j,go,1,0,5006946.20085066,5006948.70244698,5006952.16488471,5006953.97604423,Return,Return,12,0.112642355622821,0.164872127070013,2@,3#,2.71072300647647,3.73622010102937,3.3878906313782,3.07600728433106,NO RESPONSE,2.47429608553648,2,Return,1.76606209762394,2
23,1775830463,18,5006768.19972659,5006852.25238406,5006771.11153209,5006856.06475549,OK,OK,1,1,j,j,2.88489616010338,3.77976896055043,147,146,hole punch,2,CFS,20,107,64,Not Studied,ring,j,j,go,1,0,5006956.0773416,5006958.91913766,5006961.02045374,5006962.13116662,Return,Return,0,0.104877104738593,0.155962349760678,2@,2@,3.91057342850161,3.11613429293734,3.45044179961758,3.11930051382894,ring,2.8213187744841,2,Return,1.046133056283,2
23,1775830463,19,5006776.50493474,5006860.93786544,5006780.31730799,5006863.14917751,OK,OK,10,12,j,j,3.77920963801444,2.17390570696443,110,102,lazy chair,2,CFS,17,155,141,Binocular,lamp,j,j,go,1,0,5006963.8922733,5006968.16493905,5006971.21686877,5006972.72781419,Return,Return,9,0.1,0.190492844166833,2@,3#,5.50224451915865,3.95556519689017,3.49289347245332,2.9667643267231,glass,4.26187623757869,2,Return,1.48911344259977,2
23,1775830463,20,5006787.33169823,5006867.89217338,5006790.04340738,5006870.80398643,OK,OK,12,10,NO RESPONSE,NO RESPONSE,NaN,NaN,4,34,bandana,2,Binocular,16,147,146,Not Studied,hole punch,z,z,go,1,1,5006974.66900689,5006988.1674649,5006990.57897172,5006994.09118007,Return,OK,4,1,1,,,0,0,NaN,NaN,chair,13.4760944889858,2,NO RESPONSE,NaN,2
23,1775830463,21,5006792.97528026,5006874.14609988,5006795.98714978,5006876.75770487,OK,OK,0,0,f,f,2.96402771119028,2.50885241106153,155,141,lamp,2,Not Studied,19,45,165,CFS,cutting board,f,f,nogo,0,0,5006996.62274917,5007001.10554948,5007003.22688133,5007006.83915007,Return,OK,3,0,0,,,0,0,NaN,NaN,ring,4.45764893293381,2,NO RESPONSE,NaN,2
23,1775830463,22,5006798.89897007,5006881.1804579,5006802.21102411,5006883.4919179,OK,OK,6,11,j,j,3.24004637543112,2.27424863539636,81,96,stroller,2,CFS,15,177,179,CFS,paper towel,j,j,go,1,0,5007008.58024733,5007011.69220713,5007013.85354877,5007015.66468233,Return,Return,1,0.128402541668774,0.18202792055944,2@,3#,3.19066962661356,3.6802800976352,3.27663742434381,3.00063241606466,NO RESPONSE,3.09962000418454,2,Return,1.74616979062557,2
23,1775830463,23,5006809.85589412,5006887.60447234,5006813.26797083,5006891.11668672,OK,OK,5,4,NO RESPONSE,NO RESPONSE,NaN,NaN,69,30,umbrella,2,Binocular,14,25,85,Not Studied,calculator,z,z,go,1,1,5007017.24565258,5007022.67908796,5007025.1806061,5007026.89173208,Return,Return,7,1,1,,,0,0,NaN,NaN,calculator,5.40964533295482,2,Return,1.69846501853317,2
23,1775830463,24,5006816.06971635,5006893.72832189,5006819.88210408,5006896.74022552,OK,OK,1,9,NO RESPONSE,NO RESPONSE,NaN,NaN,16,13,book,2,Binocular,24,16,13,Binocular,book,z,z,go,1,1,5007028.67279778,5007030.72409694,5007032.75536857,5007033.86606967,Return,Return,1,1,1,,,0,0,NaN,NaN,book,2.03004220686853,2,Return,1.09934683330357,2
23,1775830463,25,5007049.46587607,5007140.90309903,5007051.57713559,5007144.91559488,OK,OK,6,0,j,j,2.03591523971409,3.99376354273409,163,161,moccosin,3,CFS,36,113,76,Binocular,radio,j,j,go,1,0,5007213.44851052,5007227.30718133,5007230.07886049,5007231.9901444,Return,Return,3,0.173939152455381,0.180548885846723,1!,2@,3.74633275437596,2.25638584432228,3.03496550624284,3.006760341205,container,13.8439092896879,2,Return,1.89337020646781,2
23,1775830463,26,5007072.86047917,5007149.9587795,5007076.27261142,5007153.17073722,OK,OK,5,7,NO RESPONSE,NO RESPONSE,NaN,NaN,11,103,bib,3,Binocular,33,111,125,CFS,kid toy,z,z,go,1,1,5007233.67115694,5007241.66616439,5007243.83751919,5007246.54923951,Return,Return,0,1,1,,,0,0,NaN,NaN,NO RESPONSE,7.98053722083569,2,Return,2.67803844250739,2
23,1775830463,27,5007078.61408435,5007155.10191796,5007082.22636276,5007158.81432317,OK,OK,3,2,NO RESPONSE,NO RESPONSE,NaN,NaN,97,151,scissors,3,Binocular,32,174,131,Binocular,paint tray,z,z,nogo,1,1,5007248.43041873,5007251.30219029,5007253.74371759,5007257.0558154,Return,OK,6,1,1,,,0,0,NaN,NaN,container,2.85276034381241,2,NO RESPONSE,NaN,2
23,1775830463,28,5007087.46963044,5007160.52531695,5007090.48147129,5007162.93689199,OK,OK,0,0,f,f,2.98213429283351,2.33061218447983,113,76,radio,3,Not Studied,25,95,66,Not Studied,shoe,f,f,nogo,0,0,5007258.75685939,5007262.58927979,5007265.12084949,5007268.53300951,Return,OK,5,0,0,,,0,0,NaN,NaN,sneaker,3.80577004235238,2,NO RESPONSE,NaN,2
