subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,tType_study,eyes_1,eyes_2,transparency,pas,RoboRT,meanRoboRT,roboBCFS
42,22948536,1,10101684.4722799,10101694.1884263,OK,12,j,9.6939276214689,16,CFS,0,1,0.5,2@,1.81930825021089,2.34671662001737,j
42,22948536,2,10101705.2053301,10101726.0284568,OK,1,f,20.735411580652,18,CATCH,0,0,0,,0,NaN,f
42,22948536,3,10101731.9622043,10101747.8822516,OK,0,j,15.8655436486006,15,CFS,0,1,1,3#,2.38750648118963,2,j
42,22948536,4,10101758.0085867,10101761.0205326,OK,9,j,2.97852920554578,19,CFS,0,1,1,3#,4.73709375794459,2,j
42,22948536,5,10101769.5158538,10101793.5410078,OK,1,f,24.0136523097754,3,CATCH,0,0,0,,0,NaN,f
42,22948536,6,10101797.8637138,10101805.5785738,OK,10,j,7.69723769277334,20,CFS,0,1,0.90483741803596,3#,4.11361904800413,2.04568180093028,j
42,22948536,7,10101811.2721742,10101824.4905064,OK,5,f,13.15995108895,10,CFS,0,1,1,,2.015366690776,2,j
42,22948536,8,10101828.8732661,10101838.5893923,OK,0,j,9.67025091871619,9,CFS,0,1,1,3#,2.7199177041985,2,j
42,22948536,9,10101844.6431941,10101852.4581449,OK,5,j,7.7316674515605,14,CFS,0,1,1,3#,3.37210306777325,2,j
42,22948536,10,10101857.441284,10101863.6551703,OK,5,j,6.13304943405092,7,CFS,0,1,1,3#,1.65387330651392,2,j
42,22948536,11,10101873.0710992,10101876.8835387,OK,3,j,3.78260863013566,4,CFS,0,1,1,3#,3.44607458794329,2,j
42,22948536,12,10101881.3063033,10101891.5227604,OK,0,j,10.2026050146669,12,CFS,0,1,1,3#,3.91797132145066,2,j
42,22948536,13,10101897.8367081,10101914.4572195,OK,11,j,16.519156370312,1,CFS,0,1,1,3#,3.24802205733353,2,j
42,22948536,14,10101919.9006206,10101936.0207711,OK,3,j,16.0942609831691,5,CFS,0,1,1,3#,1.97290117507607,2,j
42,22948536,15,10101941.244057,10101961.266676,OK,5,j,19.9896939843893,6,CFS,0,1,1,3#,0.805574811299411,2,j
42,22948536,16,10101965.539376,10101995.3681303,OK,1,NO RESPONSE,NaN,13,CATCH,0,0,0,,0,NaN,f
42,22948536,17,10102001.3919583,10102016.4114251,OK,4,f,14.9912140928209,11,CFS,0,1,1,,1.72476352419634,2,j
42,22948536,18,10102019.6234254,10102038.0450512,OK,1,f,18.3987848777324,2,CATCH,0,0,0,,0,NaN,f
42,22948536,19,10102042.2577096,10102049.072019,OK,9,j,6.75594121031463,8,CFS,0,1,1,3#,3.98778687395055,2,j
42,22948536,20,10102053.5448328,10102064.4616986,OK,0,j,10.8200734760612,17,CFS,0,1,1,2@,4.2951140252942,2,j
