subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType_study,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
47,31384223,1,2505646.2880484,2505670.62302647,OK,8,LeftArrow,24.2690579290502,2,\LEFT,1,0,left,3
47,31384223,2,2505673.95504347,2505676.16644692,OK,6,RightArrow,2.13763085659593,3,\RIGHT,0,1,right,3
47,31384223,3,2505679.12822633,2505680.9393763,OK,12,RightArrow,1.70822021784261,4,\RIGHT,1,0,left,3
47,31384223,4,2505683.2708053,2505684.88181751,OK,2,LeftArrow,1.58128608157858,1,\LEFT,0,1,right,3
47,31384223,5,2505686.87299282,2505688.88426244,OK,5,RightArrow,1.99484270671383,4,\RIGHT,1,0,left,3
47,31384223,6,2505690.53524291,2505692.44649587,OK,2,RightArrow,1.86841747816652,3,\RIGHT,0,1,right,3
47,31384223,7,2505693.80728668,2505697.71966792,OK,0,RightArrow,3.83602185081691,4,\RIGHT,1,0,left,3
47,31384223,8,2505699.86098157,2505703.07299052,OK,8,RightArrow,3.13401990570128,4,\RIGHT,1,0,left,3
47,31384223,9,2505705.11422925,2505707.42563247,OK,7,LeftArrow,2.22445968538523,2,\LEFT,1,0,left,3
47,31384223,10,2505709.37686366,2505712.38869289,OK,6,RightArrow,2.97754437243566,3,\RIGHT,0,1,right,3
47,31384223,11,2505718.99276935,2505720.30356284,OK,9,RightArrow,1.28910454595461,4,\RIGHT,1,0,left,3
47,31384223,12,2505722.07468447,2505723.38542363,OK,4,LeftArrow,1.27896261308342,1,\LEFT,0,1,right,3
47,31384223,13,2505725.516768,2505727.22779113,OK,8,LeftArrow,1.67663986887783,1,\LEFT,0,1,right,3
47,31384223,14,2505729.55925243,2505730.66995314,OK,10,RightArrow,1.06596300983801,3,\RIGHT,0,1,right,3
47,31384223,15,2505732.75122956,2505733.76186591,OK,1,RightArrow,0.993715321645141,4,\RIGHT,1,0,left,3
47,31384223,16,2505735.52291866,2505736.83374716,OK,4,LeftArrow,1.21390724601224,2,\LEFT,1,0,left,3
47,31384223,17,2505739.94563924,2505742.05694756,OK,12,LeftArrow,2.04679807694629,2,\LEFT,1,0,left,3
47,31384223,18,2505743.80801321,2505745.91931338,OK,3,RightArrow,2.05621769931167,4,\RIGHT,1,0,left,3
47,31384223,19,2505748.4708833,2505749.78168856,OK,11,LeftArrow,1.21708565531299,1,\LEFT,0,1,right,3
47,31384223,20,2505752.03307387,2505753.54404014,OK,9,LeftArrow,1.48666456574574,1,\LEFT,0,1,right,3
47,31384223,21,2505757.42643235,2505759.43764764,OK,4,LeftArrow,1.98889337666333,2,\LEFT,1,0,left,3
47,31384223,22,2505761.44889945,2505767.06232308,OK,6,LeftArrow,5.54196405783296,2,\LEFT,1,0,left,3
47,31384223,23,2505769.09356446,2505771.40499484,OK,7,RightArrow,2.24105049902573,4,\RIGHT,1,0,left,3
47,31384223,24,2505772.74587395,2505774.25677864,OK,0,LeftArrow,1.47653953637928,2,\LEFT,1,0,left,3
47,31384223,25,2505776.26798367,2505777.97905329,OK,6,LeftArrow,1.63416388537735,1,\LEFT,0,1,right,3
47,31384223,26,2505779.76014842,2505781.97149272,OK,5,LeftArrow,2.10168223269284,2,\LEFT,1,0,left,3
47,31384223,27,2505784.62312155,2505788.03522088,OK,9,LeftArrow,3.36638878984377,1,\LEFT,0,1,right,3
47,31384223,28,2505789.63622276,2505791.54738909,OK,2,LeftArrow,1.87305711070076,2,\LEFT,1,0,left,3
47,31384223,29,2505793.23842507,2505796.25030381,OK,3,RightArrow,2.98253897251561,3,\RIGHT,0,1,right,3
47,31384223,30,2505798.33150929,2505801.24334572,OK,6,RightArrow,2.81712103169411,3,\RIGHT,0,1,right,3
47,31384223,31,2505805.92622468,2505807.53721999,OK,8,RightArrow,1.56598293129355,4,\RIGHT,1,0,left,3
47,31384223,32,2505809.83858601,2505811.04939061,OK,9,LeftArrow,1.101336018648,1,\LEFT,0,1,right,3
47,31384223,33,2505813.93114865,2505815.74229802,OK,11,LeftArrow,1.76050610654056,2,\LEFT,1,0,left,3
47,31384223,34,2505817.63342256,2505819.44455623,OK,5,LeftArrow,1.77006125589833,1,\LEFT,0,1,right,3
47,31384223,35,2505821.19565358,2505823.00674952,OK,3,RightArrow,1.73560162493959,4,\RIGHT,1,0,left,3
47,31384223,36,2505824.69776014,2505826.90915666,OK,3,RightArrow,2.15322287101299,3,\RIGHT,0,1,right,3
47,31384223,37,2505828.61988368,2505831.33188479,OK,3,RightArrow,2.65478309849277,3,\RIGHT,0,1,right,3
47,31384223,38,2505833.88341939,2505835.29431979,OK,11,LeftArrow,1.33505595242605,1,\LEFT,0,1,right,3
47,31384223,39,2505837.32553582,2505839.7370215,OK,6,RightArrow,2.35661842580885,3,\RIGHT,0,1,right,3
47,31384223,40,2505842.32861281,2505844.1397833,OK,11,RightArrow,1.80118370847777,3,\RIGHT,0,1,right,3
