name1,name2,name3,name4,name5,name6,name7,name8,name9,name10
teapot,tea kettle,water kettle,,,,,,,
backpack,pack,bag,,,,,,,
balloon,,,,,,,,,
bandana,headband,,,,,,,,
basket,picinic basket,wicker basket,,,,,,,
tub,bathtub, ,,,,,,,
battery,,,,,,,,,
bed,,,,,,,,,
belt,,,,,,,,,
bench,,,,,,,,,
bib,,,,,,,,,
bike,bicycle,,,,,,,,
binder,,,,,,,,,
binoculars,,,,,,,,,
boat,yacht,,,,,,,,
book,textbook,,,,,,,,
bowl,dish,,,,,,,,
box,cardboard box,,,,,,,,
necklace,,,,,,,,,
briefcase,,,,,,,,,
broach,pin,,,,,,,,
broom,,,,,,,,,
bucket,,,,,,,,,
button,,,,,,,,,
calculator,,,,,,,,,
camera,,,,,,,,,
brush,cleaning brush,,,,,,,,
candle,,,,,,,,,
candlestick,candlestick holder,candle holder,,,,,,,
cane,walking stick,walker,,,,,,,
cell phone,phone,flip phone,,,,,,,
chain,chain link,,,,,,,,
office chair,rolling chair,chair,chair with wheels,,,,,,
chess board,chess,,,,,,,,
clock,,,,,,,,,
table,coffee table,,,,,,,,
comb,,,,,,,,,
compass,,,,,,,,,
mouse,computer mouse,,,,,,,,
cookie cutter,gingerbread man,,,,,,,,
cooler,ice chest,,,,,,,,
couch,sofa,,,,,,,,
crayon,,,,,,,,,
crib,,,,,,,,,
cutting board,,,,,,,,,
desk,,,,,,,,,
dice,die,,,,,,,,
door,door way,,,,,,,,
dress,polka dot dress,,,,,,,,
dresser,drawers,wooden dresser,,,,,,,
boot,,,,,,,,,
deoderant,,,,,,,,,
floss,,,,,,,,,
make up,makeup mirror,,,,,,,,
coffee pot,drip coffee,,,,,,,,
clothes pin,,,,,,,,,
computer drive,motherboard,technology,microprocessor,hard drive,memory chip or computer part,computer chip,chip,computer hardrive,computer board
cd,,,,,,,,,
keys,car keys,,,,,,,,
ethernet cable,cable,wire,electrical cable,cord,,,,,
glass,wine glass,cup,,,,,,,
watering pot,watering can,plant waterer,water jug,gardening water pourer that looks like a kettle,,,,,
water bottle,bottle,,,,,,,,
watch,,,,,,,,,
wardrobe,cabinet,,,,,,,,
wallet,,,,,,,,,
vest,,,,,,,,,
vase,,,,,,,,,
umbrella,,,,,,,,,
TV,television,,,,,,,,
truck,semi,semi truck,,,,,,,
blanket,towel,,,,,,,,
toothbrush,,,,,,,,,
wheel,tire,wheel rim,,,,,,,
ticket,movie ticket,,,,,,,,
thimble,shower head,cheese grater,grater,,,,,,
tent,,,,,,,,,
sweater,,,,,,,,,
glasses,sunglasses,,,,,,,,
sundial,,,,,,,,,
stroller,baby stroller,carriage,strolelr,,,,,,
lamp,street light,lamppost,,,,,,,
straw,,,,,,,,,
oven,stove,stoveoven,,,,,,,
foot stool,stool,,,,,,,,
steering wheel,,,,,,,,,
stapler,,,,,,,,,
spoon,soup spoon,shallow spoon,soup ladle,,,,,,
sponge,,,,,,,,,
speakers,,,,,,,,,
plunger,,,,,,,,,
sock,,,,,,,,,
sled,,,,,,,,,
skirt,,,,,,,,,
shoe,sneakers,,,,,,,,
truck,,,,,,,,,
scissors,,,,,,,,,
scarf,,,,,,,,,
saw,hand saw,,,,,,,,
satellite,,,,,,,,,
sand castle,,,,,,,,,
saddle,,,,,,,,,
rug,,,,,,,,,
rolling pin,dough roller,baking roller,pinroller,,,,,,
rock,mineral,,,,,,,,
bathrobe,,,,,,,,,
ring,wedding ring,wedding band,,,,,,,
ribbon,,,,,,,,,
remote control,clicker,remote,,,,,,,
lazy chair,recliner,chair,,,,,,,
kid toy,toy,,,,,,,,
rake,,,,,,,,,
radio,,,,,,,,,
quilt,blanket,,,,,,,,
pot,,,,,,,,,
puzzle piece,puzzle,,,,,,,,
plane,airplane,,,,,,,,
pillow,,,,,,,,,
pill,drugs,pill capsule,capsule,,,,,,
piggy bank,,,,,,,,,
mug,coffee mug,,,,,,,,
lure,fishing lure,fish hook,fish bait,fishing hook,bait,a little bass key chain ,fishing,hook,
helmet,,,,,,,,,
magnifying glass,magnify glass,magnified glass,,,,,,,
cork screw,wine opener,wine bottle opener,,,,,,,
stove,wood stove,,,,,,,,
can opener,,,,,,,,,
pfd,life vest,life jacket,,,,,,,
knot,rope,,,,,,,,
mop,,,,,,,,,
glove,,,,,,,,,
diamond,,,,,,,,,
guitar,,,,,,,,,
drum,,,,,,,,,
earring,,,,,,,,,
flashlight,,,,,,,,,
flask,,,,,,,,,
fork,,,,,,,,,
bobby pin,hair pin,,,,,,,,
hammer,,,,,,,,,
purse,bag,,,,,,,,
headphones,,,,,,,,,
high heel,shoe,high heel shoe,heeled shoe,,,,,,
marker,highlighter,,,,,,,,
router,modem,,,,,,,,
hinge,door hinge,,,,,,,,
hole punch,hole puncher,,,,,,,,
jar,glass jar,mason jar,,,,,,,
