name1,name2,name3,name4,name5,name6,name7,name8,name9,name10,name11,name12,name13,name14,name15
teapot,tea kettle,water kettle,,,,,,,,,,,,
backpack,pack,bag,,,,,,,,,,,,
balloon,,,,,,,,,,,,,,
bandana,headband,,,,,,,,,,,,,
basket,picinic basket,wicker basket,,,,,,,,,,,,
tub,bathtub, ,,,,,,,,,,,,
battery,d battery,,,,,,,,,,,,,
bed,,,,,,,,,,,,,,
belt,,,,,,,,,,,,,,
bench,,,,,,,,,,,,,,
bib,baby bib,,,,,,,,,,,,,
bike,bicycle,,,,,,,,,,,,,
binder,notebook paper holder,,,,,,,,,,,,,
binoculars,,,,,,,,,,,,,,
boat,yacht,yahgt,,,,,,,,,,,,
book,textbook,,,,,,,,,,,,,
bowl,dish,,,,,,,,,,,,,
box,cardboard box,,,,,,,,,,,,,
necklace,,,,,,,,,,,,,,
briefcase,,,,,,,,,,,,,,
broach,pin,,,,,,,,,,,,,
broom,,,,,,,,,,,,,,
bucket,pale,mop bucket,pail,,,,,,,,,,,
button,,,,,,,,,,,,,,
calculator,,,,,,,,,,,,,,
camera,,,,,,,,,,,,,,
brush,cleaning brush,,,,,,,,,,,,,
candle,,,,,,,,,,,,,,
candlestick,candlestick holder,candle holder,candle stand,,,,,,,,,,,
cane,walking stick,walker,,,,,,,,,,,,
cell phone,phone,flip phone,mobile phone,,,,,,,,,,,
chain,chain link,long chain,,,,,,,,,,,,
office chair,rolling chair,chair,chair with wheels,,,,,,,,,,,
chess board,chess,game board,,,,,,,,,,,,
clock,,,,,,,,,,,,,,
table,coffee table,,,,,,,,,,,,,
comb,,,,,,,,,,,,,,
compass,,,,,,,,,,,,,,
mouse,computer mouse,,,,,,,,,,,,,
cookie cutter,gingerbread man,,,,,,,,,,,,,
cooler,ice chest,,,,,,,,,,,,,
couch,sofa,,,,,,,,,,,,,
crayon,,,,,,,,,,,,,,
crib,baby crib,,,,,,,,,,,,,
cutting board,,,,,,,,,,,,,,
desk,,,,,,,,,,,,,,
dice,die,,,,,,,,,,,,,
door,door way,,,,,,,,,,,,,
dress,polka dot dress,,,,,,,,,,,,,
dresser,drawers,wooden dresser,chest of drawers,,,,,,,,,,,
boot,,,,,,,,,,,,,,
deoderant,,,,,,,,,,,,,,
floss,,,,,,,,,,,,,,
make up,makeup mirror,,,,,,,,,,,,,
coffee pot,drip coffee,,,,,,,,,,,,,
clothes pin,clothspin,,,,,,,,,,,,,
computer drive,motherboard,technology,microprocessor,hard drive,memory chip or computer part,computer chip,chip,computer hardrive,computer board,microchip,computer motherboard,circuit board,,
cd,cd rom,compact disk,,,,,,,,,,,,
keys,car keys,,,,,,,,,,,,,
ethernet cable,cable,wire,electrical cable,cord,ethernal wire,modem cable,,,,,,,,
glass,wine glass,cup,,,,,,,,,,,,
watering pot,watering can,plant waterer,water jug,gardening water pourer that looks like a kettle,waterdispenser,,,,,,,,,
water bottle,bottle,,,,,,,,,,,,,
watch,,,,,,,,,,,,,,
wardrobe,cabinet,,,,,,,,,,,,,
wallet,,,,,,,,,,,,,,
vest,,,,,,,,,,,,,,
vase,,,,,,,,,,,,,,
umbrella,,,,,,,,,,,,,,
TV,television,,,,,,,,,,,,,
truck,semi,semi truck,,,,,,,,,,,,
blanket,towel,,,,,,,,,,,,,
toothbrush,,,,,,,,,,,,,,
wheel,tire,wheel rim,auto wheel,car wheel,car wheel,,,,,,,,,
ticket,movie ticket,,,,,,,,,,,,,
thimble,shower head,cheese grater,grater,,,,,,,,,,,
tent,,,,,,,,,,,,,,
sweater,cable knit sweater,,,,,,,,,,,,,
glasses,sunglasses,specs,eye glass,eyeglass,eyeglasses,,,,,,,,,
sundial,,,,,,,,,,,,,,
stroller,baby stroller,carriage,strolelr,pram,babycarrier,,,,,,,,,
lamp,street light,lamppost,,,,,,,,,,,,
straw,,,,,,,,,,,,,,
oven,stove,stoveoven,,,,,,,,,,,,
foot stool,stool,,,,,,,,,,,,,
steering wheel,,,,,,,,,,,,,,
stapler,,,,,,,,,,,,,,
spoon,soup spoon,shallow spoon,soup ladle,,,,,,,,,,,
sponge,,,,,,,,,,,,,,
speakers,bass speaker,amp,radio or speaker,,,,,,,,,,,
plunger,,,,,,,,,,,,,,
sock,,,,,,,,,,,,,,
sled,,,,,,,,,,,,,,
skirt,,,,,,,,,,,,,,
shoe,sneakers,running shoe,reeboks,,,,,,,,,,,
truck,semi truck,big truk,,,,,,,,,,,,
scissors,scizzors,cissor,physician scissor,,,,,,,,,,,
scarf,,,,,,,,,,,,,,
saw,hand saw,,,,,,,,,,,,,
satellite,sattelite,,,,,,,,,,,,,
sand castle,,,,,,,,,,,,,,
saddle,,,,,,,,,,,,,,
rug,oriental rug,,,,,,,,,,,,,
rolling pin,dough roller,baking roller,pinroller,,,,,,,,,,,
