subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType,swap,trial_test,item_test,pair_test,tType_test,swap_test,name_test,mm_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
0,892098054,1,1533917.47987297,1533968.05027441,1533922.18856563,1533972.76728923,OK,OK,1,0,NO RESPONSE,NO RESPONSE,NaN,NaN,37,112,compass,1,BINOCULAR,mismatch,12,178,84,CFS,match,athletic tape,q,1,1,1534019.32076139,1534019.33740392,1534020.57084243,1534022.57930164,OK,OK,2,0,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00583164650015533,2,NaN,q,2.004364377819,2,NaN
0,892098054,2,1533923.56364886,1533974.13404486,1533928.27232642,1533978.84271277,OK,OK,0,6,NO RESPONSE,NO RESPONSE,NaN,NaN,81,96,lamp,1,BINOCULAR,match,8,164,54,NOT STUDIED,match,mouse trap,q,1,1,1534023.85447657,1534023.87109858,1534025.10450359,1534027.61301381,OK,OK,1,6,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00564329535700381,2,NaN,q,2.50448722857982,2,NaN
0,892098054,3,1533929.64745916,1533980.21785184,1533934.35611952,1533984.92652729,OK,OK,9,5,NO RESPONSE,NO RESPONSE,NaN,NaN,92,94,sled,1,BINOCULAR,match,7,151,97,CFS,mismatch,key ring,p,1,1,1534028.89645356,1534028.91311903,1534030.14652676,1534033.05509276,OK,OK,2,10,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00561129976995289,2,NaN,p,2.90452671004459,2,NaN
0,892098054,4,1533935.73124199,1533986.30160992,1533935.84790148,1533986.41830262,OK,OK,0,0,Return,Return,0.105322795920074,0.105222281767055,20,71,broach,1,NOT STUDIED,mismatch,3,92,94,BINOCULAR,match,sled,q,0,0,1534034.33853915,1534034.35520583,1534035.58862926,1534038.19714316,OK,OK,9,7,0,0,2@,2@,0,0,NaN,NaN,NO RESPONSE,0.00563031574711204,2,NaN,q,2.60448547801934,2,NaN
0,892098054,5,1533937.47300539,1533988.04343309,1533937.58967817,1533988.16003885,OK,OK,0,0,Return,Return,0.105298346607015,0.105140481842682,105,106,bathrobe,1,NOT STUDIED,mismatch,2,81,96,BINOCULAR,match,lamp,q,0,0,1534039.48057144,1534039.49724023,1534040.73066516,1534043.33919386,OK,OK,3,7,0,0,2@,2@,0,0,NaN,NaN,NO RESPONSE,0.00560465920716524,2,NaN,q,2.60453648981638,2,NaN
0,892098054,6,1533939.21479989,1533989.78520313,1533939.33149258,1533989.90187711,OK,OK,0,0,Return,Return,0.105229224078357,0.105214735493064,70,87,truck,1,NOT STUDIED,match,4,20,71,NOT STUDIED,mismatch,broach,p,0,0,1534044.62261761,1534044.6393018,1534045.87272462,1534048.48124184,OK,OK,4,7,0,0,2@,2@,0,0,NaN,NaN,NO RESPONSE,0.00556632480584085,2,NaN,p,2.60446495260112,2,NaN
0,892098054,7,1533940.95659589,1533991.53533459,1533942.77342635,1533992.45206429,OK,OK,1,3,Return,Return,1.80558401276357,0.905408701160923,151,97,key ring,1,CFS,mismatch,6,70,87,NOT STUDIED,match,truck,q,0,1,1534049.7563564,1534049.77300376,1534051.00642779,1534053.21495383,OK,OK,8,2,0.8290291181804,1,2@,2@,1.67181594039485,0.649842528759041,2.08679317431534,2,NO RESPONSE,0.00562186422757804,2,NaN,q,2.2045160245616,2,NaN
0,892098054,8,1533944.39851728,1533994.07722434,1533944.51520877,1533994.19388142,OK,OK,0,0,Return,Return,0.105137463426217,0.105156177654862,164,54,mouse trap,1,NOT STUDIED,match,9,13,16,BINOCULAR,mismatch,binoculars,p,0,0,1534054.49831027,1534054.51501408,1534055.74843146,1534058.35698732,OK,OK,3,7,0,0,2@,2@,0,0,NaN,NaN,NO RESPONSE,0.00559982936829329,2,NaN,p,2.60452501964755,2,NaN
0,892098054,9,1533946.13197722,1533995.81899348,1533950.84032366,1534000.52768644,OK,OK,8,7,NO RESPONSE,NO RESPONSE,NaN,NaN,13,16,binoculars,1,BINOCULAR,mismatch,1,37,112,BINOCULAR,mismatch,compass,p,1,1,1534059.6404141,1534059.65708862,1534060.890522,1534063.09900548,OK,OK,7,2,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00569249596446753,2,NaN,p,2.20445082616061,2,NaN
0,892098054,10,1533952.21575492,1534001.90276424,1533955.33267008,1534005.71971543,OK,OK,0,5,Return,Return,3.10565361822955,3.80574912205338,41,42,couch,1,CFS,mismatch,5,105,106,NOT STUDIED,mismatch,bathrobe,p,0,1,1534064.38243316,1534064.39912036,1534065.63249519,1534068.24104079,OK,OK,4,7,0.687289278790972,0.8290291181804,2@,2@,3.05628344941496,3.36210873795675,2.17860838536917,2.08679317431534,NO RESPONSE,0.00573354680091143,2,NaN,p,2.60456214658916,2,NaN
0,892098054,11,1533956.96610703,1534007.35319071,1533961.08311424,1534010.77004779,OK,OK,9,2,Return,Return,4.10572062805295,3.40577121707611,10,12,bench,1,CFS,match,11,10,12,CFS,match,bench,q,0,1,1534069.52447179,1534069.54115235,1534070.77455977,1534073.28311135,OK,OK,7,5,0.8290291181804,1,2@,2@,3.25305657830609,3.23064863816371,2.08679317431534,2,NO RESPONSE,0.00558111513964832,2,NaN,q,2.50452526123263,2,NaN
0,892098054,12,1533962.70822751,1534012.39521238,1533966.42514212,1534015.6121122,OK,OK,5,0,Return,Return,3.70561262778938,3.20563285145909,178,84,athletic tape,1,CFS,match,10,41,42,CFS,mismatch,couch,p,0,1,1534074.56650009,1534074.58316224,1534075.81662943,1534078.32511278,OK,OK,7,6,1,1,2@,2@,3.23580469557659,3.12639736613052,2,2,NO RESPONSE,0.00567649817094207,2,NaN,p,2.50445976061746,2,NaN
0,892098054,13,1534080.10025723,1534128.2871603,1534080.21694963,1534128.40385209,OK,OK,0,0,Return,Return,0.105201756348833,0.105229827808216,68,73,umbrella,2,NOT STUDIED,mismatch,14,64,107,NOT STUDIED,mismatch,wardrobe,p,0,0,1534179.20769657,1534179.22427752,1534180.45773143,1534182.86623072,OK,OK,3,4,0,0,2@,2@,0,0,NaN,NaN,NO RESPONSE,0.00562246772460639,2,NaN,p,2.40452640829608,2,NaN
0,892098054,14,1534081.8337205,1534130.02904383,1534081.95041138,1534130.14563209,OK,OK,0,0,Return,Return,0.105223790975288,0.105201756348833,64,107,wardrobe,2,NOT STUDIED,mismatch,17,181,184,CFS,mismatch,microscope,p,0,0,1534184.14133653,1534184.15802464,1534185.39143599,1534187.89995647,OK,OK,6,6,0,0,2@,2@,0,0,NaN,NaN,NO RESPONSE,0.00557477632537484,2,NaN,p,2.50448088976555,2,NaN
0,892098054,15,1534083.57549628,1534131.7707849,1534088.28423632,1534136.48779007,OK,OK,1,9,NO RESPONSE,NO RESPONSE,NaN,NaN,31,47,chain,2,BINOCULAR,mismatch,15,31,47,BINOCULAR,mismatch,chain,p,1,1,1534189.18338687,1534189.20006894,1534190.43345946,1534192.74198526,OK,OK,4,3,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00563756003975868,2,NaN,p,2.3045870186761,2,NaN
0,892098054,16,1534089.65928666,1534137.85454268,1534094.36802972,1534142.56323986,OK,OK,4,1,NO RESPONSE,NO RESPONSE,NaN,NaN,150,156,key,2,BINOCULAR,match,19,174,131,BINOCULAR,match,pants,q,1,1,1534194.02542682,1534194.04210165,1534195.27548312,1534197.28399122,OK,OK,6,0,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00560133857652545,2,NaN,q,2.00450171716511,2,NaN
0,892098054,17,1534095.74306888,1534143.93833245,1534097.15989186,1534146.65523257,OK,OK,4,9,Return,Return,1.40556173655204,2.70558365061879,181,184,microscope,2,CFS,mismatch,21,165,45,CFS,mismatch,nail,p,0,1,1534198.5674189,1534198.58409192,1534199.81749089,1534202.32602496,OK,OK,6,5,1,0.472366552741015,2@,2@,1.03633701624429,1.92223221089629,2,2.3784840742878,NO RESPONSE,0.0056279010605067,2,NaN,p,2.50455031427555,2,NaN
