subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType,swap,trial_test,item_test,pair_test,tType_test,swap_test,name_test,mm_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
0,891538868,1,1528325.79711213,1528377.62595783,1528328.71401418,1528379.9428556,OK,OK,8,6,Return,Return,2.90590704744682,2.30565373902209,66,95,vest,1,CFS,match,12,27,24,BINOCULAR,match,candle,q,1,0,1528428.32143933,1528428.33809212,1528429.57150015,1528431.880019,OK,OK,10,3,0.60311512471049,0.877527328480149,2@,2@,2.14156158928072,1.78195561947103,2.2457063559788,2.05995856853313,NO RESPONSE,0.0056934014428407,NaN,NaN,q,2.30447231745347,2,NaN
0,891538868,2,1528330.34744026,1528381.57627232,1528330.46416043,1528381.69293121,OK,OK,0,0,Return,Return,0.105285065481439,0.105282952776179,76,113,tent,1,NOT STUDIED,match,10,79,59,CFS,match,sundial,q,0,0,1528433.16342978,1528433.18011849,1528434.41352713,1528437.02205793,OK,OK,6,7,0,0,2@,2@,0,0,NaN,NaN,NO RESPONSE,0.00554761034436524,NaN,NaN,q,2.60450117383152,2,NaN
0,891538868,3,1528332.11427069,1528383.3097365,1528332.22263337,1528383.4263972,OK,OK,0,0,Return,Return,0.105099430773407,0.105205378262326,40,88,cooler,1,NOT STUDIED,match,2,76,113,NOT STUDIED,match,tent,q,0,0,1528438.32218519,1528438.33884915,1528439.57224511,1528442.08077887,OK,OK,1,6,0,0,2@,2@,0,0,NaN,NaN,NO RESPONSE,0.00564601179212332,NaN,NaN,q,2.50444466853514,2,NaN
0,891538868,4,1528333.86439218,1528385.05151891,1528333.98107945,1528385.16820678,OK,OK,0,0,Return,Return,0.105183343635872,0.105180627200753,64,107,wardrobe,1,NOT STUDIED,mismatch,7,43,44,BINOCULAR,mismatch,crib,p,0,0,1528443.36422557,1528443.38087866,1528444.61431838,1528446.8228251,OK,OK,1,2,0,0,2@,2@,0,0,NaN,NaN,NO RESPONSE,0.00568706262856722,NaN,NaN,p,2.20439770142548,2,NaN
0,891538868,5,1528335.60624433,1528386.80164735,1528335.72283953,1528386.91834095,OK,OK,0,0,Return,Return,0.10516825132072,0.105234355665743,14,139,boat,1,NOT STUDIED,mismatch,1,66,95,CFS,match,vest,q,0,0,1528448.09756628,1528448.1145662,1528449.34802252,1528452.15653292,OK,OK,6,9,0,0,2@,2@,0,0,NaN,NaN,NO RESPONSE,0.00554006407037377,NaN,NaN,q,2.80448710802011,2,NaN
0,891538868,6,1528337.35632447,1528388.54350161,1528340.47321095,1528391.66036636,OK,OK,10,9,Return,Return,3.10556185734458,3.1055045069661,108,109,remote control,1,CFS,mismatch,8,73,68,BINOCULAR,mismatch,wheel,p,1,0,1528453.4482867,1528453.46494553,1528454.69837167,1528456.70687675,OK,OK,7,0,0.5,0.727495707309101,2@,2@,2.21190650776496,2.2669317660666,2.34671662001737,2.15022107250873,NO RESPONSE,0.00561220524832606,NaN,NaN,p,2.00440905080177,2,NaN
0,891538868,7,1528342.09831758,1528393.28550075,1528346.80705098,1528397.99414239,OK,OK,7,2,NO RESPONSE,NO RESPONSE,NaN,NaN,43,44,crib,1,BINOCULAR,mismatch,3,40,88,NOT STUDIED,match,cooler,q,1,1,1528457.9986423,1528458.01534067,1528459.2487155,1528461.35727649,OK,OK,1,1,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00566412252373993,NaN,NaN,q,2.10444171051495,2,NaN
0,891538868,8,1528348.18207083,1528399.36925883,1528352.89080393,1528404.07795028,OK,OK,9,2,NO RESPONSE,NO RESPONSE,NaN,NaN,73,68,wheel,1,BINOCULAR,mismatch,6,108,109,CFS,mismatch,remote control,p,1,1,1528462.65734006,1528462.67399858,1528463.90739152,1528466.51594436,OK,OK,1,7,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00558322807773948,NaN,NaN,p,2.60458961455151,2,NaN
0,891538868,9,1528354.26559437,1528405.45302416,1528358.98293398,1528410.16173673,OK,OK,8,8,NO RESPONSE,NO RESPONSE,NaN,NaN,88,40,sponge,1,BINOCULAR,match,11,53,23,CFS,mismatch,make up,p,1,1,1528467.79939196,1528467.81604958,1528469.04946335,1528471.95799615,OK,OK,5,10,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00563242891803384,NaN,NaN,p,2.90452882298268,2,NaN
0,891538868,10,1528360.34972855,1528411.53684019,1528364.26668977,1528414.55373295,OK,OK,4,2,Return,Return,3.90569786867127,3.00570124946535,79,59,sundial,1,CFS,match,5,14,139,NOT STUDIED,mismatch,boat,p,1,0,1528473.24108999,1528473.25807119,1528474.49151604,1528477.30005723,OK,OK,4,9,0.60311512471049,0.877527328480149,2@,2@,3.47891660184724,2.80697465585095,2.2457063559788,2.05995856853313,NO RESPONSE,0.00567710190080106,NaN,NaN,p,2.80452906433493,2,NaN
