subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
0,892085879,1,1533795.40443948,1533798.75467754,OK,4,LeftArrow,3.33903840603307,1,\LEFT,0,1,right,3
0,892085879,2,1533800.11310315,1533803.12999984,OK,0,RightArrow,3.00557507830672,3,\RIGHT,0,1,right,3
0,892085879,3,1533804.48007279,1533807.89696942,OK,4,LeftArrow,3.40568941715173,2,\LEFT,1,0,left,3
0,892085879,4,1533809.2470629,1533812.6639722,OK,4,LeftArrow,3.4056045988109,1,\LEFT,0,1,right,3
0,892085879,5,1533814.01408439,1533817.43097769,OK,4,RightArrow,3.40577695216052,3,\RIGHT,0,1,right,3
0,892085879,6,1533818.77281813,1533822.48967056,OK,8,LeftArrow,3.70568839088082,2,\LEFT,1,0,left,3
0,892085879,7,1533823.83976887,1533827.15667087,OK,3,RightArrow,3.30579560622573,4,\RIGHT,1,0,left,3
0,892085879,8,1533828.5067236,1533831.52369182,OK,0,RightArrow,3.00559711293317,4,\RIGHT,1,0,left,3
0,892085879,9,1533832.87374968,1533836.69072955,OK,9,LeftArrow,3.80567064252682,2,\LEFT,1,0,left,3
0,892085879,10,1533838.04079255,1533841.95774411,OK,10,LeftArrow,3.90567251387984,1,\LEFT,0,1,right,3
0,892085879,11,1533843.55783714,1533846.97482009,OK,4,RightArrow,3.40577906533144,3,\RIGHT,0,1,right,3
0,892085879,12,1533848.32485169,1533851.84183591,OK,6,RightArrow,3.50570185319521,3,\RIGHT,0,1,right,3
0,892085879,13,1533853.1918983,1533856.90882257,OK,8,LeftArrow,3.70576777611859,2,\LEFT,1,0,left,3
0,892085879,14,1533858.25891001,1533861.37582668,OK,1,LeftArrow,3.10572968330234,1,\LEFT,0,1,right,3
0,892085879,15,1533862.72588545,1533865.94284443,OK,2,RightArrow,3.20575479674153,4,\RIGHT,1,0,left,3
0,892085879,16,1533867.29290924,1533871.10983417,OK,9,LeftArrow,3.8057424814906,2,\LEFT,1,0,left,3
0,892085879,17,1533872.4599195,1533875.57676735,OK,1,RightArrow,3.10572092980146,3,\RIGHT,0,1,right,3
0,892085879,18,1533876.92695319,1533880.04380466,OK,1,RightArrow,3.1058033334557,4,\RIGHT,1,0,left,3
0,892085879,19,1533881.39393949,1533884.91084101,OK,6,RightArrow,3.50554549740627,4,\RIGHT,1,0,left,3
0,892085879,20,1533886.26097252,1533889.77787584,OK,6,LeftArrow,3.50568313873373,1,\LEFT,0,1,right,3
