subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
0,892012906,1,1533065.81888482,1533069.56913489,OK,8,LeftArrow,3.73895081062801,1,\LEFT,0,1,right,3
0,892012906,2,1533070.92756262,1533074.84449607,OK,10,RightArrow,3.90563508495688,4,\RIGHT,1,0,left,3
0,892012906,3,1533076.19460011,1533079.41148937,OK,2,RightArrow,3.20567088364623,4,\RIGHT,1,0,left,3
0,892012906,4,1533080.75327758,1533084.47018767,OK,8,RightArrow,3.70565398037434,3,\RIGHT,0,1,right,3
0,892012906,5,1533085.82029624,1533089.6372091,OK,9,LeftArrow,3.80574791459367,2,\LEFT,1,0,left,3
0,892012906,6,1533090.98734635,1533094.30420971,OK,3,LeftArrow,3.30589551711455,1,\LEFT,0,1,right,3
0,892012906,7,1533095.654321,1533099.57125294,OK,10,LeftArrow,3.905714772176,2,\LEFT,1,0,left,3
0,892012906,8,1533100.92136514,1533104.53831682,OK,7,LeftArrow,3.60581148322672,1,\LEFT,0,1,right,3
0,892012906,9,1533105.88838373,1533109.70532467,OK,9,LeftArrow,3.80589008354582,1,\LEFT,0,1,right,3
0,892012906,10,1533111.05541785,1533114.67237949,OK,7,LeftArrow,3.60570130986162,2,\LEFT,1,0,left,3
0,892012906,11,1533116.2974674,1533119.41436022,OK,1,RightArrow,3.10580695560202,3,\RIGHT,0,1,right,3
0,892012906,12,1533120.76447936,1533124.2813697,OK,5,RightArrow,3.5056671409402,3,\RIGHT,0,1,right,3
0,892012906,13,1533125.63149216,1533129.34842488,OK,8,LeftArrow,3.70590722863562,2,\LEFT,1,0,left,3
0,892012906,14,1533130.69849723,1533133.91539645,OK,2,RightArrow,3.20564432162791,3,\RIGHT,0,1,right,3
0,892012906,15,1533135.26516032,1533138.78244729,OK,5,LeftArrow,3.50603086431511,2,\LEFT,1,0,left,3
0,892012906,16,1533140.13250425,1533143.34941584,OK,2,LeftArrow,3.20608078944497,1,\LEFT,0,1,right,3
0,892012906,17,1533144.69949815,1533148.51646444,OK,9,RightArrow,3.80574157601222,4,\RIGHT,1,0,left,3
0,892012906,18,1533149.86654072,1533152.98344591,OK,1,RightArrow,3.10562252835371,3,\RIGHT,0,1,right,3
0,892012906,19,1533154.33357411,1533157.85046988,OK,6,RightArrow,3.50578636978753,4,\RIGHT,1,0,left,3
0,892012906,20,1533159.20059506,1533162.81751565,OK,7,RightArrow,3.60591320507228,4,\RIGHT,1,0,left,3
