subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS_1,roboBCFS_2,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
1,1151031080,1,157208.206189447,157260.602228723,157212.214824405,157262.610743544,OK,OK,8,0,j,j,4.00451141572557,2.00420141813811,62,123,watering pot,1,CFS,10,29,86,Not Studied,candlestick,j,j,nogo,1,0,157311.481493868,157311.498118131,157312.956608186,157317.565300977,Return,EMPTY,1,0.444303305217611,0.673962260309288,2@,2@,3.91190243473196,1.98420364690933,2.41331905115304,2.18849813629865,candlestik,0.00580392757547088,2,NO RESPONSE,NaN,2
1,1151031080,2,157214.648386669,157264.235868924,157218.557075929,157268.944600382,Return,OK,8,0,NO RESPONSE,NO RESPONSE,NaN,NaN,29,86,candlestick,1,Binocular,1,145,15,Binocular,router,z,z,go,1,1,157318.848405746,157318.865407016,157320.823858284,157322.84072493,Return,EMPTY,6,1,1,,,0,0,NaN,NaN,route,0.0053695687383879,2,Return,2.00529440864921,2
1,1151031080,3,157219.932206214,157270.311379447,157220.040530298,157270.419727075,Return,OK,0,0,f,f,0.103959970147116,0.103949707350694,145,15,router,1,Not Studied,2,135,117,Not Studied,earring,f,f,go,0,0,157324.107541393,157324.124199764,157325.682653024,157327.699493711,Return,EMPTY,2,0,0,,,0,0,NaN,NaN,earing,0.00533696918864734,2,Return,2.00517336773919,2
1,1151031080,4,157221.53230842,157272.419881923,157224.949292001,157274.228343861,OK,OK,0,5,j,j,3.40443637638236,1.80418203951558,135,117,earring,1,CFS,3,28,137,Binocular,candle,j,j,nogo,1,0,157328.991268452,157329.007949159,157331.066430038,157335.075121441,Return,EMPTY,7,0.49308132296248,0.612176273469109,2@,2@,3.37397009745917,1.78958356536189,2.35445241253427,2.23791411726051,candle,0.00533968582749367,2,NO RESPONSE,NaN,2
1,1151031080,5,157226.574088971,157275.861824687,157226.682427544,157275.970174127,Return,OK,0,0,f,f,0.10400011591264,0.103877263900358,50,80,dresser,1,Not Studied,12,90,57,Not Studied,speakers,f,f,go,0,0,157336.358212627,157336.374880657,157338.333692633,157340.350565617,Return,EMPTY,6,0,0,,,0,0,NaN,NaN,speakr,0.00530074746347964,2,Return,2.00523735946626,2
1,1151031080,6,157228.174517474,157278.170349561,157231.383106007,157279.878818109,Return,OK,0,7,j,j,3.20429957899614,1.70410352892941,19,189,necklace,1,CFS,9,74,58,Not Studied,wheel,j,j,go,1,0,157341.642324662,157341.658992994,157343.21743086,157345.234253737,Return,EMPTY,2,0.547214455078947,0.556054562501087,2@,2@,3.16678638043551,1.60301946267562,2.29739690998305,2.28877631786688,whel,0.00527841073926538,2,Return,2.0052998419269,2
1,1151031080,7,157233.008254025,157281.503980013,157233.116603465,157281.61230953,OK,OK,0,0,f,f,0.104154661938082,0.103930690936977,74,58,wheel,1,Not Studied,6,2,187,CFS,backpack,f,f,nogo,0,0,157346.509393651,157346.526085225,157348.484544643,157352.593217965,Return,EMPTY,6,0,0,,,0,0,NaN,NaN,backp,0.00547913945047185,2,NO RESPONSE,NaN,2
1,1151031080,8,157234.916761874,157283.512459217,157239.325494751,157287.821144371,Return,OK,3,4,NO RESPONSE,NO RESPONSE,NaN,NaN,2,187,backpack,1,Binocular,7,124,100,Binocular,magnifying glass,z,z,go,1,1,157353.86830898,157353.884979425,157355.343470687,157357.360265795,Return,EMPTY,1,1,1,,,0,0,NaN,NaN,magnify ls,0.00537198351230472,2,Return,2.00508975592675,2
1,1151031080,9,157241.3006388,157289.187888723,157245.409290993,157293.896653988,Return,OK,6,0,NO RESPONSE,NO RESPONSE,NaN,NaN,124,100,magnifying glass,1,Binocular,8,19,189,CFS,necklace,z,z,go,1,1,157358.635413557,157358.652070419,157360.510547313,157362.527362041,Return,EMPTY,5,1,1,,,0,0,NaN,NaN,neckla,0.00541152557707392,2,Return,2.00519661002909,2
1,1151031080,10,157247.284445275,157296.17184582,157251.293114643,157299.280447604,Return,OK,5,9,j,j,4.00432970342808,3.10427449544659,28,137,candle,1,CFS,4,62,123,Binocular,watering pot,j,j,go,1,0,157363.810830537,157363.827500982,157365.78601111,157367.802802897,Return,EMPTY,6,0.607290614960352,0.505077850740776,2@,2@,3.98988799193949,3.0621640590056,2.24209682070065,2.34112706351976,watering po,0.00551113529945724,2,Return,2.00518634720356,2
