subject,seed,dominantEye,sex,ethnicity,race,trial,item,tStart,tEnd,exitFlag,jitter,tType,eyes_1,eyes_2,transparency,pas,response,rt,RoboRT,meanRoboRT
1,770398425,Right,,rather not say,rather not say,1,57,1791133.62433015,1791137.62475546,OK,6,CFS,1,0,0.6731973263793,2@,Return,4.00782284536399,3.56968333427614,2.18907348447831
1,770398425,Right,,rather not say,rather not say,2,38,1791139.09158217,1791139.21659587,CAUGHT,0,NULL,0,0,0,,Return,0.132312221918255,0,NaN
1,770398425,Right,,rather not say,rather not say,3,36,1791140.65841972,1791142.40860664,OK,8,CFS,1,0,0.590953271612442,2@,Return,1.75762037700042,1.20265755076911,2.25640763650484
1,770398425,Right,,rather not say,rather not say,4,11,1791143.86709524,1791147.49248882,OK,5,CFS,1,0,0.58818109843688,2@,Return,3.63276364444755,3.27937189414885,2.25888700325662
1,770398425,Right,,rather not say,rather not say,5,82,1791148.94264052,1791150.69281023,ESCAPE,2,CFS,1,0,0.585734664196018,,ESCAPE,1.71715354197659,1.99306459772294,2.26108768874841
1,770398425,Right,,rather not say,rather not say,6,53,NaN,NaN,EMPTY,5,CFS,1,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,7,48,NaN,NaN,EMPTY,0,CFS,1,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,8,10,NaN,NaN,EMPTY,4,NULL,0,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,9,22,NaN,NaN,EMPTY,2,NULL,0,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,10,66,NaN,NaN,EMPTY,4,CFS,1,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,11,2,NaN,NaN,EMPTY,2,CFS,1,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,12,20,NaN,NaN,EMPTY,3,CFS,1,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,13,84,NaN,NaN,EMPTY,4,CFS,1,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,14,63,NaN,NaN,EMPTY,6,CFS,1,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,15,64,NaN,NaN,EMPTY,6,CFS,1,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,16,7,NaN,NaN,EMPTY,7,CFS,1,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,17,56,NaN,NaN,EMPTY,4,CFS,1,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,18,4,NaN,NaN,EMPTY,8,CFS,1,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,19,55,NaN,NaN,EMPTY,4,CFS,1,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,20,39,NaN,NaN,EMPTY,6,CFS,1,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,21,58,NaN,NaN,EMPTY,1,CFS,1,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,22,41,NaN,NaN,EMPTY,3,CFS,1,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,23,44,NaN,NaN,EMPTY,2,CFS,1,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,24,69,NaN,NaN,EMPTY,7,CFS,1,0,NaN,,,NaN,NaN,NaN
1,770398425,Right,,rather not say,rather not say,25,83,NaN,NaN,EMPTY,8,CFS,1,0,NaN,,,NaN,NaN,NaN
