subject,seed,trial,tStart_1,tStart_2,tEnd_1,tEnd_2,exitFlag_1,exitFlag_2,jitter_1,jitter_2,response_1,response_2,rt_1,rt_2,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS_1,roboBCFS_2,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_cue,jitter_noise,transparency_1,transparency_2,pas_1,pas_2,RoboRT_1,RoboRT_2,meanRoboRT_1,meanRoboRT_2,response_cue,rt_cue,RoboRT_cue,meanRoboRT_cue,response_noise,rt_noise,RoboRT_noise,meanRoboRT_noise
199,1109047867,1,1982291.79059891,1982345.47763363,1982296.00754594,1982349.89460532,OK,OK,4,2,NO RESPONSE,NO RESPONSE,NaN,NaN,122,32,lure,1,Binocular,11,29,86,Not Studied,candlestick,z,z,go,1,1,1982398.75632264,1982398.77298981,1982400.14808525,1982402.66492446,OK,OK,5,6,1,1,,,0,0,NaN,NaN,NO RESPONSE,0.00615906435996294,2,NaN,Return,2.50581434555352,2,NaN
199,1109047867,2,1982297.47432344,1982351.36137361,1982297.59099064,1982351.47804563,OK,OK,0,0,f,f,0.10455205407925,0.104418953182176,50,80,dresser,1,Not Studied,2,50,80,Binocular,dresser,f,f,go,0,0,1982403.96501692,1982403.98168016,1982405.34844692,1982407.66526856,OK,OK,4,3,0,0,,,0,0,NaN,NaN,NO RESPONSE,0.00618306337855756,2,NaN,Return,2.30580764450133,2,NaN
199,1109047867,3,1982299.19110901,1982353.07816431,1982299.30777633,1982353.19483255,OK,OK,0,0,f,f,0.104486247291788,0.104568957351148,90,57,speakers,1,Not Studied,9,28,137,Not Studied,candle,f,f,go,0,0,1982408.95703023,1982408.97369604,1982410.34045811,1982412.35725778,OK,OK,4,0,0,0,,,0,0,NaN,NaN,NO RESPONSE,0.00596859981305897,2,NaN,Return,2.00579925533384,2,NaN
199,1109047867,4,1982301.40791748,1982355.39499458,1982306.02490872,1982359.11191126,OK,OK,5,6,j,j,4.60507125314325,3.70498674013652,62,123,watering pot,1,CFS,10,19,189,Binocular,necklace,j,j,go,1,0,1982413.64901536,1982413.66568118,1982415.03245141,1982415.14078706,OK,ESCAPE,2,2,0.552585459037824,0.661604286204194,2@,2@,4.11999732465044,3.17437406714878,2.29213789562566,2.19789866170465,NO RESPONSE,0.00599291361868382,2,NaN,ESCAPE,0.00806415383704007,2,NaN
199,1109047867,5,1982307.86669907,1982361.55375117,1982309.88350554,1982365.37067771,OK,OK,1,7,j,j,2.00486369500868,3.8050980027765,28,137,candle,1,CFS,3,2,187,Not Studied,backpack,j,j,go,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,6,2,0.615079148064081,0.719100377855941,2@,2@,1.89769053969156,3.1384516318753,2.23544940885338,2.15597739438018,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,6,1982311.92531316,1982367.31248196,1982316.25061337,1982371.72945004,OK,OK,3,2,NO RESPONSE,NO RESPONSE,NaN,NaN,124,100,magnifying glass,1,Binocular,7,145,15,Not Studied,router,z,z,nogo,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,5,4,1,1,,,0,0,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,7,1982318.21741802,1982373.59624699,1982322.33436594,1982377.81320127,OK,OK,5,4,NO RESPONSE,NO RESPONSE,NaN,NaN,29,86,candlestick,1,Binocular,1,124,100,CFS,magnifying glass,z,z,go,1,1,NaN,NaN,NaN,NaN,EMPTY,EMPTY,4,5,1,1,,,0,0,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,8,1982323.80113195,1982379.27998434,1982323.91781471,1982379.39664671,OK,OK,0,0,f,f,0.104805324692279,0.104550102958456,145,15,router,1,Not Studied,6,74,58,Binocular,wheel,f,f,go,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,3,0,0,0,,,0,0,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,9,1982326.31797949,1982380.99676402,1982330.03489996,1982382.61353428,OK,OK,8,0,j,j,3.70497981086373,1.60482327127829,135,117,earring,1,CFS,12,90,57,CFS,speakers,j,j,nogo,1,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,2,1,0.56003593738115,0.781593112703868,2@,2@,3.01431738737955,1.588333930945,2.28495178762563,2.11509116683384,,NaN,2,NaN,,NaN,2,NaN
199,1109047867,10,1982331.77669199,1982384.35532628,1982331.89336354,1982384.47199695,OK,OK,0,0,f,f,0.104549770476297,0.104361147386953,74,58,wheel,1,Not Studied,8,62,123,Binocular,watering pot,f,f,nogo,0,0,NaN,NaN,NaN,NaN,EMPTY,EMPTY,7,8,0,0,,,0,0,NaN,NaN,,NaN,2,NaN,,NaN,2,NaN
