subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,pair,name,list,tType_study,trial_test,item_test,pair_test,tType_test,name_test,roboBCFS,gonogo_answer,eyes_1,eyes_2,tStart_cue,tEnd_cue,tStart_noise,tEnd_noise,exitFlag_cue,exitFlag_noise,jitter_noise,transparency,pas,RoboRT,meanRoboRT,response_cue,rt_cue,RoboRT_cue,response_noise,rt_noise,RoboRT_noise
199,1150895910,1,NaN,155855.902649287,Return,3,NO RESPONSE,NaN,122,32,lure,1,Binocular,11,29,86,Not Studied,candlestick,z,go,1,1,155891.422280707,155891.438950246,155892.797397409,155894.814184669,Return,EMPTY,0,1,,0,NaN,candlestik,0.00583109387662262,2,Return,2.00538888698793,2
199,1150895910,2,155857.177752677,155857.302776788,Return,0,f,0.111598226212664,50,80,dresser,1,Not Studied,2,50,80,Binocular,dresser,f,go,0,0,155896.097722287,155896.114300065,155898.272841344,155900.289640074,Return,EMPTY,8,0,,0,NaN,dres,0.00562493188772351,2,Return,2.00539703687537,2
199,1150895910,3,155858.80288017,155858.911270359,Return,0,f,0.104206579737365,90,57,speakers,1,Not Studied,9,28,137,Not Studied,candle,f,go,0,0,155901.573109475,155901.589781731,155903.948302846,155905.965143533,Return,EMPTY,10,0,,0,NaN,candle,0.00550811685388908,2,Return,2.00554826259031,2
199,1150895910,4,155861.011379055,155863.428251556,Return,6,j,2.40450761246029,62,123,watering pot,1,CFS,10,19,189,Binocular,necklace,j,go,0,1,155907.240187761,155907.256899861,155909.015391214,155911.032235221,Return,EMPTY,4,0.267630714259495,2@,2.35094969127824,2.72756544917343,neckla,0.0055989729880821,2,Return,2.00563308180426,2
199,1150895910,5,155865.961831358,155869.278742164,Return,9,j,3.30453112639952,28,137,candle,1,CFS,3,2,187,Not Studied,backpack,j,go,0,1,155912.307371815,155912.324028677,155914.482496305,155916.499349971,Return,EMPTY,8,0.1958028133384,2@,3.25439385617856,2.9465020318903,backp,0.0056077265762724,2,Return,2.00548095052363,2
199,1150895910,6,NaN,155871.020540736,OK,6,NO RESPONSE,NaN,124,100,magnifying glass,1,Binocular,7,145,15,Not Studied,router,z,nogo,1,1,155917.791109317,155917.807784894,155919.266235407,155925.075044772,Return,EMPTY,1,1,,0,NaN,route,0.00562764852656983,2,NO RESPONSE,NaN,2
199,1150895910,7,NaN,155872.404010469,Return,4,NO RESPONSE,NaN,29,86,candlestick,1,Binocular,1,124,100,CFS,magnifying glass,z,go,1,1,155926.350169291,155926.366852112,155928.725346061,155930.742190672,Return,EMPTY,10,1,,0,NaN,magnify ls,0.00541092187631875,2,Return,2.00535025048885,2
199,1150895910,8,155873.67918087,155873.787478693,Return,0,f,0.104244008834939,145,15,router,1,Not Studied,6,74,58,Binocular,wheel,f,go,0,0,155932.025322909,155932.042290674,155933.809130833,155935.825960351,Return,EMPTY,4,0,,0,NaN,whel,0.00539039622526616,2,Return,2.00520808022702,2
199,1150895910,9,155875.295912771,155878.312833146,OK,0,j,3.00461494948831,135,117,earring,1,CFS,12,90,57,CFS,speakers,j,nogo,0,1,155937.117735092,155937.134437834,155939.40124313,155944.40997166,Return,EMPTY,9,0.25141578898547,2@,2.92826146361371,2.7697263243758,speakr,0.00537862416240387,2,NO RESPONSE,NaN,2
199,1150895910,10,155879.946323631,155880.054644395,OK,0,f,0.104121760523412,74,58,wheel,1,Not Studied,8,62,123,Binocular,watering pot,f,nogo,0,0,155945.685133005,155945.701804053,155947.860295225,155952.969068157,Return,EMPTY,8,0,,0,NaN,watering po,0.00547944131540135,2,NO RESPONSE,NaN,2
199,1150895910,11,155881.963146811,155885.480098426,Return,4,j,3.50468120505684,19,189,necklace,1,CFS,4,122,32,CFS,lure,j,go,0,1,155954.244138042,155954.260837464,155956.219300806,155958.236120062,Return,EMPTY,6,0.322824263213946,2@,3.42195676049616,2.6057238131881,lure,0.00531916017644107,2,Return,2.00518966751406,2
199,1150895910,12,NaN,155887.221933522,Return,9,NO RESPONSE,NaN,2,187,backpack,1,Binocular,5,135,117,CFS,earring,z,go,1,1,155959.502899398,155959.519602141,155960.878006743,155962.8948426,Return,EMPTY,0,1,,0,NaN,earing,0.00535387266427279,2,Return,2.00530135116423,2
