subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,tType_study,correctDirection,eyes_1,eyes_2,eyePresent,RoboRT
199,1150895184,1,155849.427113289,155850.035509363,ESCAPE,10,Escape,0.596260891790735,4,\RIGHT,1,0,left,3
199,1150895184,2,NaN,NaN,EMPTY,0,,NaN,4,\RIGHT,1,0,left,3
199,1150895184,3,NaN,NaN,EMPTY,9,,NaN,3,\RIGHT,0,1,right,3
199,1150895184,4,NaN,NaN,EMPTY,2,,NaN,1,\LEFT,0,1,right,3
199,1150895184,5,NaN,NaN,EMPTY,6,,NaN,2,\LEFT,1,0,left,3
199,1150895184,6,NaN,NaN,EMPTY,0,,NaN,2,\LEFT,1,0,left,3
199,1150895184,7,NaN,NaN,EMPTY,5,,NaN,2,\LEFT,1,0,left,3
199,1150895184,8,NaN,NaN,EMPTY,5,,NaN,1,\LEFT,0,1,right,3
199,1150895184,9,NaN,NaN,EMPTY,8,,NaN,1,\LEFT,0,1,right,3
199,1150895184,10,NaN,NaN,EMPTY,7,,NaN,3,\RIGHT,0,1,right,3
199,1150895184,11,NaN,NaN,EMPTY,6,,NaN,3,\RIGHT,0,1,right,3
199,1150895184,12,NaN,NaN,EMPTY,6,,NaN,1,\LEFT,0,1,right,3
199,1150895184,13,NaN,NaN,EMPTY,5,,NaN,4,\RIGHT,1,0,left,3
199,1150895184,14,NaN,NaN,EMPTY,6,,NaN,2,\LEFT,1,0,left,3
199,1150895184,15,NaN,NaN,EMPTY,0,,NaN,4,\RIGHT,1,0,left,3
199,1150895184,16,NaN,NaN,EMPTY,0,,NaN,3,\RIGHT,0,1,right,3
199,1150895184,17,NaN,NaN,EMPTY,8,,NaN,1,\LEFT,0,1,right,3
199,1150895184,18,NaN,NaN,EMPTY,1,,NaN,3,\RIGHT,0,1,right,3
199,1150895184,19,NaN,NaN,EMPTY,0,,NaN,4,\RIGHT,1,0,left,3
199,1150895184,20,NaN,NaN,EMPTY,1,,NaN,2,\LEFT,1,0,left,3
