subject,seed,trial,tStart,tEnd,exitFlag,jitter,response,rt,item,tType_study,eyes_1,eyes_2,transparency,pas,RoboRT,meanRoboRT,roboBCFS
199,1109046009,1,1982273.33932713,1982273.46432659,OK,1,f,0.113355056615546,1,CATCH,0,0,0,,0,NaN,f
199,1109046009,2,1982275.48947097,1982280.00644027,OK,4,j,4.50514440075494,10,CFS,0,1,0.5,2@,4.14442194642828,2.34671662001737,j
199,1109046009,3,1982281.85657169,1982281.97324735,OK,1,f,0.104738004272804,11,CATCH,0,0,0,,0,NaN,f
199,1109046009,4,1982283.59002487,1982285.20680013,OK,0,j,1.60505419224501,14,CFS,0,1,0.727495707309101,2@,1.57424843710726,2.15022107250873,j
199,1109046009,5,1982287.85698749,1982288.86539193,ESCAPE,9,ESCAPE,0.982650550780818,3,CFS,0,1,0.626161358095932,,2.95639943447013,2.22617721685257,j
199,1109046009,6,NaN,NaN,EMPTY,2,,NaN,4,CFS,0,1,NaN,,NaN,NaN,j
199,1109046009,7,NaN,NaN,EMPTY,2,,NaN,18,CFS,0,1,NaN,,NaN,NaN,j
199,1109046009,8,NaN,NaN,EMPTY,1,,NaN,6,CFS,0,1,NaN,,NaN,NaN,j
199,1109046009,9,NaN,NaN,EMPTY,4,,NaN,7,CFS,0,1,NaN,,NaN,NaN,j
199,1109046009,10,NaN,NaN,EMPTY,2,,NaN,2,CFS,0,1,NaN,,NaN,NaN,j
199,1109046009,11,NaN,NaN,EMPTY,6,,NaN,13,CFS,0,1,NaN,,NaN,NaN,j
199,1109046009,12,NaN,NaN,EMPTY,7,,NaN,20,CFS,0,1,NaN,,NaN,NaN,j
199,1109046009,13,NaN,NaN,EMPTY,0,,NaN,19,CFS,0,1,NaN,,NaN,NaN,j
199,1109046009,14,NaN,NaN,EMPTY,0,,NaN,5,CFS,0,1,NaN,,NaN,NaN,j
199,1109046009,15,NaN,NaN,EMPTY,1,,NaN,8,CATCH,0,0,NaN,,NaN,NaN,f
199,1109046009,16,NaN,NaN,EMPTY,1,,NaN,16,CATCH,0,0,NaN,,NaN,NaN,f
199,1109046009,17,NaN,NaN,EMPTY,1,,NaN,9,CFS,0,1,NaN,,NaN,NaN,j
199,1109046009,18,NaN,NaN,EMPTY,6,,NaN,12,CFS,0,1,NaN,,NaN,NaN,j
199,1109046009,19,NaN,NaN,EMPTY,10,,NaN,15,CFS,0,1,NaN,,NaN,NaN,j
199,1109046009,20,NaN,NaN,EMPTY,0,,NaN,17,CFS,0,1,NaN,,NaN,NaN,j
