pair1,pair2,list,subject,trial_study,trial_test,tType_study,tType_test,gonogo_answer
153,8,1,1,4,9,Not Studied,Binocular,go
50,80,1,1,8,2,Binocular,Binocular,nogo
61,121,1,1,3,7,Not Studied,Not Studied,go
32,122,1,1,1,6,CFS,CFS,nogo
53,23,1,1,2,3,Binocular,Not Studied,go
143,128,1,1,11,1,CFS,Not Studied,nogo
141,155,1,1,12,4,Not Studied,CFS,go
184,181,1,1,7,5,CFS,Binocular,go
172,170,1,1,6,12,Binocular,Not Studied,go
56,99,1,1,10,10,Binocular,Binocular,go
8,153,1,1,9,11,CFS,CFS,go
85,25,1,1,5,8,Not Studied,CFS,go
4,34,2,1,20,13,Not Studied,Not Studied,nogo
147,146,2,1,14,19,Binocular,Not Studied,go
107,64,2,1,16,17,Not Studied,Binocular,go
25,85,2,1,17,14,CFS,Binocular,nogo
110,102,2,1,15,15,Binocular,Not Studied,go
177,179,2,1,18,21,CFS,Binocular,go
16,13,2,1,13,20,Not Studied,CFS,go
155,141,2,1,19,16,CFS,CFS,go
81,96,2,1,24,23,Binocular,CFS,go
161,163,2,1,23,18,Binocular,CFS,nogo
45,165,2,1,21,22,CFS,Binocular,go
69,30,2,1,22,24,Not Studied,Not Studied,go
121,61,3,1,33,29,Not Studied,Binocular,go
95,66,3,1,28,28,Binocular,CFS,go
174,131,3,1,34,26,Not Studied,Binocular,nogo
117,135,3,1,31,32,CFS,CFS,go
122,32,3,1,25,31,Binocular,Not Studied,go
113,76,3,1,27,34,CFS,Binocular,go
97,151,3,1,30,35,Not Studied,CFS,go
111,125,3,1,32,27,CFS,Not Studied,go
163,161,3,1,29,30,Binocular,CFS,nogo
78,98,3,1,26,36,Binocular,Not Studied,go
52,26,3,1,35,25,CFS,Not Studied,nogo
11,103,3,1,36,33,Not Studied,Binocular,go
133,192,4,1,42,42,Not Studied,CFS,nogo
157,33,4,1,43,44,Binocular,CFS,go
59,79,4,1,38,39,Not Studied,Not Studied,go
154,176,4,1,44,40,CFS,CFS,go
89,72,4,1,39,48,Binocular,Not Studied,go
119,7,4,1,40,43,CFS,Not Studied,go
125,111,4,1,48,47,Not Studied,CFS,go
139,14,4,1,37,38,CFS,Binocular,nogo
64,107,4,1,47,46,Binocular,Binocular,go
43,44,4,1,45,37,Binocular,Not Studied,nogo
26,52,4,1,46,41,CFS,Binocular,go
62,123,4,1,41,45,Not Studied,Binocular,go
185,183,5,1,58,51,Not Studied,Not Studied,go
72,89,5,1,54,49,Binocular,Not Studied,nogo
170,172,5,1,52,52,Not Studied,CFS,go
151,97,5,1,50,54,CFS,CFS,nogo
124,100,5,1,55,58,Binocular,Binocular,go
20,71,5,1,49,60,CFS,Not Studied,go
71,20,5,1,56,53,Not Studied,Binocular,go
86,29,5,1,53,59,CFS,CFS,go
98,78,5,1,51,50,Binocular,Binocular,nogo
159,162,5,1,60,57,Binocular,Binocular,go
144,140,5,1,57,56,CFS,CFS,go
181,184,5,1,59,55,Not Studied,Not Studied,go
13,16,6,1,64,67,Not Studied,Not Studied,go
103,11,6,1,70,68,Binocular,CFS,go
129,166,6,1,62,69,Not Studied,Binocular,go
140,144,6,1,63,70,CFS,Binocular,go
150,156,6,1,61,65,Binocular,Binocular,go
128,143,6,1,65,64,CFS,CFS,go
90,57,6,1,66,62,Not Studied,Binocular,nogo
162,159,6,1,72,63,CFS,Not Studied,go
123,62,6,1,69,72,Binocular,Not Studied,go
7,119,6,1,68,66,Binocular,CFS,nogo
73,68,6,1,71,71,CFS,CFS,go
165,45,6,1,67,61,Not Studied,Not Studied,nogo
80,50,7,1,84,81,Not Studied,Binocular,go
44,43,7,1,79,73,Binocular,Not Studied,nogo
31,47,7,1,82,84,Not Studied,Not Studied,go
37,112,7,1,80,83,CFS,CFS,go
79,59,7,1,73,79,Binocular,Not Studied,go
166,129,7,1,81,74,CFS,Binocular,nogo
58,74,7,1,76,76,Not Studied,CFS,go
99,56,7,1,78,80,CFS,CFS,go
47,31,7,1,77,75,Binocular,Not Studied,go
74,58,7,1,83,78,Binocular,CFS,nogo
40,88,7,1,75,77,CFS,Binocular,go
167,126,7,1,74,82,Not Studied,Binocular,go
96,81,8,1,96,91,Not Studied,Not Studied,go
137,28,8,1,86,86,Binocular,Binocular,nogo
76,113,8,1,92,93,Not Studied,Binocular,go
135,117,8,1,85,88,CFS,CFS,go
39,18,8,1,87,85,Binocular,Not Studied,nogo
66,95,8,1,89,94,CFS,Binocular,go
145,15,8,1,91,87,Not Studied,Not Studied,go
29,86,8,1,88,95,CFS,CFS,go
156,150,8,1,95,92,Binocular,CFS,go
68,73,8,1,93,90,Binocular,CFS,nogo
23,53,8,1,90,96,CFS,Not Studied,go
115,118,8,1,94,89,Not Studied,Binocular,go
2,187,9,1,104,106,Not Studied,Binocular,go
57,90,9,1,103,108,Binocular,Not Studied,go
179,177,9,1,97,105,Not Studied,Binocular,go
126,167,9,1,100,99,CFS,Not Studied,go
112,37,9,1,105,97,Binocular,Not Studied,nogo
33,157,9,1,106,102,CFS,CFS,nogo
100,124,9,1,98,101,Not Studied,Binocular,go
3,6,9,1,107,104,CFS,CFS,go
176,154,9,1,108,103,Binocular,Not Studied,go
6,3,9,1,99,100,Binocular,CFS,go
28,137,9,1,101,98,CFS,Binocular,nogo
131,174,9,1,102,107,Not Studied,CFS,go
118,115,10,1,112,109,Not Studied,Not Studied,nogo
34,4,10,1,109,117,Binocular,Binocular,go
146,147,10,1,117,113,Not Studied,Binocular,go
60,191,10,1,110,114,CFS,CFS,nogo
19,189,10,1,118,120,Binocular,Not Studied,go
14,139,10,1,115,115,CFS,Not Studied,go
102,110,10,1,120,110,Not Studied,Binocular,nogo
30,69,10,1,116,119,CFS,CFS,go
88,40,10,1,114,112,Binocular,CFS,go
15,145,10,1,111,118,Binocular,Binocular,go
18,39,10,1,113,111,CFS,Not Studied,go
183,185,10,1,119,116,Not Studied,CFS,go
153,8,1,2,4,7,Binocular,Binocular,go
50,80,1,2,1,12,CFS,Binocular,nogo
61,121,1,2,6,2,Binocular,CFS,go
32,122,1,2,9,4,Not Studied,Not Studied,go
53,23,1,2,12,10,CFS,CFS,nogo
143,128,1,2,10,9,Not Studied,CFS,go
141,155,1,2,7,8,Binocular,Not Studied,nogo
184,181,1,2,2,3,Not Studied,Binocular,go
172,170,1,2,3,1,CFS,Binocular,go
56,99,1,2,8,6,CFS,Not Studied,go
8,153,1,2,5,5,Not Studied,CFS,go
85,25,1,2,11,11,Binocular,Not Studied,go
4,34,2,2,24,14,Binocular,CFS,go
147,146,2,2,18,13,CFS,Binocular,go
107,64,2,2,22,17,Binocular,CFS,go
25,85,2,2,16,23,Not Studied,Not Studied,go
110,102,2,2,17,21,CFS,CFS,go
177,179,2,2,23,19,Not Studied,Binocular,go
16,13,2,2,15,18,Binocular,Not Studied,go
155,141,2,2,21,16,Not Studied,Not Studied,go
81,96,2,2,13,20,CFS,Not Studied,nogo
161,163,2,2,20,22,CFS,CFS,nogo
45,165,2,2,19,15,Not Studied,Binocular,go
69,30,2,2,14,24,Binocular,Binocular,nogo
121,61,3,2,36,28,Binocular,Not Studied,go
95,66,3,2,30,26,CFS,CFS,go
174,131,3,2,27,27,Binocular,Binocular,go
117,135,3,2,28,25,Not Studied,Binocular,go
122,32,3,2,26,31,CFS,Binocular,go
113,76,3,2,29,29,Not Studied,CFS,go
97,151,3,2,25,30,Binocular,Not Studied,go
111,125,3,2,32,33,Not Studied,CFS,go
163,161,3,2,31,32,CFS,Not Studied,nogo
78,98,3,2,35,34,CFS,CFS,nogo
52,26,3,2,33,35,Not Studied,Not Studied,go
11,103,3,2,34,36,Binocular,Binocular,nogo
